Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
90,Pac-Man,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
240,Pitfall!,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5
259,Asteroids,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
545,Missile Command,1980,Shooter,Atari,2.56,0.17,0.0,0.03,2.76
608,Space Invaders,N/A,Shooter,Atari,2.36,0.14,0.0,0.03,2.53
736,Frogger,1981,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2
768,Demon Attack,1981,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13
866,E.T.: The Extra Terrestrial,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97
1108,Ms. Pac-Man,1981,Puzzle,Atari,1.54,0.1,0.0,0.02,1.65
1117,Dig Dug,1982,Puzzle,Atari,1.52,0.1,0.0,0.02,1.64
1155,River Raid,1981,Shooter,Activision,1.49,0.09,0.0,0.02,1.6
1165,Mario Bros.,1982,Platform,Atari,1.48,0.09,0.0,0.02,1.59
1308,Donkey Kong,1981,Platform,Coleco,1.36,0.08,0.0,0.02,1.46
1431,Centipede,1981,Shooter,Atari,1.26,0.08,0.0,0.01,1.36
1510,Pitfall II: Lost Caverns,1983,Platform,Activision,1.22,0.07,0.0,0.02,1.31
1515,Adventure,N/A,Adventure,Atari,1.21,0.08,0.0,0.01,1.3
1558,Atlantis,1981,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27
1587,Combat,N/A,Action,Atari,1.17,0.07,0.0,0.01,1.25
1707,Pole Position,1982,Racing,Atari,1.1,0.07,0.0,0.01,1.18
1768,Kaboom!,1980,Misc,Activision,1.07,0.07,0.0,0.01,1.15
1819,Moon Patrol,1982,Shooter,Atari,1.05,0.06,0.0,0.01,1.12
1850,Megamania,1981,Shooter,Activision,1.03,0.06,0.0,0.01,1.1
1853,Jungle Hunt,1982,Platform,Atari,1.03,0.06,0.0,0.01,1.1
1907,Joust,1982,Platform,Atari,1.01,0.06,0.0,0.01,1.08
1967,Cosmic Ark,1981,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05
1971,Defender,1980,Misc,Atari,0.99,0.05,0.0,0.01,1.05
2115,Air-Sea Battle,N/A,Shooter,Atari,0.91,0.06,0.0,0.01,0.98
2145,Donkey Kong Junior,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.97
2234,Spider-Man,1981,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93
2408,Enduro,1982,Misc,Quelle,0.81,0.05,0.0,0.01,0.87
2518,Custer's Revenge,1981,Action,Mystique,0.76,0.05,0.0,0.01,0.82
2598,Alien,1981,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
2631,Yars' Revenge,1982,Shooter,Atari,0.73,0.04,0.0,0.01,0.78
2654,Jr. Pac-Man,1983,Puzzle,Atari,0.72,0.05,0.0,0.01,0.78
2662,Galaxian,1982,Shooter,Atari,0.72,0.05,0.0,0.01,0.77
2666,Air Raid,1981,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
2671,Boxing,1980,Fighting,Activision,0.72,0.04,0.0,0.01,0.77
2674,Crystal Castles,1983,Action,Atari,0.72,0.04,0.0,0.01,0.77
2808,Berzerk,1981,Shooter,Atari,0.68,0.04,0.0,0.01,0.73
2845,Kangaroo,1982,Platform,Atari,0.67,0.04,0.0,0.01,0.72
2942,King Kong,1981,Action,Tigervision,0.65,0.04,0.0,0.01,0.69
3046,Adventures of Tron,1981,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67
3081,Keystone Kapers,1982,Action,Activision,0.62,0.04,0.0,0.01,0.66
3120,Kung-Fu Master,1987,Action,Activision,0.6,0.04,0.0,0.01,0.65
3217,X-Man,1982,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63
3250,Battlezone,1982,Shooter,Atari,0.58,0.03,0.0,0.01,0.62
3268,Halloween,1982,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62
3405,BurgerTime,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59
3410,Smurf: Rescue In Gargamel's Castle,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.59
3449,Q*bert,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58
3645,The Activision Decathlon,1982,Sports,Activision,0.52,0.03,0.0,0.01,0.55
3718,Action Force,1982,Action,CPG Products,0.5,0.03,0.0,0.01,0.54
3750,Popeye,1982,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54
