Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
33,Pokemon X/Pokemon Y,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
43,Mario Kart 7,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
54,Super Mario 3D Land,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
65,New Super Mario Bros. 2,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
74,Animal Crossing: New Leaf,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
98,Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
189,Tomodachi Life,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
235,Luigi's Mansion: Dark Moon,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
269,The Legend of Zelda: Ocarina of Time,2011,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
309,Monster Hunter 4 Ultimate,2014,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89
322,Nintendogs + cats,2011,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
384,Monster Hunter 4,2013,Role-Playing,Capcom,0.0,0.0,3.44,0.0,3.44
415,Monster Hunter X,2015,Action,Capcom,0.25,0.19,2.78,0.04,3.26
420,Yokai Watch 2 Ganso/Honke,2014,Role-Playing,Nintendo,0.03,0.0,3.18,0.0,3.22
455,The Legend of Zelda: A Link Between Worlds,2013,Action,Nintendo,1.4,0.99,0.46,0.22,3.07
477,Animal Crossing: Happy Home Designer,2015,Simulation,Nintendo,0.47,1.0,1.39,0.12,2.98
537,Monster Hunter Tri,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79
562,Yokai Watch 2 Shinuchi,2014,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68
682,The Legend of Zelda: Majora's Mask 3D,2015,Action,Nintendo,1.14,0.54,0.47,0.17,2.32
701,Yokai Watch Busters,2015,Action,Level 5,0.0,0.0,2.28,0.0,2.28
707,Paper Mario: Sticker Star,2012,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27
822,Mario & Luigi: Dream Team,2013,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,2.06
849,Fire Emblem: Awakening,2012,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2.0
913,Yokai Watch,2013,Role-Playing,Nintendo,0.21,0.3,1.33,0.04,1.89
924,Donkey Kong Country Returns,2013,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87
936,Mario Party: Island Tour,2013,Misc,Nintendo,0.61,0.59,0.55,0.11,1.85
953,Kirby: Triple Deluxe,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82
977,Professor Layton and the Mask of Miracle,2011,Puzzle,Nintendo,0.32,0.95,0.36,0.14,1.78
1178,Kingdom Hearts 3D: Dream Drop Distance,2012,Action,Square Enix,0.88,0.26,0.34,0.09,1.58
1212,Fire Emblem Fates,2015,Role-Playing,Nintendo,0.71,0.22,0.52,0.1,1.54
1247,Puzzle & Dragons,2013,Role-Playing,GungHo,0.0,0.0,1.51,0.0,1.51
1316,LEGO City Undercover,2013,Platform,Nintendo,0.51,0.75,0.07,0.12,1.46
1355,Dragon Quest VII: Warriors of Eden,2013,Role-Playing,Square Enix,0.07,0.04,1.3,0.01,1.42
1404,Bravely Default: Flying Fairy,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.07,1.38
1432,Yoshi's New Island,2014,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36
1550,Kid Icarus: Uprising,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.28
1557,Pokemon Mystery Dungeon: Gates to Infinity,2012,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27
1570,Yokai Watch 3,2016,Action,Level 5,0.0,0.0,1.27,0.0,1.27
1652,Super Street Fighter IV: 3D Edition,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22
1694,Mario & Sonic at the London 2012 Olympic Games,2012,Sports,Sega,0.18,0.64,0.27,0.1,1.19
1704,Pokemon Super Mystery Dungeon,2015,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19
1783,Pokemon Rumble Blast,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14
1805,LEGO Star Wars III: The Clone Wars,2011,Action,LucasArts,0.61,0.43,0.0,0.09,1.13
1808,Fantasy Life,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13
1852,The Legend of Zelda: Tri Force Heroes,2015,Action,Nintendo,0.52,0.33,0.17,0.08,1.1
2046,Sonic Generations,2011,Platform,Sega,0.44,0.46,0.01,0.09,1.01
2164,Dragon Quest Monsters: Terry's Wonderland 3D,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2171,PilotWings Resort,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96
2199,Star Fox 64 3D,2011,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94
2206,Mario Tennis Open,2012,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94
2263,Disney Magical World,2013,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92
2279,Harvest Moon 3D: A New Beginning,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91
2346,LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89
2364,Resident Evil: Revelations,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88
2411,Monster Strike 3DS,2015,Action,"mixi, Inc",0.0,0.0,0.86,0.0,0.86
2419,Dragon Quest VIII: Journey of the Cursed King,2015,Role-Playing,Square Enix,0.0,0.0,0.86,0.0,0.86
2450,Kirby: Planet Robobot,2016,Action,Nintendo,0.26,0.1,0.44,0.04,0.85
2521,Tales of the Abyss,2011,Role-Playing,Namco Bandai Games,0.42,0.19,0.14,0.06,0.82
2554,Professor Layton vs Phoenix Wright: Ace Attorney,2012,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.81
2616,Dragon Quest Monsters 2,2014,Role-Playing,Square Enix,0.0,0.0,0.79,0.0,0.79
2629,Professor Layton and the Azran Legacy,2013,Puzzle,Nintendo,0.0,0.48,0.25,0.06,0.78
2692,The Sims 3,2011,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76
2771,LEGO Batman 2: DC Super Heroes,2012,Action,Warner Bros. Interactive Entertainment,0.41,0.27,0.0,0.06,0.74
2773,Mario & Luigi: Paper Jam,2015,Role-Playing,Nintendo,0.16,0.3,0.25,0.04,0.74
2824,Style Savvy: Trendsetters,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.72
2870,Persona Q: Shadow of the Labyrinth,2014,Role-Playing,Nippon Ichi Software,0.33,0.07,0.27,0.04,0.71
2884,Rhythm Heaven: The Best+,2015,Misc,Nintendo,0.0,0.0,0.71,0.0,0.71
2944,The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,2015,Misc,Nintendo,0.01,0.61,0.02,0.04,0.69
3150,Rayman 3D,2011,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64
3203,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,2012,Misc,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63
3208,Angry Birds Trilogy,2012,Action,Activision,0.38,0.2,0.0,0.05,0.63
3223,Dragon Quest Monsters Joker 3,2016,Role-Playing,Square Enix,0.0,0.0,0.63,0.0,0.63
3252,LEGO Pirates of the Caribbean: The Video Game,2011,Action,Disney Interactive Studios,0.29,0.28,0.0,0.06,0.62
3280,Toshochu: Run for Money,2012,Adventure,Namco Bandai Games,0.0,0.0,0.62,0.0,0.62
3300,Cooking Mama 4: Kitchen Magic!,2011,Simulation,505 Games,0.5,0.07,0.0,0.04,0.61
3351,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6
3373,Scribblenauts: Unlimited,2012,Action,Warner Bros. Interactive Entertainment,0.55,0.01,0.0,0.04,0.6
3463,Frozen: Olaf's Quest,2013,Platform,Disney Interactive Studios,0.27,0.26,0.0,0.05,0.58
3506,Shin Megami Tensei IV,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.02,0.57
3541,Skylanders: Spyro's Adventure,2011,Action,Activision,0.32,0.2,0.0,0.05,0.57
3595,Xenoblade Chronicles,2015,Role-Playing,Nintendo,0.26,0.14,0.12,0.04,0.56
3650,Yokai Sangokushi,2016,Action,Level 5,0.0,0.0,0.55,0.0,0.55
3676,Rune Factory 4,2012,Role-Playing,Xseed Games,0.31,0.0,0.21,0.03,0.55
3745,Inazuma Eleven GO,2011,Role-Playing,Nintendo,0.0,0.05,0.48,0.0,0.54
3848,Final Fantasy Explorers,2014,Role-Playing,Square Enix,0.15,0.07,0.28,0.02,0.52
3975,Theatrhythm: Final Fantasy,2012,Misc,Square Enix,0.22,0.07,0.18,0.02,0.5
4019,Ridge Racer 3D,2011,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03,0.5
4022,Resident Evil: The Mercenaries 3D,2011,Action,Capcom,0.16,0.17,0.13,0.03,0.49
4023,Super Monkey Ball 3D,2011,Action,Sega,0.26,0.15,0.05,0.04,0.49
4034,Sonic Lost World,2013,Platform,Sega,0.24,0.15,0.07,0.03,0.49
4046,Pokemon Art Academy,2014,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49
4057,Epic Mickey: Power of Illusion,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49
4072,Asphalt 3D,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49
4074,Steel Diver,2011,Action,Nintendo,0.31,0.1,0.05,0.03,0.49
4093,Mario Golf: World Tour,2014,Sports,Nintendo,0.15,0.14,0.17,0.03,0.48
4152,Bravely Second: End Layer,2015,Role-Playing,Nintendo,0.16,0.11,0.18,0.03,0.47
4215,Inazuma Eleven Go 2: Chrono Stone,2012,Role-Playing,Level 5,0.0,0.01,0.46,0.0,0.47
4249,Art Academy: Lessons for Everyone,2012,Action,Nintendo,0.2,0.03,0.21,0.02,0.46
4263,Mario & Sonic at the Rio 2016 Olympic Games,2016,Action,Nintendo,0.04,0.16,0.24,0.01,0.46
4301,Puzzle & Dragons Z + Super Mario Bros. Edition,2015,Puzzle,Nintendo,0.05,0.05,0.34,0.01,0.46
4316,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0.0,0.04,0.45
4331,Dead or Alive: Dimensions,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45
4370,FIFA 15,2014,Sports,Electronic Arts,0.09,0.33,0.0,0.03,0.45
4496,Tetris Axis,2011,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,0.43
4587,Hometown Story,2013,Role-Playing,Rising Star Games,0.22,0.13,0.04,0.04,0.42
4660,Hyrule Warriors,2016,Action,Nintendo,0.16,0.12,0.11,0.03,0.42
4679,Attack on Titan: Humanity in Chains,2013,Action,Screenlife,0.0,0.0,0.41,0.0,0.41
4784,Story of Seasons,2014,Simulation,Nintendo,0.0,0.13,0.26,0.01,0.4
4793,LEGO Harry Potter: Years 5-7,N/A,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.04,0.4
4884,LEGO The Lord of the Rings,2012,Action,Warner Bros. Interactive Entertainment,0.19,0.17,0.0,0.03,0.39
4906,FIFA 12,2011,Sports,Electronic Arts,0.08,0.26,0.0,0.05,0.39
4919,Project X Zone,2012,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39
4926,Combat of Giants: Dinosaurs 3D,2011,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39
4958,Madden NFL Football,2011,Sports,Electronic Arts,0.36,0.01,0.0,0.03,0.39
4971,Samurai Warriors Chronicles,2011,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
4979,One Piece: Unlimited World Red,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.38
5012,Raving Rabbids: Travel in Time 3D,2011,Platform,Ubisoft,0.11,0.23,0.0,0.04,0.38
5023,Phoenix Wright: Ace Attorney - Dual Destinies,2013,Adventure,Capcom,0.0,0.0,0.38,0.0,0.38
5028,Metal Gear Solid: Snake Eater 3D,2012,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38
5054,Etrian Odyssey IV: Legends of the Titans,2012,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38
5075,Pro Evolution Soccer 2011 3D,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38
5076,Shin Megami Tensei: Devil Survivor Overclocked,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.02,0.38
5147,Theatrhythm Final Fantasy: Curtain Call,2014,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37
5279,Sentouchu: Densetsu no Shinobi to Survival Battle!,2013,Action,Namco Bandai Games,0.0,0.0,0.35,0.0,0.35
5289,Fossil Fighters: Frontier,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.35
5399,Tom Clancy's Ghost Recon: Shadow Wars,2011,Strategy,Ubisoft,0.22,0.09,0.0,0.03,0.34
5418,Angry Birds Star Wars,2013,Strategy,Activision,0.15,0.15,0.0,0.03,0.34
5556,Dragon Ball Z: Extreme Butoden,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33
