Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7,New Super Mario Bros.,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
11,Nintendogs,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76
12,Mario Kart DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
20,Brain Age: Train Your Brain in Minutes a Day,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
27,Pokemon Black/Pokemon White,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
42,Animal Crossing: Wild World,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
46,Pokemon HeartGold/Pokemon SoulSilver,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
60,Super Mario 64,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
75,Mario Party DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
82,Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
89,Pokémon Platinum Version,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
123,Big Brain Academy,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
150,Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
154,Cooking Mama,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
178,Professor Layton and the Curious Village,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
187,The Legend of Zelda: Phantom Hourglass,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
190,Mario & Sonic at the Olympic Games,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
213,LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,2.89,1.54,0.0,0.46,4.9
301,Professor Layton and the Diabolical Box,2007,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0
317,Flash Focus: Vision Training in Minutes a Day,2007,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84
320,Mario & Luigi: Bowser's Inside Story,2009,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83
338,MySims,2007,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69
339,Friend Collection,2009,Misc,Nintendo,0.0,0.0,3.67,0.0,3.67
356,Cooking Mama 2: Dinner With Friends,2007,Simulation,505 Games,1.61,1.5,0.1,0.39,3.61
371,Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega,1.22,1.66,0.27,0.38,3.52
377,Clubhouse Games,2006,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5
381,Guitar Hero: On Tour,2008,Misc,Activision,2.11,1.01,0.01,0.35,3.48
397,The Legend of Zelda: Spirit Tracks,2009,Action,Nintendo,1.43,0.94,0.74,0.27,3.38
400,Professor Layton and the Unwound Future,2008,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36
403,English Training: Have Fun Improving Your Skills!,2006,Misc,Nintendo,0.0,0.99,2.32,0.02,3.33
433,Rhythm Heaven,2008,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17
435,Club Penguin: Elite Penguin Force,2008,Adventure,Disney Interactive Studios,1.88,0.98,0.0,0.3,3.16
437,LEGO Batman: The Videogame,2008,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0.0,0.29,3.15
438,Sonic Rush,2005,Platform,Sega,1.22,1.57,0.06,0.29,3.15
445,Personal Trainer: Cooking,2006,Misc,Nintendo,0.91,1.0,1.03,0.17,3.12
482,Kirby Super Star Ultra,2008,Platform,Nintendo,1.57,0.04,1.19,0.15,2.96
504,Imagine: Babyz,2007,Simulation,Ubisoft,1.3,1.27,0.0,0.31,2.88
524,Imagine: Fashion Designer,2007,Simulation,Ubisoft,1.32,1.19,0.0,0.3,2.81
527,Yoshi's Island DS,2006,Platform,Nintendo,1.47,0.07,1.1,0.15,2.8
536,Professor Layton and the Last Specter,2009,Puzzle,Nintendo,0.3,1.47,0.68,0.34,2.79
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,Puzzle,Nintendo,1.63,0.52,0.35,0.18,2.69
570,Hannah Montana,2006,Action,Disney Interactive Studios,1.59,0.8,0.0,0.26,2.65
586,Style Savvy,2008,Simulation,Nintendo,0.63,0.84,0.96,0.19,2.61
599,Art Academy,2010,Misc,Nintendo,0.28,1.68,0.33,0.28,2.57
673,LEGO Harry Potter: Years 1-4,2010,Action,Warner Bros. Interactive Entertainment,1.07,1.05,0.0,0.23,2.35
688,WarioWare Touched!,2004,Puzzle,Nintendo,0.52,0.45,1.21,0.13,2.31
694,Pokemon Ranger: Shadows of Almia,2008,Role-Playing,Nintendo,0.95,0.54,0.62,0.18,2.3
725,LEGO Indiana Jones: The Original Adventures,2008,Action,Activision,1.42,0.61,0.0,0.21,2.23
729,Scribblenauts,2009,Puzzle,Warner Bros. Interactive Entertainment,1.71,0.32,0.02,0.18,2.22
741,High School Musical: Makin' the Cut!,2007,Puzzle,Disney Interactive Studios,1.06,0.91,0.0,0.23,2.2
752,Pokemon Ranger,2006,Role-Playing,Nintendo,1.29,0.04,0.73,0.12,2.18
770,Tetris DS,2006,Puzzle,Nintendo,0.64,0.07,1.35,0.08,2.13
773,Toy Story 3: The Video Game,2010,Action,Disney Interactive Studios,0.93,0.97,0.02,0.21,2.12
774,Final Fantasy III,2006,Role-Playing,Square Enix,0.91,0.05,1.07,0.09,2.12
798,The Sims 2: Pets,2006,Simulation,Electronic Arts,0.92,0.94,0.0,0.22,2.09
824,Carnival Games,2008,Misc,Take-Two Interactive,1.23,0.64,0.0,0.19,2.05
826,Pokémon Mystery Dungeon: Blue Rescue Team,2005,Role-Playing,Nintendo,1.16,0.06,0.83,0.0,2.05
831,Kingdom Hearts 358/2 Days,2009,Role-Playing,Square Enix,1.11,0.27,0.53,0.14,2.04
846,TouchMaster,2007,Puzzle,Midway Games,0.49,1.27,0.0,0.25,2.01
861,Sonic Classic Collection,2010,Platform,Sega,0.99,0.8,0.0,0.18,1.97
871,Kirby Squeak Squad,2006,Platform,Nintendo,0.79,0.03,1.05,0.08,1.96
933,Phineas and Ferb,2009,Action,Disney Interactive Studios,1.34,0.37,0.0,0.15,1.86
958,Dragon Quest VI: Realms of Revelation,2010,Role-Playing,Nintendo,0.22,0.21,1.35,0.03,1.81
974,Dragon Quest Monsters: Joker,2006,Role-Playing,Square Enix,0.23,0.03,1.49,0.03,1.78
1013,Cooking Mama 3: Shop & Chop,2009,Simulation,505 Games,0.83,0.66,0.08,0.18,1.75
1038,Imagine: Teacher,2008,Simulation,Ubisoft,0.7,0.83,0.0,0.19,1.72
1045,Deal or No Deal,2007,Misc,Mindscape,1.15,0.41,0.0,0.15,1.71
1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,2006,Misc,Nintendo,0.0,0.0,1.71,0.0,1.71
1054,Personal Trainer: Math,2007,Puzzle,Nintendo,0.49,1.12,0.0,0.09,1.7
1057,Ben 10: Protector of Earth,2007,Action,D3Publisher,0.69,0.83,0.0,0.19,1.7
1114,Dragon Quest IV: Chapters of the Chosen,2007,Role-Playing,Square Enix,0.32,0.02,1.27,0.03,1.64
1138,Mario Hoops 3 on 3,2006,Sports,Nintendo,0.99,0.04,0.49,0.1,1.62
1148,SpongeBob's Atlantis SquarePantis,2007,Action,THQ,1.5,0.0,0.0,0.11,1.61
1151,Moshi Monsters: Moshling Zoo,2011,Misc,Activision,0.4,0.99,0.0,0.22,1.6
1157,Dragon Quest V: Hand of the Heavenly Bride,2008,Role-Playing,Square Enix,0.19,0.02,1.36,0.02,1.6
1172,Guitar Hero: On Tour Decades,2008,Misc,Activision,0.85,0.58,0.0,0.16,1.58
1173,MySims Kingdom,2008,Simulation,Electronic Arts,0.81,0.6,0.01,0.17,1.58
1177,High School Musical 3: Senior Year,2008,Misc,Disney Interactive Studios,0.64,0.76,0.0,0.17,1.58
1179,Hannah Montana: Music Jam,2007,Action,Disney Interactive Studios,1.06,0.37,0.0,0.15,1.58
