Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5,Pokemon Red/Pokemon Blue,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
6,Tetris,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
13,Pokemon Gold/Pokemon Silver,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
22,Super Mario Land,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
31,Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
51,Super Mario Land 2: 6 Golden Coins,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
133,Pokémon Crystal Version,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
171,Dr. Mario,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
172,Pokemon Pinball,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
185,Super Mario Land 3: Wario Land,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
192,Kirby's Dream Land,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
201,Super Mario Bros.,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
306,Donkey Kong Land,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
319,The Legend of Zelda: Link's Awakening,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
336,Pokémon Trading Card Game,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
392,F-1 Race,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41
456,Donkey Kong,1994,Platform,Nintendo,1.57,0.62,0.55,0.34,3.07
672,Kirby's Dream Land 2,1995,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36
674,Donkey Kong Land II,1996,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35
675,Dragon Warrior Monsters,1998,Role-Playing,Eidos Interactive,0.0,0.0,2.34,0.01,2.35
730,The Legend of Zelda: Link's Awakening DX,1998,Adventure,Nintendo,1.0,0.63,0.45,0.13,2.22
738,Wario Land 3,2000,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2
745,Kirby's Pinball Land,1992,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19
746,Donkey Kong Country,2000,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19
748,Yu-Gi-Oh: Duel Monsters 4,2000,Role-Playing,Konami Digital Entertainment,0.0,0.0,2.17,0.01,2.18
777,Golf,1989,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12
854,Tennis,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99
882,Alleyway,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94
891,Tetris DX,1998,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93
896,The Legend of Zelda: Oracle of Ages,2001,Action,Nintendo,0.92,0.53,0.41,0.06,1.92
925,The Legend of Zelda: Oracle of Seasons,2001,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86
989,Metroid II: Return of Samus,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76
1030,Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,0.94,0.62,0.1,0.07,1.73
1078,Yoshi's Cookie,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68
1144,Baseball,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61
1145,Yu-Gi-Oh! Duel Monsters,1998,Strategy,Konami Digital Entertainment,0.0,0.0,1.61,0.01,1.61
1193,Dragon Quest Monsters 2,2001,Role-Playing,Enix Corporation,0.0,0.0,1.56,0.0,1.56
1282,Wario Land II,1997,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48
1325,Tamagotchi,1996,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45
1328,Game de Hakken!! Tamagotchi 2,1997,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45
1352,Disney's DuckTales,1988,Platform,Capcom,0.82,0.23,0.35,0.03,1.43
1475,Tony Hawk's Pro Skater,2000,Sports,Activision,0.9,0.38,0.01,0.05,1.33
1544,Yakuman,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28
1610,Tetris 2 (All region sales),1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24
1622,Kirby Tilt 'n' Tumble,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23
1638,Game & Watch Gallery 2,1997,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22
1639,Game & Watch Gallery 3,1999,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22
1680,SolarStriker,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2
1712,Mario Tennis,2000,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18
1772,Qix,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15
1796,Super R.C. Pro-Am,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14
1858,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,1999,Strategy,Konami Digital Entertainment,0.0,0.0,1.1,0.0,1.1
1860,The Final Fantasy Legend,1989,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0,1.1
2021,Donkey Kong Land III,N/A,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03
2064,Game & Watch Gallery,1997,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0
2338,Pokemon Card GB2: Here Comes Team GR!,2001,Strategy,Nintendo,0.0,0.0,0.89,0.0,0.89
2492,Yu-Gi-Oh! Dark Duel Stories,2000,Misc,Konami Digital Entertainment,0.0,0.0,0.83,0.0,0.83
2533,Dragon Warrior III,2000,Role-Playing,Enix Corporation,0.0,0.0,0.81,0.0,0.81
2676,Dragon Warrior I&II,1999,Role-Playing,Enix Corporation,0.0,0.0,0.77,0.0,0.77
2729,Final Fantasy Legend III,1991,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76
2800,Yoshi,1991,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73
3273,Mario's Picross,1995,Puzzle,Nintendo,0.0,0.0,0.62,0.0,0.62
3601,Hamtaro: Ham-Hams Unite!,2001,Role-Playing,Nintendo,0.0,0.0,0.56,0.0,0.56
3697,Medarot 2: Kabuto / Kuwagata Version,1999,Role-Playing,Imagineer,0.0,0.0,0.54,0.0,0.54
4796,Medarot: Kabuto / Kuwagata Version,1997,Role-Playing,Imagineer,0.0,0.0,0.4,0.0,0.4
4956,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,2001,Role-Playing,Banpresto,0.0,0.0,0.39,0.0,0.39
4985,Wario Land II (GBC),1998,Platform,Nintendo,0.0,0.0,0.38,0.0,0.38
5035,Final Fantasy Adventure,1991,Role-Playing,SquareSoft,0.0,0.0,0.38,0.0,0.38
5156,Mini-Yonku GB: Let's & Go!!,1997,Strategy,ASCII Entertainment,0.0,0.0,0.37,0.0,0.37
5274,Picross 2,1996,Puzzle,Nintendo,0.0,0.0,0.35,0.0,0.35
5495,Extra Bases,1990,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33
5634,Kirby's Block Ball,1995,Puzzle,Nintendo,0.0,0.0,0.32,0.0,0.32
5718,Mario Golf,1999,Action,Nintendo,0.0,0.0,0.31,0.0,0.31
5830,Gameboy Gallery,1995,Misc,Nintendo,0.0,0.0,0.3,0.0,0.3
5944,Hamster Tarou,1999,Simulation,Jorudan,0.0,0.0,0.3,0.0,0.3
6157,Mega Man: Dr. Wily's Revenge,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28
6166,Mega Man II,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28
6257,Donkey Kong GB: Dinky Kong & Dixie Kong,2000,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28
6324,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,1996,Role-Playing,ChunSoft,0.0,0.0,0.27,0.0,0.27
6334,Medarot 3: Kabuto / Kuwagata Version,2000,Role-Playing,Imagineer,0.0,0.0,0.27,0.0,0.27
6634,Power Pro Kun Pocket 2,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.0,0.25
7016,Harvest Moon GB,1997,Simulation,Victor Interactive,0.0,0.0,0.23,0.0,0.23
7067,Tetris 2 (weekly jp sales),1992,Puzzle,Nintendo,0.0,0.0,0.23,0.0,0.23
7122,Tetris Attack,1996,Puzzle,Nintendo,0.0,0.0,0.23,0.0,0.23
7264,Kirby's Star Stacker,1997,Puzzle,Nintendo,0.0,0.0,0.22,0.0,0.22
7507,Trade & Battle: Card Hero,2000,Strategy,Nintendo,0.0,0.0,0.2,0.0,0.2
8039,GameBoy Wars,1991,Strategy,Nintendo,0.0,0.0,0.18,0.0,0.18
8278,Power Pro Kun Pocket,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17
9015,Sakura Wars GB,2000,Adventure,Media Factory,0.0,0.0,0.14,0.0,0.14
9054,Star Ocean: Blue Sphere,2001,Role-Playing,Enix Corporation,0.0,0.0,0.14,0.0,0.14
9109,Yu-Gi-Oh! Monster Capture GB,2000,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14
9802,Harvest Moon 2 GBC,1999,Simulation,Ubisoft,0.0,0.0,0.12,0.0,0.12
9867,Medarot 4: Kabuto / Kuwagata Version,2001,Role-Playing,Imagineer,0.0,0.0,0.12,0.0,0.12
11801,Mega Man Xtreme,2000,Platform,Capcom,0.0,0.0,0.07,0.0,0.07
11818,Mega Man Xtreme 2,2001,Platform,Capcom,0.0,0.0,0.07,0.0,0.07
11950,Metal Gear Solid,2000,Action,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07
12103,Power Pro GB,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07
12672,Teenage Mutant Ninja Turtles II: Back from the Sewers,1991,Action,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
