Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
26,Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
59,Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
131,Pokémon Emerald Version,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
163,Super Mario Advance,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
183,Super Mario Bros. 3,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
265,Namco Museum,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
489,Pac-Man Collection,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94
493,Super Mario World 2: Yoshi's Island,2002,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91
521,Finding Nemo,2003,Action,THQ,1.59,1.05,0.04,0.14,2.82
552,The Legend of Zelda: A Link to the Past,2002,Action,Nintendo,1.75,0.52,0.33,0.1,2.7
650,Frogger's Adventures: Temple of the Frog,N/A,Adventure,Konami Digital Entertainment,2.15,0.18,0.0,0.07,2.39
710,Kirby: Nightmare in Dream Land,2002,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27
711,Wario Land 4,2001,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26
722,Sonic Advance,2001,Platform,Sega,1.19,0.71,0.22,0.13,2.24
723,Spyro: Season of Ice,2001,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23
753,Mario & Luigi: Superstar Saga,2003,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17
771,Final Fantasy Tactics Advance,2003,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13
814,Yu-Gi-Oh! The Eternal Duelist Soul,2001,Strategy,Konami Digital Entertainment,1.64,0.36,0.0,0.07,2.07
818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,2005,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06
819,The Incredibles,2004,Action,THQ,1.15,0.77,0.04,0.1,2.06
836,Donkey Kong Country,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04
855,Harry Potter and the Chamber of Secrets,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99
939,Kingdom Hearts: Chain of Memories,2004,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85
946,2 Games in 1: Sonic Advance & ChuChu Rocket!,2005,Misc,THQ,1.31,0.49,0.0,0.03,1.83
965,Sonic Advance 2,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8
992,Golden Sun,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76
1000,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007,Action,THQ,1.26,0.47,0.0,0.03,1.76
1015,2 Games in 1: Disney Princess & The Lion King,2004,Misc,THQ,1.25,0.46,0.0,0.03,1.75
1032,Crash Bandicoot: The Huge Adventure,2002,Platform,Universal Interactive,0.95,0.7,0.0,0.08,1.73
1049,Tetris Worlds,2001,Puzzle,THQ,1.25,0.39,0.0,0.06,1.71
1068,Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,0.87,0.66,0.08,0.08,1.69
1070,Dragon Ball Z: The Legacy of Goku,2002,Role-Playing,Infogrames,1.52,0.12,0.0,0.05,1.69
1083,Metroid Fusion,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68
1093,"Monsters, Inc.",2001,Adventure,THQ,0.59,0.95,0.03,0.1,1.67
1115,Kirby & the Amazing Mirror,2004,Platform,Nintendo,0.8,0.05,0.76,0.03,1.64
1181,Spyro 2: Season of Flame,2002,Platform,Vivendi Games,0.85,0.65,0.0,0.08,1.58
1194,Pokemon Pinball: Ruby & Sapphire,2003,Misc,Nintendo,0.68,0.38,0.44,0.05,1.56
1291,Disney Princess,2003,Platform,THQ,1.04,0.37,0.0,0.06,1.47
1300,The SpongeBob SquarePants Movie,2004,Platform,THQ,1.02,0.38,0.0,0.06,1.46
1353,Classic NES Series: Super Mario Bros.,2004,Platform,Nintendo,0.0,0.0,1.39,0.03,1.43
1359,The Legend of Zelda: The Minish Cap,2004,Action,Nintendo,0.89,0.22,0.22,0.1,1.42
1386,Sonic Advance 3,2004,Platform,THQ,0.74,0.52,0.08,0.06,1.4
1426,Crash Bandicoot 2: N-Tranced,2003,Platform,Vivendi Games,0.63,0.66,0.0,0.07,1.36
1473,Spider-Man: The Movie,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33
1476,The Sims: Bustin' Out,2003,Simulation,Electronic Arts,0.93,0.35,0.0,0.06,1.33
1495,Mega Man Battle Network 4: Red Sun / Blue Moon,2003,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32
