Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
108,Super Smash Bros. Melee,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
111,Mario Kart: Double Dash!!,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
136,Super Mario Sunshine,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
233,The Legend of Zelda: The Wind Waker,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
357,Luigi's Mansion,2001,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
436,Animal Crossing,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15
520,Metroid Prime,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
602,Sonic Adventure 2 Battle,2001,Platform,Sega,1.7,0.59,0.21,0.07,2.56
605,Pokémon Colosseum,2003,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54
627,Mario Party 4,2002,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47
718,Paper Mario: The Thousand-Year Door,2004,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25
805,Mario Party 5,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08
827,Sonic Mega Collection,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05
909,Star Wars Rogue Leader: Rogue Squadron II,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9
921,Star Fox Adventures,2002,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87
1072,Resident Evil 4,2005,Action,Capcom,0.98,0.42,0.22,0.06,1.69
1109,Mario Party 6,2004,Misc,Nintendo,0.9,0.11,0.6,0.05,1.65
1127,Pikmin,2001,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63
1139,Kirby Air Ride,2003,Racing,Nintendo,1.01,0.11,0.45,0.04,1.62
1146,Super Mario Strikers,2005,Sports,Nintendo,0.98,0.38,0.2,0.04,1.61
1159,Sonic Heroes,2003,Platform,Sega,1.05,0.44,0.06,0.04,1.6
1162,The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,1.15,0.36,0.04,0.04,1.59
1185,Mario Party 7,2005,Misc,Nintendo,0.95,0.11,0.46,0.04,1.57
1227,Mario Golf: Toadstool Tour,2003,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53
1241,Super Monkey Ball 2,2002,Puzzle,Atari,1.11,0.31,0.06,0.04,1.52
1253,SoulCalibur II,2003,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,1.5
1269,Final Fantasy: Crystal Chronicles,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49
1307,Super Monkey Ball,2001,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46
1310,Mario Superstar Baseball,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46
1365,Resident Evil (Remake),2002,Action,Capcom,0.63,0.38,0.35,0.05,1.42
1371,LEGO Star Wars: The Video Game,2005,Action,Eidos Interactive,1.09,0.28,0.0,0.04,1.41
1462,Donkey Kong Jungle Beat,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34
1478,Metroid Prime 2: Echoes,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33
1531,Resident Evil Zero,2002,Action,Capcom,0.54,0.27,0.45,0.04,1.29
1567,Sonic Adventure DX: Director's Cut,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27
1593,Pokemon XD: Gale of Darkness,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25
1636,Mario Power Tennis,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
1663,Need for Speed Underground,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21
1671,Pikmin 2,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2
1701,Spider-Man: The Movie,2002,Action,Activision,0.86,0.27,0.01,0.04,1.19
1777,Donkey Konga,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15
1802,Need for Speed Underground 2,2004,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14
1868,Tales of Symphonia,2003,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1
1916,Star Fox: Assault,2005,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08
1999,Naruto: Clash of Ninja 2,2003,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04
2032,Shrek 2,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02
2086,The Simpsons: Hit & Run,2003,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99
2103,Shadow The Hedgehog,2005,Platform,Sega,0.76,0.2,0.0,0.03,0.99
2146,LEGO Star Wars II: The Original Trilogy,2006,Action,LucasArts,0.75,0.19,0.0,0.03,0.97
2178,SpongeBob SquarePants: Battle for Bikini Bottom,2003,Platform,THQ,0.74,0.19,0.0,0.03,0.95
2200,The SpongeBob SquarePants Movie,2004,Platform,THQ,0.73,0.19,0.0,0.03,0.94
2241,Cars,2006,Racing,THQ,0.72,0.19,0.0,0.03,0.93
2269,Sonic Riders,2006,Racing,Sega,0.71,0.18,0.0,0.03,0.92
2339,Finding Nemo,2003,Action,THQ,0.69,0.18,0.0,0.02,0.89
2455,Spider-Man 2,2004,Action,Activision,0.65,0.17,0.0,0.02,0.84
2463,The Incredibles,2004,Action,THQ,0.65,0.17,0.0,0.02,0.84
2509,Tony Hawk's Pro Skater 3,2001,Sports,Activision,0.64,0.17,0.0,0.02,0.82
2542,The Legend of Zelda: Four Swords Adventures,2004,Action,Nintendo,0.63,0.16,0.0,0.02,0.81
2568,Star Wars Rogue Squadron III: Rebel Strike,2003,Simulation,LucasArts,0.62,0.16,0.0,0.02,0.8
2589,Need for Speed: Hot Pursuit 2,2002,Racing,Electronic Arts,0.68,0.09,0.0,0.02,0.8
2605,Harvest Moon: A Wonderful Life,2003,Role-Playing,Ubisoft,0.61,0.16,0.0,0.02,0.79
2655,James Bond 007: Nightfire,2002,Shooter,Electronic Arts,0.6,0.16,0.0,0.02,0.78
2825,James Bond 007: Agent Under Fire,2002,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72
2872,Godzilla: Destroy All Monsters Melee,2002,Fighting,Atari,0.55,0.14,0.0,0.02,0.71
2878,Yu-Gi-Oh! The Falsebound Kingdom,2002,Strategy,Konami Digital Entertainment,0.49,0.13,0.07,0.02,0.71
2881,Spyro: Enter the Dragonfly,2002,Platform,Universal Interactive,0.55,0.14,0.0,0.02,0.71
2890,"WarioWare, Inc.: Mega Party Game$",2003,Puzzle,Nintendo,0.2,0.05,0.44,0.02,0.71
2906,Tony Hawk's Underground,2003,Sports,Activision,0.54,0.14,0.0,0.02,0.7
2915,Madden NFL 2005,2004,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7
2959,Dragon Ball Z: Budokai,2003,Fighting,Atari,0.53,0.14,0.0,0.02,0.69
2964,Harry Potter and the Chamber of Secrets,2002,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69
2966,The Lord of the Rings: The Return of the King,2003,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69
2986,Naruto: Clash of Ninja,2003,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68
3067,Madagascar,2005,Platform,Activision,0.52,0.13,0.0,0.02,0.66
3079,The Sims: Bustin' Out,2003,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66
3103,F-Zero GX,2003,Racing,Nintendo,0.41,0.11,0.12,0.02,0.65
3237,Namco Museum,2002,Misc,Namco Bandai Games,0.48,0.13,0.0,0.02,0.63
3248,Madden NFL 07,2006,Sports,Electronic Arts,0.48,0.13,0.0,0.02,0.62
3259,Viewtiful Joe,2003,Action,Capcom,0.38,0.1,0.12,0.02,0.62
3274,Pac-Man Player's Choice Bundle,2003,Misc,Namco Bandai Games,0.48,0.12,0.0,0.02,0.62
3324,Madden NFL 2002,2001,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61
3340,Wave Race: Blue Storm,2001,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6
3395,Medal of Honor: Frontline,2002,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59
3409,Crash Bandicoot: The Wrath of Cortex,2002,Platform,Universal Interactive,0.46,0.12,0.0,0.02,0.59
3492,Tony Hawk's Pro Skater 4,2002,Sports,Activision,0.45,0.12,0.0,0.02,0.58
3526,Madden NFL 06,2005,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57
3562,True Crime: Streets of LA,2003,Action,Activision,0.44,0.11,0.0,0.02,0.56
3587,Need for Speed: Most Wanted,2005,Racing,Electronic Arts,0.43,0.11,0.0,0.02,0.56
3725,Fire Emblem: Path of Radiance,2005,Action,Nintendo,0.29,0.08,0.16,0.01,0.54
3738,SSX Tricky,2001,Sports,Electronic Arts,0.42,0.11,0.0,0.01,0.54
3755,NBA Street Vol. 2,N/A,Sports,Electronic Arts,0.41,0.11,0.0,0.01,0.54
3799,X-Men Legends,2004,Role-Playing,Activision,0.41,0.11,0.0,0.01,0.53
3810,The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,0.41,0.11,0.0,0.01,0.53
3898,Madden NFL 2004,2003,Sports,Electronic Arts,0.4,0.1,0.0,0.01,0.51
3963,Avatar: The Last Airbender,2006,Adventure,THQ,0.39,0.1,0.0,0.01,0.5
4002,Tony Hawk's Underground 2,2004,Sports,Activision,0.38,0.1,0.0,0.01,0.5
4033,WWE Wrestlemania X8,2002,Fighting,THQ,0.38,0.1,0.0,0.01,0.49
4039,The Sims,2003,Simulation,Electronic Arts,0.35,0.13,0.0,0.01,0.49
4065,Crazy Taxi,2001,Racing,Acclaim Entertainment,0.36,0.09,0.02,0.01,0.49
4223,Dance Dance Revolution: Mario Mix,2005,Misc,Nintendo,0.36,0.09,0.0,0.01,0.47
4224,Metal Gear Solid: The Twin Snakes,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47
4321,Enter the Matrix,2003,Action,Atari,0.34,0.09,0.02,0.01,0.45
4326,Phantasy Star Online Episode I & II,2002,Role-Playing,Infogrames,0.23,0.06,0.16,0.01,0.45
4394,NBA Live 2005,2004,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45
4396,WWE Day of Reckoning,2004,Fighting,THQ,0.35,0.09,0.0,0.01,0.45
4458,"SpongeBob SquarePants: Lights, Camera, Pants!",2005,Misc,THQ,0.34,0.09,0.0,0.01,0.44
4467,Naruto: Gekito Ninja Taisen! 3,2004,Fighting,Tomy Corporation,0.0,0.0,0.43,0.01,0.44
