Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
144,Sonic the Hedgehog 2,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
255,Sonic the Hedgehog,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
565,Mortal Kombat,1992,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09,2.67
589,Streets of Rage,1990,Action,Sega,1.86,0.55,0.11,0.08,2.6
829,NBA Jam,1992,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05
954,Sonic & Knuckles,1994,Platform,Sega,1.24,0.43,0.03,0.12,1.82
993,Sonic the Hedgehog 3,1994,Platform,Sega,1.02,0.47,0.2,0.07,1.76
1101,Street Fighter II': Special Champion Edition,1992,Fighting,Sega,1.0,0.3,0.31,0.04,1.66
1374,Disney's The Lion King,1994,Platform,Virgin Interactive,0.97,0.37,0.03,0.05,1.41
1460,Mortal Kombat 3,1994,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04,1.34
1843,NBA Jam Tournament Edition,1994,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03,1.11
6475,Virtua Racing,1994,Racing,Sega,0.0,0.0,0.26,0.0,0.26
7912,Shining Force II,1993,Strategy,Sega,0.0,0.0,0.19,0.0,0.19
8910,Super Street Fighter II,1993,Fighting,Capcom,0.0,0.0,0.15,0.0,0.15
9006,"Lunar 2: Eternal Blue(sales, but wrong system)",1994,Role-Playing,Game Arts,0.0,0.0,0.14,0.0,0.14
9563,Gunstar Heroes,1992,Shooter,Sega,0.0,0.0,0.13,0.0,0.13
9798,Ecco the Dolphin,1992,Adventure,Sega,0.0,0.0,0.12,0.0,0.12
11543,Yuu Yuu Hakusho: Makyo Toitsusen,1994,Fighting,Sega,0.0,0.0,0.08,0.0,0.08
11642,Dragon Slayer: The Legend of Heroes,1994,Role-Playing,Sega,0.0,0.0,0.08,0.0,0.08
11953,Ecco: The Tides of Time,1993,Adventure,Sega,0.0,0.0,0.07,0.0,0.07
12067,Street Fighter II': Special Champion Edition (JP weekly sales),1993,Action,Capcom,0.0,0.0,0.07,0.0,0.07
12233,Streets of Rage 3,1993,Action,Sega,0.0,0.0,0.07,0.0,0.07
12947,Dynamite Headdy,1993,Platform,Sega,0.0,0.0,0.05,0.0,0.05
13313,Beyond Oasis,1993,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05
14036,J-League Pro Striker 2,1994,Sports,Sega,0.0,0.0,0.04,0.0,0.04
14095,Castlevania Bloodlines,1994,Platform,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
14419,Puzzle & Action: Tant-R,1994,Misc,Sega,0.0,0.0,0.03,0.0,0.03
