Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
47,Super Mario 64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
64,Mario Kart 64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
85,GoldenEye 007,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
95,The Legend of Zelda: Ocarina of Time,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
158,Super Smash Bros.,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
166,Pokemon Stadium,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
176,Donkey Kong 64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
214,Diddy Kong Racing,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
297,Star Fox 64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
342,Banjo-Kazooie,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
347,Pokemon Snap,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
399,The Legend of Zelda: Majora's Mask,2000,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
444,Star Wars Episode I Racer,1999,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12
485,Wave Race 64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94
511,Yoshi's Story,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85
548,Pokémon Stadium 2,2000,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73
555,Mario Party,1998,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7
575,Star Wars: Shadows of the Empire,1996,Action,Nintendo,2.0,0.5,0.12,0.03,2.65
610,Perfect Dark,2000,Action,Nintendo,1.55,0.75,0.16,0.06,2.52
616,Mario Party 2,1999,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5
661,WCW/nWo Revenge,1998,Fighting,THQ,1.94,0.39,0.03,0.02,2.38
685,Mario Tennis,2000,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32
755,Star Wars: Rogue Squadron,1998,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17
780,Tony Hawk's Pro Skater,2000,Sports,Activision,1.68,0.4,0.0,0.03,2.11
839,1080°: TenEighty Snowboarding,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03
904,Mario Party 3,2000,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91
929,Turok 2: Seeds of Evil,1997,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86
945,"Hey You, Pikachu!",1998,Simulation,Nintendo,0.83,0.06,0.93,0.0,1.83
986,Kirby 64: The Crystal Shards,2000,Platform,Nintendo,0.63,0.06,1.03,0.04,1.77
1022,Cruis'n USA,1996,Racing,Nintendo,1.69,0.04,0.0,0.01,1.74
1066,WCW vs. nWo: World Tour,1997,Fighting,THQ,1.37,0.28,0.03,0.02,1.69
1154,F-1 World Grand Prix,1998,Racing,Video System,0.46,0.96,0.09,0.08,1.6
1202,007: The World is not Enough,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55
1261,WWF No Mercy,2000,Fighting,THQ,1.2,0.27,0.02,0.02,1.5
1273,Banjo-Tooie,2000,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49
1281,WWF WrestleMania 2000,1999,Fighting,THQ,1.2,0.25,0.02,0.02,1.48
1290,Mario Golf,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.47
1329,Namco Museum 64,1999,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45
1403,Paper Mario,2000,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,1.38
1423,Pocket Monsters Stadium,1998,Strategy,Nintendo,0.0,0.0,1.37,0.0,1.37
1474,WWF War Zone,1998,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33
1696,Kobe Bryant in NBA Courtside,1998,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19
1730,Mission: Impossible,1997,Action,Ocean,0.74,0.38,0.02,0.03,1.17
1752,Jet Force Gemini,1999,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16
1792,South Park,1998,Shooter,Acclaim Entertainment,0.9,0.23,0.0,0.02,1.14
1821,Pilotwings 64,1996,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12
1862,F-Zero X,1998,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1
1955,NFL Blitz,1998,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06
1956,NFL Quarterback Club 98,1997,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.06
2003,Bomberman 64,1997,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04
2062,Excitebike 64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0
2114,NASCAR 99,1998,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.98
2159,Mortal Kombat Trilogy,1996,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96
2237,Toy Story 2: Buzz Lightyear to the Rescue!,1999,Platform,Activision,0.71,0.2,0.0,0.01,0.93
2260,Knockout Kings 2000,1999,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92
2285,Glover,1998,Platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.91
2313,Madden NFL 99,1998,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9
2421,Madden Football 64,1997,Sports,Electronic Arts,0.81,0.04,0.0,0.01,0.86
2516,Killer Instinct Gold,1996,Fighting,Nintendo,0.61,0.19,0.0,0.01,0.82
2548,Army Men: Sarge's Heroes,1999,Action,3DO,0.68,0.12,0.0,0.01,0.81
2611,WCW Mayhem,1999,Fighting,Electronic Arts,0.63,0.15,0.0,0.01,0.79
2620,Major League Baseball Featuring Ken Griffey Jr,1998,Sports,Nintendo,0.75,0.03,0.0,0.01,0.79
2675,Conker's Bad Fur Day,2001,Platform,THQ,0.53,0.22,0.0,0.02,0.77
2707,Tony Hawk's Pro Skater 2,2001,Sports,Activision,0.59,0.16,0.0,0.01,0.76
2744,San Francisco Rush: Extreme Racing,1997,Racing,GT Interactive,0.63,0.11,0.0,0.01,0.75
2801,Mortal Kombat 4,1998,Fighting,GT Interactive,0.55,0.17,0.0,0.01,0.73
2885,LEGO Racers,1999,Racing,LEGO Media,0.51,0.18,0.0,0.01,0.71
