Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2,Super Mario Bros.,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
10,Duck Hunt,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
23,Super Mario Bros. 3,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
97,Super Mario Bros. 2,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
128,The Legend of Zelda,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
156,Tetris,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
216,Dr. Mario,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
252,Zelda II: The Adventure of Link,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
277,Teenage Mutant Ninja Turtles,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17
278,Excitebike,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
299,Golf,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
313,Dragon Warrior III,1988,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0,3.87
375,Kung Fu,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
422,Baseball,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
447,Dragon Warrior IV,1990,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01,3.12
453,World Class Track Meet,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
466,Mike Tyson's Punch-Out!!,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
549,Metroid,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
574,Super Mario Bros.: The Lost Levels,1986,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65
603,Dragon Warrior II,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56
612,Dragon Warrior,1986,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52
639,Ice Hockey,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42
648,Pro Wrestling,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
702,Mario Bros.,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
724,Teenage Mutant Ninja Turtles II: The Arcade Game,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23
739,Pro Yakyuu Family Stadium,1986,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0,2.2
756,Tennis,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
761,Volleyball,1987,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15
765,Mahjong,1983,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14
766,R.C. Pro-Am,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14
869,Rad Racer,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96
870,Soccer,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96
940,Pinball,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
994,Kid Icarus,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76
1010,Yoshi,1991,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75
1012,Kirby's Adventure,1993,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75
1091,Disney's DuckTales,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67
1119,Ghosts 'n Goblins,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64
1189,Donkey Kong Classics,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56
1235,F1 Race,1984,Racing,Nintendo,0.0,0.0,1.52,0.0,1.52
1236,Xevious,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52
1248,Mega Man 2,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51
1262,Ice Climber,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5
1264,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,1986,Platform,Hudson Soft,0.0,0.0,1.5,0.0,1.5
1280,Nintendo World Cup,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48
1326,4 Nin uchi Mahjong,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45
1363,Pro Yakyuu Family Stadium '87,1987,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42
1387,Final Fantasy III,1990,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01,1.4
1396,Teenage Mutant Ninja Turtles III: The Manhattan Project,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39
1429,Gradius,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36
1492,Gyromite,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
1562,Hogan's Alley,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
1589,Dragon Ball: Daimaou Fukkatsu,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
1625,Castlevania,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
1640,Pac-Man,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
1677,TwinBee,1986,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
1678,Ganbare Goemon! Karakuri Douchuu,1986,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
1697,Disney's Chip 'n Dale: Rescue Rangers,1990,Platform,Capcom,0.68,0.14,0.35,0.02,1.19
1710,Pro Yakyuu Family Stadium '88,1988,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18
1728,Mega Man 3,1990,Platform,Capcom,0.68,0.1,0.39,0.0,1.17
1774,Doraemon,1986,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15
1793,Commando,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14
1811,Donkey Kong,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13
1829,Yoshi's Cookie,1992,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12
1841,Donkey Kong Jr.,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
1859,Lode Runner,1984,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1
1861,Famicom Jump: Eiyuu Retsuden,1989,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0,1.1
1863,Popeye,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1
1973,Adventure Island,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05
1975,Tag Team Match M.U.S.C.L.E.,1985,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05
2022,Bomberman,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03
2061,1942,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0
2063,NES Open Tournament Golf,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0
2113,Tetris 2,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98
