Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6683,Samurai Shodown II,1994,Fighting,SNK,0.0,0.0,0.25,0.0,0.25
7047,The King of Fighters '95 (CD),1994,Fighting,SNK,0.0,0.0,0.23,0.0,0.23
7500,The King of Fighters '95,1995,Fighting,SNK,0.0,0.0,0.2,0.0,0.2
7555,Samurai Spirits (CD),1994,Fighting,SNK,0.0,0.0,0.2,0.0,0.2
9198,The King of Fighters '94 (CD),1993,Fighting,SNK,0.0,0.0,0.14,0.0,0.14
9719,The King of Fighters '94,1994,Fighting,SNK,0.0,0.0,0.12,0.0,0.12
11507,Samurai Shodown III,1995,Fighting,SNK,0.0,0.0,0.08,0.0,0.08
12086,Samurai Shodown,1993,Fighting,SNK,0.0,0.0,0.07,0.0,0.07
12789,The King of Fighters '96,1996,Fighting,SNK,0.0,0.0,0.06,0.0,0.06
13916,Art of Fighting 3: The Path of the Warrior,1996,Fighting,SNK,0.0,0.0,0.04,0.0,0.04
14432,Far East of Eden Shinden,1995,Fighting,Hudson Soft,0.0,0.0,0.03,0.0,0.03
15556,Super Dodge Ball,1995,Sports,Technos Japan Corporation,0.0,0.0,0.02,0.0,0.02
