Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
84,The Sims 3,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11
138,World of Warcraft,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
182,Diablo III,2012,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2
195,Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
218,StarCraft II: Wings of Liberty,2010,Strategy,Activision,2.56,1.68,0.0,0.59,4.83
268,Warcraft II: Tides of Darkness,1995,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
282,Half-Life,1997,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
289,World of Warcraft: The Burning Crusade,2007,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09
311,The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
329,The Sims: Unleashed,2002,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76
354,Doom II: Hell on Earth,1994,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61
457,The Sims: Vacation,2002,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07
474,The Sims: Livin Large,2000,Misc,Electronic Arts,1.67,1.18,0.0,0.13,2.99
479,The Sims 4,2014,Simulation,Electronic Arts,0.96,1.72,0.0,0.29,2.97
480,Star Wars: The Old Republic,2011,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.97
512,Command & Conquer: Red Alert,1996,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85
522,Myst,1994,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81
534,Battlefield 3,2011,Shooter,Electronic Arts,0.89,1.43,0.0,0.48,2.79
636,Riven: The Sequel to Myst,1997,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43
649,Theme Hospital,1997,Strategy,Electronic Arts,2.3,0.1,0.0,0.0,2.4
655,Monopoly,1994,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39
667,Half-Life 2,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37
693,Guild Wars 2,2012,Action,NCSoft,0.95,1.06,0.0,0.29,2.3
696,Tomb Raider II,1997,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29
757,The Sims: House Party,2001,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16
767,SimCity 2000,1992,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14
801,World of Warcraft: Cataclysm,2010,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08
807,Sim Theme Park,1998,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08
808,Warcraft: Orcs & Humans,1994,Strategy,Activision,0.89,1.08,0.0,0.11,2.08
876,Star Wars: Dark Forces,1994,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95
880,Who wants to be a millionaire,1999,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94
