Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
53,Gran Turismo,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
67,Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
70,Gran Turismo 2,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
88,Final Fantasy VIII,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
96,Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
106,Tekken 3,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
117,Crash Bandicoot,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
139,Driver,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
146,Metal Gear Solid,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
152,Resident Evil 2,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
174,Final Fantasy IX,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
179,Tomb Raider II,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
202,Resident Evil,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
205,Warzone 2100,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
206,Spyro the Dragon,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
221,Crash Team Racing,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
224,Driver 2,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
226,Tony Hawk's Pro Skater 2,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
230,Tomb Raider,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
243,Dragon Quest VII: Warriors of Eden,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
279,Frogger,1997,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16
294,Namco Museum Vol.3,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
318,Namco Museum Vol.1,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
326,Resident Evil Director's Cut,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
331,Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,1.37,2.0,0.14,0.22,3.73
333,Resident Evil 3: Nemesis,1999,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72
334,Spyro: Year of the Dragon,2000,Platform,Sony Computer Entertainment,1.93,1.58,0.0,0.19,3.71
359,WWF SmackDown!,2000,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
360,Croc: Legend of the Gobbos,1997,Platform,Fox Interactive,1.57,1.79,0.0,0.2,3.56
363,Tomb Raider III: Adventures of Lara Croft,1997,Action,Eidos Interactive,1.66,1.58,0.12,0.18,3.54
368,Rugrats in Paris: The Movie,2000,Action,THQ,1.96,1.33,0.0,0.23,3.52
369,Spyro 2: Ripto's Rage!,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52
389,Grand Theft Auto 2,1998,Action,Take-Two Interactive,1.13,2.07,0.0,0.22,3.42
394,Crash Bash,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39
398,WWF War Zone,1998,Fighting,Acclaim Entertainment,2.47,0.76,0.0,0.13,3.36
401,Rugrats: Search For Reptar,1998,Adventure,THQ,1.63,1.53,0.0,0.18,3.34
416,Tekken,1995,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24
421,007: Tomorrow Never Dies,1999,Shooter,Electronic Arts,1.72,1.33,0.0,0.16,3.21
424,WWF SmackDown! 2: Know Your Role,2000,Fighting,THQ,1.76,1.21,0.07,0.16,3.2
442,Spider-Man,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13
443,Need for Speed III: Hot Pursuit,1998,Racing,Electronic Arts,2.14,0.86,0.0,0.13,3.12
463,Rayman,1995,Platform,Ubisoft,1.54,1.33,0.0,0.16,3.03
503,Syphon Filter,1999,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88
505,Colin McRae Rally,1998,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87
528,Hot Shots Golf,1997,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79
530,A Bug's Life,1998,Platform,Sony Computer Entertainment,1.96,0.72,0.0,0.11,2.79
533,Mortal Kombat Trilogy,1996,Fighting,GT Interactive,1.98,0.7,0.0,0.11,2.79
568,Medal of Honor,1998,Shooter,Electronic Arts,1.44,1.09,0.0,0.14,2.67
623,Tomb Raider: The Last Revelation,1998,Action,Eidos Interactive,1.15,1.14,0.06,0.13,2.48
631,Final Fantasy Tactics,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
632,Twisted Metal 2,1996,Racing,Sony Computer Entertainment,2.12,0.25,0.0,0.07,2.44
643,Dino Crisis,1998,Action,Capcom,0.81,0.76,0.7,0.14,2.41
647,Tetris Plus,1996,Puzzle,JVC,2.1,0.24,0.0,0.07,2.4
686,Grand Theft Auto,1997,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32
689,Need For Speed: High Stakes,1999,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31
691,Cool Boarders 3,1998,Sports,989 Studios,1.65,0.46,0.1,0.1,2.31
706,TOCA Touring Car Championship,1997,Racing,Codemasters,0.07,2.0,0.02,0.18,2.28
717,Cool Boarders 2,1997,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25
759,Syphon Filter 2,2000,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,2.15
787,Parasite Eve,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1
793,Derby Stallion,1997,Sports,ASCII Entertainment,0.0,0.0,1.96,0.14,2.09
810,Spec Ops: Airborne Commando,2002,Shooter,Take-Two Interactive,1.54,0.46,0.0,0.08,2.07
820,R4: Ridge Racer Type 4,1998,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06
853,Tenchu: Stealth Assassins,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99
856,Harry Potter and the Chamber of Secrets,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98
881,Scooby Doo and the Cyber Chase,2001,Adventure,THQ,0.59,1.23,0.0,0.13,1.94
884,Jet Moto 2,1997,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94
902,PaRappa The Rapper,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92
915,Yu-Gi-Oh! Forbidden Memories,1999,Role-Playing,Konami Digital Entertainment,1.37,0.44,0.0,0.08,1.88
917,Hot Shots Golf 2,1999,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88
919,WCW Nitro,1998,Fighting,THQ,1.42,0.36,0.03,0.07,1.88
922,FIFA 2000,1998,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87
928,The Legend of Dragoon,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86
934,Chrono Cross,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86
948,Jet Moto,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83
952,Air Combat,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83
968,NFL GameDay 2000,1999,Sports,989 Studios,1.0,0.68,0.0,0.12,1.8
975,SpongeBob SquarePants: SuperSponge,2001,Action,THQ,1.12,0.58,0.0,0.08,1.78
