Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
18,Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
25,Grand Theft Auto: Vice City,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
29,Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
39,Grand Theft Auto III,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
48,Gran Turismo 4,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
87,Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
105,Need for Speed Underground,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
114,Need for Speed Underground 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
132,Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
143,Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
148,Final Fantasy XII,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
168,Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
175,Final Fantasy X-2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
180,Madden NFL 2004,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
191,Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
196,Guitar Hero II,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12
