Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
91,Grand Theft Auto: Liberty City Stories,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
162,Monster Hunter Freedom Unite,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
199,Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
215,Monster Hunter Freedom 3,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87
267,Daxter,2006,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22
327,Ratchet & Clank: Size Matters,2007,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77
341,Midnight Club 3: DUB Edition,2005,Racing,Take-Two Interactive,1.65,1.22,0.0,0.79,3.66
414,Gran Turismo (PSP),2009,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27
425,Crisis Core: Final Fantasy VII,2007,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19
426,God of War: Chains of Olympus,2008,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19
573,Medal of Honor Heroes,2006,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65
578,Pac-Man: Adventures in Time,2006,Fighting,Sony Computer Entertainment,0.76,1.1,0.12,0.65,2.63
593,LittleBigPlanet,2009,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58
596,Monster Hunter Freedom 2,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.58
634,Need for Speed Carbon: Own the City,2006,Racing,Electronic Arts,0.87,0.98,0.0,0.59,2.44
721,Dissidia: Final Fantasy,2008,Fighting,Square Enix,0.51,0.51,0.91,0.32,2.25
763,Call of Duty: Roads to Victory,2007,Shooter,Activision,0.52,1.03,0.0,0.59,2.14
790,Need for Speed: Most Wanted 5-1-0,2005,Racing,Electronic Arts,1.77,0.13,0.02,0.18,2.1
800,Metal Gear Solid: Peace Walker,2010,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09
811,Kingdom Hearts: Birth by Sleep,2010,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07
868,Hot Shots Golf: Open Tee,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96
1074,Star Wars Battlefront: Renegade Squadron,2007,Shooter,LucasArts,0.9,0.47,0.0,0.32,1.68
1231,Sonic Rivals 2,2007,Racing,Sega,0.44,0.69,0.0,0.39,1.52
1315,SNK vs. Capcom: The Match of the Millennium,2006,Fighting,Sega,0.53,0.58,0.0,0.35,1.46
1336,Sonic Rivals,2006,Racing,Sega,0.73,0.42,0.0,0.28,1.44
1368,LEGO Star Wars II: The Original Trilogy,2006,Action,LucasArts,0.58,0.51,0.0,0.32,1.41
1375,Ridge Racer,2004,Racing,Sony Computer Entertainment,0.36,0.45,0.32,0.28,1.41
1402,The Sims 2,2005,Simulation,Electronic Arts,0.49,0.56,0.0,0.33,1.38
1440,FIFA Soccer 09,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35
1442,FIFA Soccer 08,2007,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35
1451,Monster Hunter Freedom,2005,Role-Playing,Capcom,0.24,0.04,1.03,0.04,1.35
1485,Need for Speed Underground Rivals,2005,Racing,Electronic Arts,0.69,0.38,0.02,0.24,1.32
1500,LEGO Batman: The Videogame,N/A,Action,Warner Bros. Interactive Entertainment,0.57,0.46,0.0,0.28,1.32
1605,Assassin's Creed: Bloodlines,2009,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24
1629,Star Wars: Battlefront II,2005,Shooter,LucasArts,1.05,0.06,0.01,0.11,1.23
1643,Cars,2006,Racing,THQ,0.72,0.29,0.0,0.21,1.22
1656,FIFA Soccer 11,2010,Sports,Electronic Arts,0.13,0.7,0.01,0.37,1.21
1666,FIFA Soccer 07,2006,Sports,Electronic Arts,0.24,0.65,0.0,0.32,1.21
1667,World Soccer Winning Eleven 9 (JP & Others sales),2005,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0,1.2
1687,Metal Gear Solid: Portable Ops,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.09,1.19
1690,WWE SmackDown vs Raw 2008,2007,Fighting,THQ,0.45,0.47,0.0,0.28,1.19
1709,LEGO Indiana Jones: The Original Adventures,2008,Action,LucasArts,0.4,0.49,0.0,0.29,1.18
1745,Final Fantasy Tactics: The War of the Lions,2007,Role-Playing,Square Enix,0.45,0.25,0.3,0.16,1.16
1757,Medal of Honor Heroes 2,2007,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.16
1761,FIFA Soccer 10,2009,Sports,Electronic Arts,0.15,0.68,0.01,0.32,1.16
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,2005,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12
1847,Lumines: Puzzle Fusion,2004,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.11
1869,Untold Legends: Brotherhood of the Blade,2005,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.1
1872,Star Wars: The Force Unleashed,2008,Action,LucasArts,0.43,0.41,0.0,0.25,1.09
1874,The Simpsons Game,2007,Action,Electronic Arts,0.24,0.55,0.0,0.31,1.09
1881,Namco Museum Battle Collection,2005,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.09
