Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
715,Minecraft,2014,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
1025,Uncharted: Golden Abyss,2011,Shooter,Sony Computer Entertainment,0.59,0.75,0.13,0.27,1.74
1073,Call of Duty Black Ops: Declassified,2012,Action,Activision,0.8,0.52,0.07,0.3,1.69
1288,Assassin's Creed III: Liberation,2012,Action,Ubisoft,0.58,0.55,0.06,0.28,1.47
1298,LittleBigPlanet PS Vita,2012,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47
1407,Persona 4: Golden,2012,Role-Playing,Atlus,0.46,0.34,0.38,0.21,1.38
1744,Need for Speed: Most Wanted,2012,Racing,Electronic Arts,0.38,0.52,0.01,0.25,1.16
2072,Killzone: Mercenary,2013,Shooter,Sony Computer Entertainment Europe,0.25,0.49,0.04,0.22,1.0
2148,Final Fantasy X / X-2 HD Remaster,2013,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97
2477,FIFA 15,2014,Sports,Electronic Arts,0.13,0.48,0.04,0.19,0.84
2488,Borderlands 2,2014,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83
2669,Freedom Wars,2014,Role-Playing,Sony Computer Entertainment,0.22,0.14,0.32,0.1,0.77
2697,Mortal Kombat,2012,Fighting,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76
2737,Tearaway,2013,Adventure,Sony Computer Entertainment Europe,0.17,0.39,0.0,0.19,0.75
3082,LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.15,0.35,0.0,0.16,0.66
3169,Gravity Rush,2012,Action,Sony Computer Entertainment,0.26,0.2,0.09,0.1,0.64
3262,FIFA Soccer,2012,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62
3337,Hot Shots Golf: World Invitational,2011,Sports,Sony Computer Entertainment,0.19,0.11,0.25,0.06,0.6
3386,Rayman Origins,2012,Platform,Ubisoft,0.13,0.35,0.0,0.11,0.59
3617,Soul Sacrifice,2013,Role-Playing,Sony Computer Entertainment,0.18,0.09,0.22,0.06,0.56
3653,Unit 13,2012,Shooter,Sony Computer Entertainment,0.29,0.15,0.04,0.07,0.55
3813,Batman: Arkham Origins Blackgate,2013,Action,Warner Bros. Interactive Entertainment,0.2,0.2,0.0,0.13,0.53
3852,PlayStation All-Stars Battle Royale,2012,Action,Sony Computer Entertainment,0.26,0.15,0.01,0.1,0.52
3990,FIFA 14,2013,Sports,Electronic Arts,0.11,0.25,0.01,0.13,0.5
4029,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.09,0.29,0.0,0.11,0.49
4083,Sonic & All-Stars Racing Transformed,2012,Racing,Sega,0.12,0.25,0.0,0.11,0.48
4088,Metal Gear Solid HD Edition,2012,Action,Konami Digital Entertainment,0.16,0.18,0.05,0.09,0.48
4180,FIFA Soccer 13,2012,Action,Electronic Arts,0.0,0.3,0.05,0.12,0.47
4181,Virtua Tennis 4: World Tour,2011,Sports,Sega,0.05,0.3,0.01,0.12,0.47
4289,Sword Art Online: Lost Song,2015,Role-Playing,Namco Bandai Games,0.08,0.1,0.23,0.05,0.46
4309,Persona 4: Dancing All Night,2015,Misc,Nippon Ichi Software,0.13,0.1,0.15,0.07,0.46
4314,Tales of Hearts,2013,Role-Playing,Namco Bandai Games,0.15,0.13,0.09,0.08,0.45
4329,Resistance: Burning Skies,2012,Shooter,Sony Computer Entertainment,0.21,0.16,0.02,0.07,0.45
4360,God Eater 2,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45
4597,Ragnarok Odyssey,2012,Role-Playing,GungHo,0.22,0.01,0.16,0.03,0.42
4684,Danganronpa: Trigger Happy Havoc,2013,Misc,Nippon Ichi Software,0.14,0.07,0.15,0.06,0.41
4719,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.09,0.23,0.0,0.09,0.41
