Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
890,Virtua Fighter 2,1995,Fighting,Sega,0.34,0.26,1.3,0.03,1.93
1755,Sega Rally Championship,1995,Racing,Sega,0.21,0.16,0.77,0.02,1.16
1925,Virtua Fighter,1994,Fighting,Sega,0.17,0.12,0.77,0.02,1.07
3239,Virtua Cop,1995,Shooter,Sega,0.0,0.0,0.62,0.0,0.62
3276,Fighters MEGAMiX,1996,Fighting,Sega,0.0,0.0,0.62,0.0,0.62
3359,Puyo Puyo Sun,1997,Puzzle,Compile,0.0,0.0,0.6,0.0,0.6
3638,Daytona USA,1994,Racing,Sega,0.0,0.0,0.55,0.0,0.55
3649,Sakura Wars,1996,Adventure,Sega,0.0,0.0,0.55,0.0,0.55
3669,Super Robot Taisen F,1997,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55
3674,Super Robot Taisen F Kanketsuhen,1998,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55
3758,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",1998,Adventure,Sega,0.0,0.0,0.53,0.0,0.53
4052,J-League Pro Soccer Club wo Tsukurou! 2,1997,Sports,Sega,0.0,0.0,0.49,0.0,0.49
4483,Neon Genesis Evangelion,1996,Adventure,Sega,0.0,0.0,0.44,0.0,0.44
4509,NiGHTS into dreams...,1996,Platform,Sega,0.0,0.0,0.43,0.0,0.43
4569,Neon Genesis Evangelion 2nd Impression,1997,Role-Playing,Sega,0.0,0.0,0.42,0.0,0.42
4602,Grandia,1997,Role-Playing,ESP,0.0,0.0,0.42,0.0,0.42
4672,Cyber Troopers Virtual-On,1995,Fighting,Sega,0.0,0.0,0.42,0.0,0.42
4701,Mobile Suit Gundam,1995,Action,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
4713,E0: Enemy Zero,1996,Adventure,Sega,0.0,0.0,0.41,0.0,0.41
4823,Fighting Vipers,1995,Fighting,Sega,0.0,0.0,0.4,0.0,0.4
5011,Shin Megami Tensei: Devil Summoner,1995,Role-Playing,Atlus,0.0,0.0,0.38,0.0,0.38
5044,Tokimeki Memorial: Forever with You,1996,Simulation,Konami Digital Entertainment,0.0,0.0,0.38,0.0,0.38
5118,Panzer Dragoon,1995,Shooter,Sega,0.0,0.0,0.37,0.0,0.37
5170,Nonomura Byoin no Hitobito,1996,Adventure,Elf,0.0,0.0,0.36,0.0,0.36
5340,Street Fighter Alpha: Warriors' Dreams,1996,Fighting,Capcom,0.0,0.0,0.35,0.0,0.35
