Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
19,Super Mario World,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
58,Super Mario All-Stars,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
72,Donkey Kong Country,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3
77,Super Mario Kart,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
137,Street Fighter II: The World Warrior,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
188,Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
232,The Legend of Zelda: A Link to the Past,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
283,Super Mario World 2: Yoshi's Island,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
286,Street Fighter II Turbo,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
390,Final Fantasy III,1994,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02,3.42
423,Killer Instinct,1995,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2
427,Dragon Quest VI: Maboroshi no Daichi,1995,Role-Playing,Enix Corporation,0.0,0.0,3.19,0.0,3.19
473,Star Fox,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
510,F-Zero,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85
532,Dragon Quest V: Tenkuu no Hanayome,1992,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01,2.79
546,Mario Paint,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75
630,Final Fantasy V,1992,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02,2.45
690,Chrono Trigger,1995,Role-Playing,SquareSoft,0.28,0.0,2.02,0.01,2.31
764,Super Mario RPG: Legend of the Seven Stars,1996,Role-Playing,Nintendo,0.66,0.0,1.45,0.03,2.14
851,Super Street Fighter II,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0
857,SimCity,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98
889,Mortal Kombat II,1993,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93
950,Secret of Mana,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83
970,Disney's The Lion King,1994,Platform,Virgin Interactive,1.26,0.39,0.08,0.06,1.79
985,Final Fantasy II,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77
1011,Disney's Aladdin,1993,Platform,Capcom,0.94,0.34,0.21,0.27,1.75
1056,Super Puyo Puyo,1993,Puzzle,Banpresto,0.0,0.0,1.69,0.01,1.7
1110,Super Scope 6,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65
1192,Final Fight,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56
1223,Mortal Kombat 3,1994,Fighting,Acclaim Entertainment,1.19,0.29,0.0,0.05,1.53
1327,Dragon Ball Z,1993,Fighting,Namco Bandai Games,0.0,0.0,1.45,0.0,1.45
1338,Kirby Super Star,1996,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44
1362,Super Metroid,1994,Action,Nintendo,0.57,0.12,0.71,0.02,1.42
1395,NBA Jam,1994,Sports,Acclaim Entertainment,1.19,0.16,0.0,0.03,1.39
1430,Dragon Quest III: Soshite Densetsu e...,1996,Role-Playing,Enix Corporation,0.0,0.0,1.36,0.0,1.36
1523,Romancing SaGa 3,1995,Role-Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3
1659,The Magical Quest starring Mickey Mouse,1992,Platform,Capcom,0.66,0.17,0.35,0.03,1.21
1676,Dragon Ball Z: La Legende Saien,1993,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2
1718,Super Ghouls 'n Ghosts,1991,Platform,Capcom,0.5,0.14,0.52,0.02,1.18
1731,Romancing SaGa 2,1993,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0,1.17
1753,Mega Man X,1993,Platform,Capcom,0.57,0.08,0.5,0.01,1.16
1773,Derby Stallion III,1995,Sports,ASCII Entertainment,0.0,0.0,1.15,0.0,1.15
1779,Dragon Quest I & II,1993,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15
1794,Pilotwings,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14
1976,Derby Stallion 96,1996,Sports,ASCII Entertainment,0.0,0.0,1.04,0.01,1.05
2035,Final Fight 2,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02
2048,NBA Jam Tournament Edition,1995,Sports,Acclaim Entertainment,0.87,0.12,0.0,0.02,1.01
2144,Romancing SaGa,1992,Role-Playing,SquareSoft,0.0,0.0,0.97,0.0,0.97
2291,Super Momotarou Dentetsu III,1994,Simulation,Hudson Soft,0.0,0.0,0.91,0.0,0.91
2298,Mini-Yonku Shining Scorpion: Let's & Go!!,1996,Racing,ASCII Entertainment,0.0,0.0,0.9,0.0,0.9
2355,Seiken Densetsu 3,1995,Role-Playing,SquareSoft,0.0,0.0,0.89,0.0,0.89
2381,Derby Stallion II,1994,Sports,ASCII Entertainment,0.0,0.0,0.87,0.0,0.87
2536,Kamaitachi no Yoru,1994,Adventure,ChunSoft,0.0,0.0,0.81,0.0,0.81
2539,Super Bomberman 2,1994,Puzzle,Hudson Soft,0.0,0.0,0.81,0.0,0.81
2552,EarthBound,1994,Role-Playing,Nintendo,0.0,0.0,0.81,0.0,0.81
2594,Capcom's Soccer Shootout,1993,Sports,Nintendo,0.0,0.0,0.8,0.0,0.8
2653,Torneko no Daibouken: Fushigi no Dungeon,1993,Role-Playing,ChunSoft,0.0,0.0,0.78,0.0,0.78
2797,Dragon Ball Z: Ultime Menace,1993,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73
2889,Tactics Ogre: Let Us Cling Together,1995,Role-Playing,Quest,0.0,0.0,0.71,0.0,0.71
2908,Super Bomberman 3,1994,Puzzle,Hudson Soft,0.0,0.0,0.7,0.0,0.7
2940,Fire Emblem: Monsh? no Nazo,1994,Role-Playing,Nintendo,0.0,0.0,0.7,0.0,0.7
2958,J-League Soccer: Prime Goal,1993,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
3206,Super Castlevania IV,1991,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63
3238,Nobunaga no Yabou: Haouden,1993,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0,0.62
3277,Bahamut Lagoon,1996,Role-Playing,SquareSoft,0.0,0.0,0.62,0.0,0.62
3374,Front Mission,1995,Strategy,SquareSoft,0.0,0.0,0.6,0.0,0.6
3437,Kirby's Dream Course,1994,Sports,Nintendo,0.0,0.0,0.59,0.0,0.59
3483,Dragon Ball Z: Chou Saiya Densetsu,1992,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58
3487,Fire Emblem: Seisen no Keifu,1996,Strategy,Nintendo,0.0,0.0,0.58,0.0,0.58
3546,Super Bomberman,1992,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0,0.57
3593,Mega Man X2,1993,Platform,Laguna,0.09,0.02,0.45,0.0,0.56
