Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
3,Mario Kart Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
8,Wii Play,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
14,Wii Fit,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0
40,Super Smash Bros. Brawl,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
49,Super Mario Galaxy,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
61,Just Dance 3,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26
69,Just Dance 2,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
79,Wii Party,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
81,Mario Party 8,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
86,Mario & Sonic at the Olympic Games,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
92,Super Mario Galaxy 2,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
101,The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
103,Just Dance,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
112,Just Dance 4,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91
118,Zumba Fitness,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81
126,Donkey Kong Country Returns,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
151,LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83
207,Link's Crossbow Training,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0
227,Animal Crossing: City Folk,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
231,Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.06,1.12,0.0,0.44,4.62
234,Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
248,Michael Jackson: The Experience,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
285,The Legend of Zelda: Skyward Sword,2011,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
287,Carnival Games,2007,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
304,EA Sports Active,2009,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
321,Big Brain Academy: Wii Degree,2007,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82
324,Mario & Sonic at the London 2012 Olympic Games,2011,Sports,Sega,1.14,1.91,0.27,0.46,3.78
328,Just Dance 2014,2013,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76
330,Super Paper Mario,2007,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
344,Guitar Hero: World Tour,2008,Misc,Activision,2.33,0.97,0.0,0.35,3.65
406,Mario Party 9,2012,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32
413,Wii Music,2008,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
432,LEGO Batman: The Videogame,N/A,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17
461,Epic Mickey,2010,Platform,Disney Interactive Studios,2.06,0.64,0.12,0.22,3.04
491,WarioWare: Smooth Moves,2006,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92
492,Cooking Mama: Cook Off,2007,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91
502,Zumba Fitness 2,2011,Sports,Majesco Entertainment,1.54,1.07,0.0,0.28,2.88
513,Skylanders: Spyro's Adventure,2011,Action,Activision,1.4,1.14,0.0,0.31,2.85
543,Sonic and the Secret Rings,2007,Platform,Sega,1.24,1.2,0.04,0.3,2.77
572,Skylanders Giants,2012,Action,Activision,1.56,0.88,0.0,0.22,2.65
