Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
109,Mario Kart 8,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
184,New Super Mario Bros. U,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
204,Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
236,Splatoon,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
247,Nintendo Land,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
262,Super Mario 3D World,2013,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
430,Super Mario Maker,2015,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18
727,New Super Luigi U,2013,Platform,Nintendo,1.27,0.62,0.18,0.16,2.22
980,The Legend of Zelda: The Wind Waker,2013,Action,Nintendo,0.93,0.57,0.14,0.13,1.77
983,Wii Party U,2013,Misc,Nintendo,0.31,0.54,0.84,0.08,1.77
1209,Mario Party 10,2015,Misc,Nintendo,0.69,0.5,0.24,0.11,1.55
1229,Donkey Kong Country: Tropical Freeze,2014,Platform,Nintendo,0.73,0.52,0.15,0.12,1.52
1528,Yoshi's Woolly World,2015,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29
1576,Hyrule Warriors,2014,Action,Nintendo,0.61,0.42,0.13,0.1,1.26
1689,Captain Toad: Treasure Tracker,2014,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19
1845,Pikmin 3,2013,Strategy,Nintendo,0.45,0.31,0.29,0.06,1.11
1911,LEGO City Undercover,2013,Platform,Nintendo,0.47,0.4,0.13,0.08,1.08
2031,ZombiU,2012,Action,Ubisoft,0.53,0.36,0.05,0.08,1.02
2043,Bayonetta 2,2014,Action,Nintendo,0.34,0.28,0.1,0.3,1.01
2214,The Legend of Zelda: Twilight Princess HD,2016,Action,Nintendo,0.48,0.3,0.08,0.08,0.94
2244,Pokken Tournament,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
2350,Wii Fit U,2013,Sports,Nintendo,0.39,0.24,0.21,0.06,0.89
2461,Xenoblade Chronicles X,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,2013,Sports,Nintendo,0.39,0.22,0.13,0.06,0.8
2758,Just Dance 2015,2014,Misc,Ubisoft,0.4,0.28,0.0,0.07,0.75
2776,LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74
2852,Monster Hunter Tri,2012,Role-Playing,Nintendo,0.26,0.19,0.22,0.04,0.72
2922,Skylanders: Trap Team,2014,Action,Activision,0.39,0.25,0.0,0.06,0.7
2985,Rayman Legends,2013,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68
3056,The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.66
3096,Disney Infinity 2.0: Marvel Super Heroes,2014,Action,Disney Interactive Studios,0.38,0.22,0.0,0.06,0.65
3299,Just Dance 2014,2013,Misc,Ubisoft,0.33,0.23,0.0,0.05,0.61
3347,Disney Infinity,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6
3364,Skylanders SWAP Force,2013,Platform,Activision,0.4,0.15,0.0,0.06,0.6
3444,Just Dance 2016,2015,Misc,Ubisoft,0.28,0.25,0.0,0.05,0.58
3780,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.28,0.19,0.02,0.04,0.53
3787,Kirby and the Rainbow Curse,2015,Platform,Nintendo,0.23,0.14,0.12,0.04,0.53
3795,Sonic & All-Stars Racing Transformed,2012,Racing,Sega,0.2,0.27,0.02,0.05,0.53
3924,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.3,0.16,0.0,0.05,0.51
4120,FIFA Soccer 13,2012,Action,Electronic Arts,0.18,0.26,0.0,0.04,0.48
4127,Skylanders: SuperChargers,2015,Action,Activision,0.25,0.18,0.0,0.04,0.48
4175,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.21,0.0,0.04,0.47
4402,Mario Tennis Ultra Smash,2015,Sports,Nintendo,0.13,0.16,0.13,0.03,0.45
4422,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.2,0.21,0.0,0.04,0.44
