Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16,Kinect Adventures!,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
24,Grand Theft Auto V,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
30,Call of Duty: Modern Warfare 3,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
32,Call of Duty: Black Ops,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
36,Call of Duty: Black Ops II,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
44,Halo 3,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
52,Grand Theft Auto IV,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
62,Call of Duty: Ghosts,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
66,Halo 4,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
71,Call of Duty 4: Modern Warfare,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
73,Minecraft,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
76,The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
99,Call of Duty: World at War,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
100,Battlefield 3,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
119,Gears of War 2,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
134,Halo 3: ODST,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
140,Kinect Sports,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,Gears of War,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
159,Assassin's Creed,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
161,Forza Motorsport 3,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
173,Assassin's Creed III,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
177,Assassin's Creed II,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
186,FIFA Soccer 13,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
193,Fable III,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
209,Fallout 3,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
223,Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
229,Forza Motorsport 4,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
238,Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53
251,The Elder Scrolls IV: Oblivion,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
257,FIFA 14,2013,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
258,Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.75,1.18,0.0,0.37,4.31
260,Fable II,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
274,Assassin's Creed: Revelations,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19
276,FIFA 12,2011,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19
290,Fallout: New Vegas,2010,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
292,Forza Motorsport 2,2007,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06
302,Left 4 Dead 2,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
325,LEGO Indiana Jones: The Original Adventures,2008,Action,Activision,2.4,1.03,0.0,0.36,3.78
366,Battlefield 4,2013,Shooter,Electronic Arts,2.14,1.08,0.02,0.29,3.53
367,FIFA Soccer 11,2010,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53
370,Left 4 Dead,2008,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52
372,Resident Evil 5,2009,Action,Capcom,2.11,0.94,0.12,0.34,3.51
374,Assassin's Creed: Brotherhood,2010,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
376,Batman: Arkham Asylum,2009,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
380,Battlefield: Bad Company 2,2010,Shooter,Electronic Arts,2.09,1.02,0.04,0.32,3.48
385,Borderlands,2009,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44
395,LEGO Batman: The Videogame,2008,Action,Warner Bros. Interactive Entertainment,2.03,1.03,0.0,0.32,3.38
402,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34
428,Dance Central,2010,Misc,MTV Games,2.15,0.77,0.01,0.26,3.19
449,Mass Effect 2,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11
450,FIFA 15,2014,Sports,Electronic Arts,0.78,2.02,0.0,0.3,3.11
454,Borderlands 2,2012,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07
458,Mass Effect 3,2012,Role-Playing,Electronic Arts,1.94,0.86,0.03,0.24,3.07
459,Kung Fu Panda,2008,Action,Activision,1.91,0.84,0.0,0.29,3.05
460,Far Cry 3,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04
462,Saints Row 2,2008,Action,THQ,1.94,0.8,0.02,0.27,3.03
469,NBA 2K13,2012,Sports,Take-Two Interactive,2.6,0.21,0.01,0.19,3.0
484,Street Fighter IV,2009,Fighting,Capcom,1.82,0.71,0.15,0.26,2.95
490,Mass Effect,2007,Role-Playing,Microsoft Game Studios,1.83,0.8,0.03,0.27,2.93
497,Sega Superstars Tennis,2008,Sports,Sega,1.75,0.86,0.0,0.28,2.9
507,Madden NFL 13,2012,Sports,Electronic Arts,2.53,0.16,0.0,0.17,2.86
516,BioShock,2007,Shooter,Take-Two Interactive,1.65,0.86,0.05,0.28,2.83
517,Madden NFL 10,2009,Sports,Electronic Arts,2.52,0.09,0.0,0.22,2.83
526,Star Wars: The Force Unleashed,2008,Action,LucasArts,1.74,0.8,0.0,0.26,2.8
544,Saints Row: The Third,2011,Action,THQ,1.25,1.15,0.07,0.3,2.77
550,L.A. Noire,2011,Adventure,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72
551,Call of Duty 3,2006,Shooter,Activision,1.49,0.93,0.02,0.27,2.71
556,Madden NFL 12,2011,Sports,Electronic Arts,2.42,0.11,0.0,0.16,2.69
558,Madden NFL 11,2010,Sports,Electronic Arts,2.38,0.12,0.0,0.18,2.69
560,Skate 3,2010,Sports,Electronic Arts,1.46,0.98,0.0,0.24,2.68
567,Guitar Hero: World Tour,2008,Misc,Activision,1.78,0.64,0.0,0.25,2.67
576,LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,1.53,0.87,0.0,0.24,2.64
579,Halo Wars,2009,Strategy,Microsoft Game Studios,1.53,0.82,0.04,0.24,2.63
583,Medal of Honor,2010,Shooter,Electronic Arts,1.55,0.81,0.04,0.21,2.62
584,FIFA Soccer 10,2009,Sports,Electronic Arts,0.59,1.79,0.01,0.23,2.62
585,NBA 2K12,2011,Sports,Take-Two Interactive,2.31,0.14,0.01,0.16,2.62
595,Ghostbusters: The Video Game (DS Version),2009,Action,Take-Two Interactive,1.04,1.24,0.03,0.27,2.58
600,Dragon Age: Origins,2009,Role-Playing,Electronic Arts,1.76,0.56,0.03,0.22,2.57
607,Madden NFL 09,2008,Sports,Electronic Arts,2.21,0.12,0.0,0.2,2.54
614,Marvel: Ultimate Alliance,2006,Role-Playing,Activision,2.29,0.02,0.0,0.19,2.5
622,Pure,2008,Racing,Disney Interactive Studios,1.38,0.85,0.0,0.25,2.48
625,Rock Band,N/A,Misc,Electronic Arts,1.93,0.34,0.0,0.21,2.48
626,NBA 2K14,2013,Sports,Take-Two Interactive,2.1,0.2,0.0,0.17,2.47
633,Halo: Combat Evolved Anniversary,2011,Shooter,Microsoft Game Studios,1.44,0.73,0.04,0.22,2.44
637,Tom Clancy's Rainbow Six: Vegas 2,2008,Shooter,Ubisoft,1.56,0.61,0.02,0.23,2.42
652,Zumba Fitness,2010,Sports,505 Games,1.74,0.48,0.0,0.18,2.39
657,Dead Island,2011,Action,Deep Silver,1.48,0.71,0.0,0.2,2.39
660,Kinect: Disneyland Adventures,2011,Misc,Microsoft Game Studios,1.73,0.46,0.02,0.18,2.38
666,Madden NFL 08,2007,Sports,Electronic Arts,2.18,0.01,0.0,0.18,2.37
671,Kinect Sports: Season Two,2011,Sports,Microsoft Game Studios,1.38,0.74,0.02,0.22,2.36
676,Midnight Club: Los Angeles,2008,Racing,Take-Two Interactive,1.68,0.46,0.01,0.2,2.35
681,The Sims 3,2010,Simulation,Electronic Arts,1.27,0.86,0.0,0.2,2.33
692,LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,1.24,0.85,0.0,0.21,2.3
731,Need for Speed: Hot Pursuit,2010,Racing,Electronic Arts,1.03,0.98,0.0,0.21,2.22
732,BioShock 2,2010,Shooter,Take-Two Interactive,1.45,0.55,0.02,0.19,2.21
735,Rock Band 2,2008,Misc,Electronic Arts,1.78,0.24,0.0,0.18,2.2
737,Guitar Hero II,2007,Misc,Activision,2.01,0.02,0.0,0.17,2.2
743,Saints Row,2006,Action,THQ,1.17,0.78,0.02,0.22,2.19
751,Madden NFL 25,2013,Sports,Electronic Arts,1.97,0.07,0.0,0.13,2.18
754,Final Fantasy XIII,2010,Role-Playing,Square Enix,1.27,0.68,0.01,0.2,2.17
786,Mortal Kombat,2011,Fighting,Warner Bros. Interactive Entertainment,1.63,0.33,0.0,0.15,2.11
791,Portal 2,2011,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
794,Dead Rising,2006,Action,Capcom,1.16,0.65,0.08,0.2,2.09
796,NBA 2K11,2010,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,2.09
812,UFC 2009 Undisputed,2009,Fighting,THQ,1.48,0.39,0.0,0.19,2.07
815,Need for Speed: ProStreet,2007,Racing,Electronic Arts,1.04,0.8,0.01,0.22,2.06
817,Tom Clancy's Splinter Cell: Conviction,2010,Action,Ubisoft,1.2,0.63,0.04,0.19,2.06
830,PGR4 - Project Gotham Racing 4,2007,Racing,Microsoft Game Studios,0.48,1.29,0.02,0.25,2.05
832,Dance Central 2,2011,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04
840,Just Dance 3,2011,Misc,Ubisoft,1.47,0.4,0.0,0.16,2.03
843,Call of Duty 2,2005,Shooter,Activision,1.81,0.05,0.01,0.15,2.02
