Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
80,Halo 2,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
130,Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
465,Tom Clancy's Splinter Cell,2002,Action,Ubisoft,1.85,1.04,0.0,0.13,3.02
508,The Elder Scrolls III: Morrowind,2002,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86
569,Fable,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66
618,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003,Action,Take-Two Interactive,1.84,0.56,0.0,0.09,2.49
698,Need for Speed Underground 2,2004,Racing,Electronic Arts,1.38,0.8,0.0,0.1,2.28
744,Star Wars: Knights of the Old Republic,2003,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19
776,Project Gotham Racing,2001,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12
789,Project Gotham Racing (JP weekly sales),2002,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1
875,Grand Theft Auto: San Andreas,2005,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95
926,Madden NFL 06,2005,Sports,Electronic Arts,1.75,0.03,0.0,0.08,1.86
987,Dead or Alive 3,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77
996,Tom Clancy's Ghost Recon,2002,Shooter,Ubisoft,1.23,0.46,0.0,0.07,1.76
1007,Star Wars: Battlefront,2004,Shooter,Activision,1.24,0.45,0.0,0.07,1.75
1040,Madden NFL 2005,2004,Sports,Electronic Arts,1.61,0.03,0.0,0.08,1.72
1047,Need for Speed Underground,2003,Racing,Electronic Arts,1.09,0.55,0.0,0.07,1.71
1090,Star Wars: Battlefront II,2005,Shooter,Activision,1.22,0.39,0.0,0.06,1.67
1095,PGR: Project Gotham Racing 2,2003,Racing,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.67
1125,ESPN NFL 2K5,2004,Sports,Sega,1.54,0.02,0.0,0.07,1.63
1199,Tom Clancy's Rainbow Six 3,2003,Shooter,Ubisoft,0.91,0.57,0.0,0.07,1.55
1270,Medal of Honor: Frontline,2002,Shooter,Electronic Arts,1.0,0.43,0.0,0.06,1.49
1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,Action,Ubisoft,0.82,0.59,0.0,0.07,1.48
