Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
102,Call of Duty: Black Ops 3,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
194,Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
198,Grand Theft Auto V,2014,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
261,Halo 5: Guardians,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
288,Fallout 4,2015,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
379,Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49
382,Assassin's Creed: Unity,2014,Action,Ubisoft,2.26,0.89,0.0,0.3,3.46
411,Destiny,2014,Shooter,Activision,2.13,0.92,0.0,0.23,3.28
417,FIFA 16,2015,Sports,Electronic Arts,0.88,2.11,0.0,0.23,3.23
440,Halo: The Master Chief Collection,2014,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15
468,Gears of War: Ultimate Edition,2015,Shooter,Microsoft Game Studios,2.38,0.32,0.0,0.31,3.0
495,Titanfall,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.22,2.9
506,Call of Duty: Ghosts,2013,Shooter,Activision,1.87,0.77,0.0,0.22,2.86
644,Minecraft,2014,Misc,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41
646,Madden NFL 16,2015,Sports,Electronic Arts,2.07,0.08,0.0,0.26,2.4
683,NBA 2K16,2015,Sports,Take-Two Interactive,1.93,0.14,0.0,0.24,2.32
733,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.47,0.55,0.0,0.19,2.21
750,Forza Motorsport 5,2013,Racing,Microsoft Game Studios,1.21,0.78,0.01,0.17,2.18
762,FIFA 15,2014,Sports,Electronic Arts,0.6,1.41,0.0,0.14,2.15
847,Tom Clancy's The Division,2016,Shooter,Ubisoft,1.2,0.62,0.0,0.18,2.01
858,Battlefield 4,2013,Shooter,Electronic Arts,1.25,0.58,0.0,0.16,1.98
1020,Forza Motorsport 6,2015,Racing,Microsoft Game Studios,0.69,0.89,0.03,0.14,1.74
1060,NBA 2K15,2014,Sports,Take-Two Interactive,1.36,0.18,0.0,0.15,1.69
1149,Far Cry 4,2014,Shooter,Ubisoft,0.79,0.68,0.01,0.13,1.61
1204,Watch Dogs,2014,Action,Ubisoft,0.9,0.53,0.0,0.13,1.55
1210,Dead Rising 3,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54
1226,FIFA 17,2016,Sports,Electronic Arts,0.17,1.26,0.0,0.1,1.53
1243,Madden NFL 15,2014,Sports,Electronic Arts,1.3,0.09,0.0,0.12,1.51
1319,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0.0,0.13,1.45
1418,Forza Horizon 2,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37
1433,Ryse: Son of Rome,2013,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36
1446,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.0,0.21,0.0,0.13,1.35
1484,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
1526,Rise of the Tomb Raider,2015,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3
1533,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,0.73,0.44,0.0,0.12,1.29
1545,Assassin's Creed Syndicate,2015,Action,Ubisoft,0.61,0.56,0.0,0.11,1.28
1563,The Elder Scrolls Online,2015,Role-Playing,Bethesda Softworks,0.77,0.38,0.0,0.12,1.27
1607,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,0.66,0.47,0.0,0.11,1.24
1674,Battlefield: Hardline,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2
1700,FIFA 14,2013,Sports,Electronic Arts,0.41,0.66,0.0,0.12,1.19
1739,Destiny: The Taken King,2015,Shooter,Activision,0.82,0.23,0.0,0.11,1.17
1838,Sunset Overdrive,2014,Shooter,Microsoft Game Studios,0.62,0.4,0.0,0.08,1.11
2009,LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.34,0.0,0.09,1.04
2294,Dragon Age: Inquisition,2014,Role-Playing,Electronic Arts,0.55,0.28,0.0,0.07,0.91
2369,Just Cause 3,2015,Action,Square Enix,0.42,0.38,0.0,0.07,0.88
2379,NBA 2K14,2013,Sports,Take-Two Interactive,0.7,0.11,0.0,0.06,0.87
2436,Far Cry: Primal,2016,Action,Ubisoft,0.46,0.32,0.0,0.07,0.85
2446,Overwatch,2016,Shooter,Activision,0.52,0.25,0.0,0.08,0.85
2507,Madden NFL 17,2016,Sports,Electronic Arts,0.72,0.02,0.0,0.09,0.82
2556,Dying Light,2015,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
2665,Madden NFL 25,2013,Sports,Electronic Arts,0.67,0.05,0.0,0.05,0.77
2731,Rare Replay,2015,Misc,Microsoft Game Studios,0.47,0.21,0.01,0.07,0.75
2896,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71
2974,Plants vs. Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.68
2993,Doom (2016),2016,Shooter,Bethesda Softworks,0.39,0.23,0.0,0.06,0.68
2996,Need for Speed (2015),2015,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.68
3012,Need for Speed Rivals,2013,Racing,Electronic Arts,0.45,0.17,0.0,0.05,0.67
3020,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67
3100,The Evil Within,2014,Action,Bethesda Softworks,0.35,0.25,0.0,0.05,0.65
