Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
608,Space Invaders,Shooter,Atari,2.36,0.14,0.0,0.03,2.53
1515,Adventure,Adventure,Atari,1.21,0.08,0.0,0.01,1.3
1587,Combat,Action,Atari,1.17,0.07,0.0,0.01,1.25
2115,Air-Sea Battle,Shooter,Atari,0.91,0.06,0.0,0.01,0.98
3882,Fishing Derby,Sports,Activision,0.48,0.03,0.0,0.01,0.51
4153,Karate,Fighting,Ultravision,0.44,0.03,0.0,0.0,0.47
4234,Circus Atari,Action,Atari,0.43,0.03,0.0,0.0,0.46
4380,Maze Craze: A Game of Cops 'n Robbers,Action,Atari,0.42,0.02,0.0,0.0,0.45
4471,Super Breakout,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44
5063,Hangman,Puzzle,Atari,0.35,0.02,0.0,0.0,0.38
5659,Dragster,Racing,Activision,0.3,0.02,0.0,0.0,0.32
5800,Slot Machine,Action,Atari,0.29,0.02,0.0,0.0,0.31
6285,Indy 500,Racing,Atari,0.26,0.01,0.0,0.0,0.27
6318,Flag Capture,Action,Atari,0.25,0.02,0.0,0.0,0.27
7371,Ghostbusters II,Action,Activision,0.2,0.01,0.0,0.0,0.21
7372,Breakaway IV,Puzzle,Sears,0.2,0.01,0.0,0.0,0.21
8762,Home Run,Sports,Atari,0.14,0.01,0.0,0.0,0.15
