Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
65,New Super Mario Bros. 2,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
74,Animal Crossing: New Leaf,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
707,Paper Mario: Sticker Star,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27
849,Fire Emblem: Awakening,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2.0
1178,Kingdom Hearts 3D: Dream Drop Distance,Action,Square Enix,0.88,0.26,0.34,0.09,1.58
1404,Bravely Default: Flying Fairy,Role-Playing,Nintendo,0.5,0.32,0.49,0.07,1.38
1550,Kid Icarus: Uprising,Action,Nintendo,0.48,0.35,0.36,0.07,1.28
1557,Pokemon Mystery Dungeon: Gates to Infinity,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27
1694,Mario & Sonic at the London 2012 Olympic Games,Sports,Sega,0.18,0.64,0.27,0.1,1.19
1808,Fantasy Life,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13
2164,Dragon Quest Monsters: Terry's Wonderland 3D,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2206,Mario Tennis Open,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94
2279,Harvest Moon 3D: A New Beginning,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91
2364,Resident Evil: Revelations,Action,Capcom,0.3,0.22,0.3,0.05,0.88
2554,Professor Layton vs Phoenix Wright: Ace Attorney,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.81
2771,LEGO Batman 2: DC Super Heroes,Action,Warner Bros. Interactive Entertainment,0.41,0.27,0.0,0.06,0.74
2824,Style Savvy: Trendsetters,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.72
3203,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,Misc,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63
3208,Angry Birds Trilogy,Action,Activision,0.38,0.2,0.0,0.05,0.63
3280,Toshochu: Run for Money,Adventure,Namco Bandai Games,0.0,0.0,0.62,0.0,0.62
3373,Scribblenauts: Unlimited,Action,Warner Bros. Interactive Entertainment,0.55,0.01,0.0,0.04,0.6
3676,Rune Factory 4,Role-Playing,Xseed Games,0.31,0.0,0.21,0.03,0.55
3975,Theatrhythm: Final Fantasy,Misc,Square Enix,0.22,0.07,0.18,0.02,0.5
4057,Epic Mickey: Power of Illusion,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49
4215,Inazuma Eleven Go 2: Chrono Stone,Role-Playing,Level 5,0.0,0.01,0.46,0.0,0.47
4249,Art Academy: Lessons for Everyone,Action,Nintendo,0.2,0.03,0.21,0.02,0.46
4884,LEGO The Lord of the Rings,Action,Warner Bros. Interactive Entertainment,0.19,0.17,0.0,0.03,0.39
4919,Project X Zone,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39
5028,Metal Gear Solid: Snake Eater 3D,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38
5054,Etrian Odyssey IV: Legends of the Titans,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38
5909,Shin Megami Tensei: Devil Summoner - Soul Hackers,Role-Playing,Atlus,0.13,0.02,0.14,0.01,0.3
6022,FIFA Soccer 13,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29
6068,Sonic & All-Stars Racing Transformed,Racing,Sega,0.12,0.15,0.0,0.02,0.29
6206,Moshi Monsters: Moshlings Theme Park,Misc,Activision,0.13,0.13,0.0,0.03,0.28
6258,Kobitodzukan: Kobito Kansatsu Set,Misc,Nippon Columbia,0.0,0.0,0.28,0.0,0.28
6311,Rhythm Thief & the Emperor's Treasure,Misc,Sega,0.07,0.07,0.12,0.01,0.27
6351,Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,Action,Nintendo,0.0,0.0,0.27,0.0,0.27
7273,Spirit Camera: The Cursed Memoir,Adventure,Nintendo,0.12,0.02,0.06,0.01,0.22
7348,Magician's Quest: Town of Magic,Simulation,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21
7419,Heroes of Ruin,Role-Playing,Nintendo,0.13,0.07,0.0,0.02,0.21
7483,Little Battlers eXperience: Baku Boost,Action,Nintendo,0.0,0.0,0.21,0.0,0.21
7546,Tekken 3D: Prime Edition,Fighting,Nintendo,0.06,0.08,0.05,0.01,0.2
7631,Code of Princess,Action,Agatsuma Entertainment,0.16,0.0,0.03,0.01,0.2
7720,Aikatsu! Cinderella Lesson,Role-Playing,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2
7726,WipeOut 3 The Game,Action,Activision,0.18,0.0,0.0,0.01,0.2
7789,New Love Plus,Simulation,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
7858,The Amazing Spider-Man (Console Version),Action,Activision,0.15,0.03,0.0,0.01,0.19
8060,Hatsune Miku and Future Stars: Project Mirai,Misc,Sega,0.0,0.0,0.18,0.0,0.18
8142,Pro Evolution Soccer 2013,Sports,Konami Digital Entertainment,0.05,0.02,0.1,0.01,0.18
8328,Transformers: Prime,Action,Activision,0.13,0.03,0.0,0.01,0.17
8680,Culdcept,Misc,Nintendo,0.0,0.0,0.16,0.0,0.16
8698,Toriko: Gourmet Monsters!,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
8803,Naruto: Powerful Shippuden,Platform,Namco Bandai Games,0.08,0.02,0.04,0.01,0.15
8953,Rayman Origins,Platform,Ubisoft,0.06,0.08,0.0,0.01,0.15
9073,Senran Kagura Burst: Guren no Sh?jo-tachi,Action,Marvelous Entertainment,0.0,0.0,0.14,0.0,0.14
9128,Farming Simulator 2012,Action,Excalibur Publishing,0.0,0.12,0.0,0.02,0.14
9178,Skylanders Giants,Action,Activision,0.12,0.01,0.0,0.01,0.14
9339,Medalot 7,Action,Rocket Company,0.0,0.0,0.13,0.0,0.13
9773,Crush3D,Platform,Sega,0.07,0.04,0.0,0.01,0.12
10037,Pocket Soccer League: Calciobit,Sports,Nintendo,0.0,0.0,0.11,0.0,0.11
10129,Funky Barn,Simulation,Ubisoft,0.07,0.03,0.0,0.01,0.11
10244,AKB48+Me,Action,Unknown,0.0,0.0,0.11,0.0,0.11
10515,Samurai Warriors Chronicles 2nd,Action,Ubisoft Annecy,0.0,0.0,0.1,0.0,0.1
10858,Ouchi Mainichi Tamagotchi,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
10925,Brain Age: Concentration Training,Puzzle,Nintendo,0.09,0.0,0.0,0.01,0.09
11246,Lost Heroes,Role-Playing,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
11523,Doraemon: Nobita and the Island of Miracles,Action,FuRyu,0.0,0.0,0.08,0.0,0.08
11622,Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
11731,Nicola Kanshuu: Model Oshare * Audition Platina,Action,Alchemist,0.0,0.0,0.08,0.0,0.08
11895,E.X. Troopers,Shooter,Capcom,0.0,0.0,0.07,0.0,0.07
11909,Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,Action,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
12313,Dynasty Warriors Vs,Action,Ackkstudios,0.0,0.0,0.06,0.0,0.06
12522,Smile PreCure! Let's Go! Marchen World,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
12559,JoJo's Bizarre Adventure: All Star Battle,Fighting,Take-Two Interactive,0.06,0.0,0.0,0.0,0.06
12749,Girls RPG: Cinderellife,Role-Playing,Level 5,0.0,0.0,0.06,0.0,0.06
12941,Minna no Ennichi,Action,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
13157,Guild 01,Action,Level 5,0.0,0.0,0.05,0.0,0.05
13190,G1 Grand Prix,Action,Genki,0.0,0.0,0.05,0.0,0.05
13685,Horses 3D,Misc,Ubisoft,0.04,0.0,0.0,0.0,0.04
13822,Time Travelers,Adventure,Unknown,0.0,0.0,0.04,0.0,0.04
14156,Mame Goma: Shiro to Kuro no Meikyuu,Action,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
14170,Deer Drive: Legends,Action,Maximum Family Games,0.03,0.0,0.0,0.0,0.03
14328,Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03
14405,Zero Escape: Virtue's Last Reward,Adventure,Rising Star Games,0.03,0.0,0.0,0.0,0.03
14458,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,Adventure,ChunSoft,0.0,0.0,0.03,0.0,0.03
15230,UnchainBlades EXXiV,Role-Playing,FuRyu,0.0,0.0,0.02,0.0,0.02
15297,Detective Jinguuji Saburo: Ronde Revenge,Action,Arc System Works,0.0,0.0,0.02,0.0,0.02
15501,Azada,Puzzle,Licensed 4U,0.0,0.02,0.0,0.0,0.02
15546,Poyo Poyo Kansatsu Nikki,Action,IE Institute,0.0,0.0,0.02,0.0,0.02
15558,Gon: BakuBakuBakuBaku Adventure,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15618,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana,Action,Irem Software Engineering,0.0,0.0,0.02,0.0,0.02
15681,50 Classic Games,Misc,Avanquest Software,0.0,0.02,0.0,0.0,0.02
16515,Balloon Pop 2,Puzzle,UFO Interactive,0.01,0.0,0.0,0.0,0.01
