Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
961,Crazy Taxi,Racing,Sega,1.1,0.51,0.12,0.08,1.81
1795,Resident Evil - Code: Veronica,Action,Eidos Interactive,0.41,0.23,0.47,0.03,1.14
1879,NFL 2K1,Sports,Sega,1.02,0.05,0.0,0.02,1.09
7252,Capcom vs. SNK,Fighting,Virgin Interactive,0.0,0.0,0.22,0.0,0.22
7528,Phantasy Star Online,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2
7656,Grandia II,Role-Playing,Ubisoft,0.0,0.0,0.2,0.0,0.2
8113,Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,Sports,Sega,0.0,0.0,0.18,0.0,0.18
9095,Marvel vs. Capcom 2: New Age of Heroes,Fighting,Virgin Interactive,0.0,0.0,0.14,0.0,0.14
9166,Dead or Alive 2,Fighting,Acclaim Entertainment,0.0,0.0,0.14,0.0,0.14
9557,Sega GT,Racing,Sega,0.0,0.0,0.13,0.0,0.13
10371,Sakura Wars,Adventure,Sega,0.0,0.0,0.11,0.0,0.11
10680,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",Adventure,Sega,0.0,0.0,0.1,0.0,0.1
10997,Skies of Arcadia,Role-Playing,Sega,0.0,0.0,0.09,0.0,0.09
11293,Derby Tsuku: Derby Uma o Tsukurou!,Sports,Sega,0.0,0.0,0.08,0.0,0.08
11517,Sentimental Graffiti 2,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08
11902,The King of Fighters: Evolution,Fighting,SNK,0.0,0.0,0.07,0.0,0.07
12274,Kanon,Adventure,NEC Interchannel,0.0,0.0,0.06,0.0,0.06
12816,Jikkyou Powerful Pro Yakyuu DreamCast Edition,Sports,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
13069,The Typing of the Dead,Shooter,Sega,0.0,0.0,0.05,0.0,0.05
14004,Fighting Vipers 2,Fighting,Sega,0.0,0.0,0.04,0.0,0.04
