Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
89,Pokémon Platinum Version,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
190,Mario & Sonic at the Olympic Games,Sports,Sega,1.64,2.48,0.44,0.58,5.14
381,Guitar Hero: On Tour,Misc,Activision,2.11,1.01,0.01,0.35,3.48
400,Professor Layton and the Unwound Future,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36
433,Rhythm Heaven,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17
435,Club Penguin: Elite Penguin Force,Adventure,Disney Interactive Studios,1.88,0.98,0.0,0.3,3.16
437,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0.0,0.29,3.15
482,Kirby Super Star Ultra,Platform,Nintendo,1.57,0.04,1.19,0.15,2.96
586,Style Savvy,Simulation,Nintendo,0.63,0.84,0.96,0.19,2.61
694,Pokemon Ranger: Shadows of Almia,Role-Playing,Nintendo,0.95,0.54,0.62,0.18,2.3
725,LEGO Indiana Jones: The Original Adventures,Action,Activision,1.42,0.61,0.0,0.21,2.23
824,Carnival Games,Misc,Take-Two Interactive,1.23,0.64,0.0,0.19,2.05
1038,Imagine: Teacher,Simulation,Ubisoft,0.7,0.83,0.0,0.19,1.72
1157,Dragon Quest V: Hand of the Heavenly Bride,Role-Playing,Square Enix,0.19,0.02,1.36,0.02,1.6
1172,Guitar Hero: On Tour Decades,Misc,Activision,0.85,0.58,0.0,0.16,1.58
1173,MySims Kingdom,Simulation,Electronic Arts,0.81,0.6,0.01,0.17,1.58
1177,High School Musical 3: Senior Year,Misc,Disney Interactive Studios,0.64,0.76,0.0,0.17,1.58
1216,Disney Fairies: Tinker Bell,Adventure,Disney Interactive Studios,0.86,0.52,0.01,0.15,1.54
1272,Drawn To Life: SpongeBob SquarePants Edition,Adventure,THQ,1.0,0.36,0.0,0.13,1.49
1294,Chrono Trigger,Role-Playing,Square Enix,0.69,0.2,0.49,0.09,1.47
1304,Wall-E,Platform,THQ,0.46,0.83,0.0,0.17,1.46
1537,Mystery Case Files: MillionHeir,Adventure,Nintendo,0.76,0.4,0.0,0.12,1.29
1542,Imagine: Wedding Designer,Simulation,Ubisoft,0.55,0.59,0.0,0.14,1.28
1571,Kung Fu Panda,Action,Activision,0.56,0.57,0.0,0.14,1.26
1775,High School Musical 2: Work This Out!,Misc,Disney Interactive Studios,0.5,0.52,0.0,0.13,1.15
1873,Imagine: Babysitters,Simulation,Ubisoft,0.63,0.36,0.0,0.1,1.09
1912,Spore Creatures,Simulation,Electronic Arts,0.67,0.3,0.0,0.11,1.08
1922,Imagine: Fashion Designer New York,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07
1943,Junior Brain Trainer,Misc,GSP,0.23,0.74,0.0,0.1,1.06
2081,Puzzler Collection,Puzzle,Ubisoft,0.17,0.78,0.0,0.04,1.0
2087,Littlest Pet Shop: Winter,Simulation,Electronic Arts,0.59,0.31,0.0,0.1,0.99
2165,My Weight Loss Coach,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.96
2180,Ben 10: Alien Force,Action,Koch Media,0.65,0.22,0.0,0.09,0.95
2290,Call of Duty: World at War,Shooter,Activision,0.57,0.26,0.0,0.08,0.91
2305,TouchMaster 2,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.9
2312,Star Wars: The Force Unleashed,Action,LucasArts,0.51,0.29,0.0,0.09,0.9
2320,Fossil Fighters,Role-Playing,Nintendo,0.84,0.0,0.0,0.06,0.9
2333,Sonic Chronicles: The Dark Brotherhood,Role-Playing,Sega,0.51,0.29,0.01,0.09,0.89
2360,Peppa Pig: The Game,Misc,Pinnacle,0.0,0.82,0.0,0.06,0.88
2425,The Legendary Starfy,Platform,Nintendo,0.61,0.0,0.2,0.05,0.86
2462,Petz Dogz Fashion,Simulation,Ubisoft,0.46,0.3,0.0,0.09,0.84
2485,Battle of Giants: Dinosaurs,Strategy,Ubisoft,0.38,0.37,0.0,0.09,0.83
2527,Imagine: Rock Star,Simulation,Ubisoft,0.4,0.33,0.0,0.09,0.82
2610,Star Wars The Clone Wars: Jedi Alliance,Action,LucasArts,0.62,0.11,0.0,0.07,0.79
2626,Personal Trainer: Walking,Sports,Nintendo,0.22,0.32,0.17,0.07,0.79
