Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2840,LEGO Harry Potter: Years 5-7,Action,Warner Bros. Interactive Entertainment,0.35,0.3,0.0,0.07,0.72
3219,Advance Wars: Days of Ruin,Strategy,Nintendo,0.44,0.13,0.0,0.06,0.63
5173,Bejeweled 3,Puzzle,Unknown,0.32,0.02,0.0,0.03,0.36
5840,Shrek the Third,Action,Activision,0.26,0.02,0.0,0.02,0.3
9669,Charm Girls Club: My Fashion Mall,Simulation,Unknown,0.12,0.0,0.0,0.01,0.12
9823,The Daring Game for Girls,Adventure,Unknown,0.11,0.0,0.0,0.01,0.12
9983,Happy Feet Two,Action,Warner Bros. Interactive Entertainment,0.09,0.02,0.0,0.01,0.12
10496,Atsumare! Power Pro Kun no DS Koushien,Sports,N/A,0.0,0.0,0.1,0.0,0.1
10561,My Healthy Cooking Coach,Simulation,Unknown,0.09,0.0,0.0,0.01,0.1
10760,Luminous Arc 2 (JP sales),Role-Playing,Unknown,0.0,0.0,0.1,0.0,0.1
10831,Egg Monster Hero,Role-Playing,Square Enix,0.0,0.0,0.09,0.0,0.09
11325,Charm Girls Club: My Fashion Show,Simulation,Unknown,0.08,0.0,0.0,0.01,0.08
11757,Mega Man Battle Network: Operation Shooting Star,Role-Playing,Capcom,0.0,0.0,0.07,0.0,0.07
11940,Tornado,Action,Ignition Entertainment,0.07,0.0,0.0,0.0,0.07
12131,Alex Rider: Stormbreaker,Action,THQ,0.06,0.0,0.0,0.0,0.07
12250,Jewel Link Chronicles: Mountains of Madness,Puzzle,Avanquest,0.0,0.06,0.0,0.01,0.06
12489,Chou Soujuu Mecha MG,Simulation,N/A,0.0,0.0,0.06,0.0,0.06
12809,GRID,Racing,Codemasters,0.04,0.01,0.0,0.0,0.06
12827,Captain America: Super Soldier,Action,Sega,0.05,0.0,0.0,0.0,0.05
14089,Housekeeping,Action,N/A,0.0,0.0,0.04,0.0,0.04
14299,Bikkuriman Daijiten,Misc,N/A,0.0,0.0,0.03,0.0,0.03
14852,Legacy of Ys: Books I & II,Role-Playing,Unknown,0.02,0.0,0.0,0.0,0.03
15211,Steal Princess,Platform,Unknown,0.02,0.0,0.0,0.0,0.02
15319,Runaway: A Twist of Fate,Adventure,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02
15609,Writing and Speaking Beautiful Japanese DS,Misc,Unknown,0.0,0.0,0.02,0.0,0.02
15700,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,Misc,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
15868,PDC World Championship Darts 2008,Sports,Unknown,0.01,0.0,0.0,0.0,0.02
15903,Jet Impulse,Simulation,Nintendo,0.0,0.0,0.02,0.0,0.02
15918,Dream Dancer,Misc,N/A,0.01,0.0,0.0,0.0,0.02
16197,Shorts,Platform,Unknown,0.01,0.0,0.0,0.0,0.01
