Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
896,The Legend of Zelda: Oracle of Ages,Action,Nintendo,0.92,0.53,0.41,0.06,1.92
925,The Legend of Zelda: Oracle of Seasons,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86
1030,Harry Potter and the Sorcerer's Stone,Action,Electronic Arts,0.94,0.62,0.1,0.07,1.73
1193,Dragon Quest Monsters 2,Role-Playing,Enix Corporation,0.0,0.0,1.56,0.0,1.56
2338,Pokemon Card GB2: Here Comes Team GR!,Strategy,Nintendo,0.0,0.0,0.89,0.0,0.89
3601,Hamtaro: Ham-Hams Unite!,Role-Playing,Nintendo,0.0,0.0,0.56,0.0,0.56
4956,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,Role-Playing,Banpresto,0.0,0.0,0.39,0.0,0.39
9054,Star Ocean: Blue Sphere,Role-Playing,Enix Corporation,0.0,0.0,0.14,0.0,0.14
9867,Medarot 4: Kabuto / Kuwagata Version,Role-Playing,Imagineer,0.0,0.0,0.12,0.0,0.12
11818,Mega Man Xtreme 2,Platform,Capcom,0.0,0.0,0.07,0.0,0.07
