Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
163,Super Mario Advance,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
265,Namco Museum,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
489,Pac-Man Collection,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94
711,Wario Land 4,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26
722,Sonic Advance,Platform,Sega,1.19,0.71,0.22,0.13,2.24
723,Spyro: Season of Ice,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23
814,Yu-Gi-Oh! The Eternal Duelist Soul,Strategy,Konami Digital Entertainment,1.64,0.36,0.0,0.07,2.07
992,Golden Sun,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76
1049,Tetris Worlds,Puzzle,THQ,1.25,0.39,0.0,0.06,1.71
1068,Harry Potter and the Sorcerer's Stone,Action,Electronic Arts,0.87,0.66,0.08,0.08,1.69
1093,"Monsters, Inc.",Adventure,THQ,0.59,0.95,0.03,0.1,1.67
1713,Tony Hawk's Pro Skater 2,Sports,Activision,0.85,0.31,0.0,0.02,1.18
2002,F-Zero: Maximum Velocity,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04
2332,Castlevania: Circle of the Moon,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89
2774,Yu-Gi-Oh! Dungeon Dice Monsters,Misc,Konami Digital Entertainment,0.42,0.16,0.15,0.01,0.74
2916,F-14 Tomcat,Action,Majesco Entertainment,0.5,0.19,0.0,0.01,0.7
2925,Advance Wars,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7
3327,Spider-Man: Mysterio's Menace,Action,Activision,0.43,0.16,0.0,0.01,0.61
3673,SpongeBob SquarePants: SuperSponge,Action,THQ,0.39,0.15,0.0,0.01,0.55
3981,Tactics Ogre: The Knight of Lodis,Role-Playing,Nintendo,0.13,0.05,0.31,0.01,0.5
4007,Rayman Advance,Platform,Ubisoft,0.36,0.13,0.0,0.01,0.5
4133,Midnight Club: Street Racing,Racing,Rebellion,0.34,0.13,0.0,0.01,0.48
4229,Iridion 3D,Shooter,THQ,0.33,0.12,0.0,0.01,0.46
4258,Scooby-Doo,Platform,THQ,0.33,0.12,0.0,0.01,0.46
4272,Rugrats: Castle Capers,Action,THQ,0.33,0.12,0.0,0.01,0.46
4373,Tekken Advance,Fighting,Infogrames,0.32,0.12,0.0,0.01,0.45
4576,Mega Man Battle Network,Role-Playing,Capcom,0.14,0.05,0.22,0.01,0.42
4653,Jimmy Neutron: Boy Genius,Platform,THQ,0.3,0.11,0.0,0.01,0.42
4681,Dexter's Laboratory Deesaster Strikes,Adventure,BAM! Entertainment,0.3,0.11,0.0,0.01,0.41
4683,Scooby-Doo and the Cyber Chase,Adventure,Ubisoft,0.3,0.11,0.0,0.01,0.41
