Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
650,Frogger's Adventures: Temple of the Frog,Adventure,Konami Digital Entertainment,2.15,0.18,0.0,0.07,2.39
2788,WarioWare: Twisted!,Puzzle,Unknown,0.16,0.06,0.5,0.02,0.74
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67
5197,Cubix Robots for Everyone: Clash 'n' Bash,Action,Unknown,0.26,0.1,0.0,0.01,0.36
6274,The Legend of Zelda: The Minish Cap(weekly JP sales),Action,N/A,0.0,0.0,0.27,0.01,0.27
8225,Teen Titans,Action,Unknown,0.13,0.05,0.0,0.0,0.17
9312,Disney's Cinderella: Magical Dreams,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14
11110,Super Puzzle Fighter II,Puzzle,Capcom,0.06,0.02,0.0,0.0,0.09
12931,Drill Dozer,Platform,Unknown,0.04,0.01,0.0,0.0,0.05
14162,Sabre Wulf,Platform,THQ,0.02,0.01,0.0,0.0,0.03
14699,Super Duper Sumos,Action,Unknown,0.02,0.01,0.0,0.0,0.03
