Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
718,Paper Mario: The Thousand-Year Door,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25
1109,Mario Party 6,Misc,Nintendo,0.9,0.11,0.6,0.05,1.65
1462,Donkey Kong Jungle Beat,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34
1478,Metroid Prime 2: Echoes,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33
1636,Mario Power Tennis,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
1671,Pikmin 2,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2
1802,Need for Speed Underground 2,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14
2032,Shrek 2,Platform,Activision,0.73,0.26,0.01,0.03,1.02
2200,The SpongeBob SquarePants Movie,Platform,THQ,0.73,0.19,0.0,0.03,0.94
2455,Spider-Man 2,Action,Activision,0.65,0.17,0.0,0.02,0.84
2463,The Incredibles,Action,THQ,0.65,0.17,0.0,0.02,0.84
2542,The Legend of Zelda: Four Swords Adventures,Action,Nintendo,0.63,0.16,0.0,0.02,0.81
2915,Madden NFL 2005,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7
3799,X-Men Legends,Role-Playing,Activision,0.41,0.11,0.0,0.01,0.53
4002,Tony Hawk's Underground 2,Sports,Activision,0.38,0.1,0.0,0.01,0.5
4224,Metal Gear Solid: The Twin Snakes,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47
4394,NBA Live 2005,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45
4396,WWE Day of Reckoning,Fighting,THQ,0.35,0.09,0.0,0.01,0.45
4467,Naruto: Gekito Ninja Taisen! 3,Fighting,Tomy Corporation,0.0,0.0,0.43,0.01,0.44
4628,James Bond 007: Everything or Nothing,Shooter,Electronic Arts,0.32,0.08,0.0,0.01,0.42
4634,Mega Man Anniversary Collection,Platform,Capcom,0.32,0.08,0.0,0.01,0.42
4815,Power Rangers: Dino Thunder,Action,THQ,0.31,0.08,0.0,0.01,0.4
4847,The Urbz: Sims in the City,Simulation,Electronic Arts,0.24,0.14,0.0,0.02,0.4
4871,Call of Duty: Finest Hour,Shooter,Activision,0.31,0.08,0.0,0.01,0.4
4915,Donkey Konga 2,Misc,Nintendo,0.3,0.08,0.0,0.01,0.39
5081,Harry Potter and the Prisoner of Azkaban,Action,Electronic Arts,0.29,0.08,0.0,0.01,0.38
5130,Custom Robo,Role-Playing,Nintendo,0.29,0.07,0.0,0.01,0.37
5167,GoldenEye: Rogue Agent,Shooter,Electronic Arts,0.28,0.07,0.0,0.01,0.36
5331,NFL Street,Sports,Electronic Arts,0.27,0.07,0.0,0.01,0.35
5485,Tak 2: The Staff of Dreams,Platform,THQ,0.26,0.07,0.0,0.01,0.33
5945,Shark Tale,Action,Activision,0.23,0.06,0.0,0.01,0.3
6041,The Lord of the Rings: The Third Age,Role-Playing,Electronic Arts,0.22,0.06,0.0,0.01,0.29
6094,Spyro: A Hero's Tail,Platform,Vivendi Games,0.22,0.06,0.0,0.01,0.29
6202,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Action,THQ,0.22,0.06,0.0,0.01,0.28
6273,Dragon Ball Z: Budokai 2,Fighting,Atari,0.21,0.06,0.0,0.01,0.27
6580,Lemony Snicket's A Series of Unfortunate Events,Platform,Activision,0.2,0.05,0.0,0.01,0.26
6608,MVP Baseball 2004,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26
6862,Harvest Moon: Another Wonderful Life,Role-Playing,Marvelous Interactive,0.19,0.05,0.0,0.01,0.24
7142,Def Jam: Fight for NY,Fighting,Electronic Arts,0.17,0.05,0.0,0.01,0.22
7175,NCAA Football 2005,Sports,Electronic Arts,0.17,0.04,0.0,0.01,0.22
7232,Viewtiful Joe 2,Action,Capcom,0.17,0.04,0.0,0.01,0.22
7295,Scooby-Doo! Mystery Mayhem,Action,THQ,0.17,0.04,0.0,0.01,0.22
7576,The Fairly Odd Parents: Shadow Showdown,Platform,THQ,0.16,0.04,0.0,0.01,0.2
7604,Ty the Tasmanian Tiger 2: Bush Rescue,Platform,Electronic Arts,0.15,0.04,0.0,0.01,0.2
7662,NFL Street 2,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2
7708,MC Groovz Dance Craze,Misc,Mad Catz,0.15,0.04,0.0,0.01,0.2
7718,Prince of Persia: Warrior Within,Action,Ubisoft,0.15,0.04,0.0,0.01,0.2
7873,Teenage Mutant Ninja Turtles 2: Battle Nexus,Action,Konami Digital Entertainment,0.15,0.04,0.0,0.01,0.19
8520,Midway Arcade Treasures 2,Misc,Midway Games,0.13,0.03,0.0,0.0,0.16
8783,Army Men: Sarge's War,Shooter,Global Star,0.12,0.03,0.0,0.0,0.15
9062,FIFA Soccer 2005,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14
9317,Tiger Woods PGA Tour 2005,Sports,Electronic Arts,0.1,0.03,0.0,0.0,0.14
9679,Mega Man X: Command Mission,Role-Playing,Capcom,0.1,0.02,0.0,0.0,0.12
9701,NASCAR 2005: Chase for the Cup,Racing,Electronic Arts,0.1,0.02,0.0,0.0,0.12
10289,The Polar Express,Adventure,THQ,0.08,0.02,0.0,0.0,0.11
10792,Jikkyou Powerful Pro Yakyuu 11,Sports,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.1
10913,Alien Hominid,Shooter,O3 Entertainment,0.07,0.02,0.0,0.0,0.09
11258,SRS: Street Racing Syndicate,Racing,Namco Bandai Games,0.07,0.02,0.0,0.0,0.08
11418,Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,Ubisoft,0.06,0.02,0.0,0.0,0.08
11665,Pitfall: The Lost Expedition,Platform,Activision,0.06,0.02,0.0,0.0,0.08
12037,Catwoman,Action,Electronic Arts,0.05,0.01,0.0,0.0,0.07
12092,NHL 2005,Sports,Electronic Arts,0.05,0.01,0.0,0.0,0.07
12112,Army Men: RTS,Strategy,Global Star,0.05,0.01,0.0,0.0,0.07
12200,Cabela's Big Game Hunter 2005 Adventures,Sports,Activision,0.05,0.01,0.0,0.0,0.07
12349,Intellivision Lives!,Misc,Crave Entertainment,0.05,0.01,0.0,0.0,0.06
12797,Tom Clancy's Rainbow Six 3,Shooter,Ubisoft,0.04,0.01,0.0,0.0,0.06
12814,Amazing Island,Strategy,Sega,0.04,0.01,0.0,0.0,0.06
13089,Second Sight,Adventure,Codemasters,0.04,0.01,0.0,0.0,0.05
13451,Bad Boys: Miami Takedown,Shooter,Empire Interactive,0.03,0.01,0.0,0.0,0.05
13536,Conflict: Desert Storm II - Back to Bagdhad,Shooter,SCi,0.03,0.01,0.0,0.0,0.04
13541,King Arthur,Action,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04
13653,Digimon Rumble Arena 2,Fighting,Atari,0.03,0.01,0.0,0.0,0.04
13986,Scaler,Platform,Take-Two Interactive,0.03,0.01,0.0,0.0,0.04
14801,Archer Maclean Presents: Pool Paradise,Sports,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03
15028,Future Tactics: The Uprising,Strategy,JoWood Productions,0.02,0.0,0.0,0.0,0.02
15194,Serious Sam: Next Encounter,Shooter,Global Star,0.02,0.0,0.0,0.0,0.02
15233,Carmen Sandiego: The Secret of the Stolen Drums,Action,BAM! Entertainment,0.02,0.0,0.0,0.0,0.02
15253,Terminator 3: The Redemption,Shooter,Atari,0.02,0.0,0.0,0.0,0.02
15818,Samurai Jack: The Shadow of Aku,Action,Sega,0.01,0.0,0.0,0.0,0.02
15893,Mission: Impossible - Operation Surma,Platform,Atari,0.01,0.0,0.0,0.0,0.02
15894,Trigger Man,Shooter,Crave Entertainment,0.01,0.0,0.0,0.0,0.02
15980,Lotus Challenge,Racing,Ignition Entertainment,0.01,0.0,0.0,0.0,0.02
16044,Puyo Pop Fever,Puzzle,Sega,0.01,0.0,0.0,0.0,0.01
