Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3755,NBA Street Vol. 2,Sports,Electronic Arts,0.41,0.11,0.0,0.01,0.54
5903,NBA Live 2003,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.3
6044,Nicktoons: Battle for Volcano Island,Action,Unknown,0.22,0.06,0.0,0.01,0.29
6197,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Action,Disney Interactive Studios,0.22,0.06,0.0,0.01,0.28
6213,Pac-Man Fever,Misc,Unknown,0.21,0.06,0.0,0.01,0.28
9524,Nintendo Puzzle Collection,Puzzle,Unknown,0.0,0.0,0.13,0.0,0.13
9817,Street Hoops,Sports,Unknown,0.09,0.02,0.0,0.0,0.12
10274,GiFTPiA,Role-Playing,Unknown,0.0,0.0,0.11,0.0,0.11
11800,Smashing Drive,Racing,Unknown,0.06,0.01,0.0,0.0,0.07
13735,NHL Hitz Pro,Sports,Unknown,0.03,0.01,0.0,0.0,0.04
14928,Tube Slider,Racing,Unknown,0.02,0.0,0.0,0.0,0.02
15879,Dinotopia: The Sunstone Odyssey,Action,Unknown,0.01,0.0,0.0,0.0,0.02
16310,Freaky Flyers,Racing,Unknown,0.01,0.0,0.0,0.0,0.01
16430,Virtua Quest,Role-Playing,Unknown,0.01,0.0,0.0,0.0,0.01
