Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
954,Sonic & Knuckles,Platform,Sega,1.24,0.43,0.03,0.12,1.82
993,Sonic the Hedgehog 3,Platform,Sega,1.02,0.47,0.2,0.07,1.76
1374,Disney's The Lion King,Platform,Virgin Interactive,0.97,0.37,0.03,0.05,1.41
1460,Mortal Kombat 3,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04,1.34
1843,NBA Jam Tournament Edition,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03,1.11
6475,Virtua Racing,Racing,Sega,0.0,0.0,0.26,0.0,0.26
9006,"Lunar 2: Eternal Blue(sales, but wrong system)",Role-Playing,Game Arts,0.0,0.0,0.14,0.0,0.14
11543,Yuu Yuu Hakusho: Makyo Toitsusen,Fighting,Sega,0.0,0.0,0.08,0.0,0.08
11642,Dragon Slayer: The Legend of Heroes,Role-Playing,Sega,0.0,0.0,0.08,0.0,0.08
14036,J-League Pro Striker 2,Sports,Sega,0.0,0.0,0.04,0.0,0.04
14095,Castlevania Bloodlines,Platform,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
14419,Puzzle & Action: Tant-R,Misc,Sega,0.0,0.0,0.03,0.0,0.03
