Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
252,Zelda II: The Adventure of Link,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
466,Mike Tyson's Punch-Out!!,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
603,Dragon Warrior II,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56
648,Pro Wrestling,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
761,Volleyball,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15
1363,Pro Yakyuu Family Stadium '87,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42
1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
2236,Castlevania II: Simon's Quest,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93
2468,Final Fantasy,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84
2549,Mega Man,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
