Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4511,Overwatch,Shooter,Activision,0.22,0.18,0.0,0.04,0.43
5106,Tom Clancy's The Division,Shooter,Ubisoft,0.2,0.14,0.0,0.03,0.37
6089,World of Warcraft: Legion,Role-Playing,Activision,0.14,0.12,0.0,0.02,0.29
7566,XCOM 2,Strategy,Take-Two Interactive,0.09,0.1,0.0,0.02,0.2
8140,Doom (2016),Shooter,Bethesda Softworks,0.06,0.1,0.0,0.01,0.18
9252,Far Cry: Primal,Action,Ubisoft,0.04,0.09,0.0,0.01,0.14
10593,Total War: WARHAMMER,Strategy,Sega,0.0,0.1,0.0,0.01,0.1
10733,Rise of the Tomb Raider,Adventure,Square Enix,0.0,0.09,0.0,0.01,0.1
12007,Battleborn,Shooter,Take-Two Interactive,0.03,0.03,0.0,0.01,0.07
12901,Dark Souls III,Role-Playing,Namco Bandai Games,0.0,0.05,0.0,0.0,0.05
12940,FIFA 17,Sports,Electronic Arts,0.0,0.05,0.0,0.0,0.05
13046,Street Fighter V,Fighting,Capcom,0.0,0.05,0.0,0.0,0.05
13102,Mirror's Edge Catalyst,Platform,Electronic Arts,0.01,0.03,0.0,0.01,0.05
13438,Plants vs. Zombies: Garden Warfare 2,Shooter,Electronic Arts,0.0,0.04,0.0,0.0,0.05
13564,Life is Strange,Adventure,Square Enix,0.01,0.03,0.0,0.0,0.04
14386,Hearts of Iron IV,Strategy,Paradox Interactive,0.0,0.03,0.0,0.0,0.03
14533,Need for Speed (2015),Racing,Electronic Arts,0.0,0.03,0.0,0.0,0.03
14558,Pro Cycling Manager 2016,Sports,Focus Home Interactive,0.0,0.03,0.0,0.0,0.03
14638,Stellaris,Strategy,Paradox Interactive,0.0,0.03,0.0,0.0,0.03
14758,DiRT Rally,Racing,Codemasters,0.0,0.03,0.0,0.0,0.03
14969,Bus Simulator 16,Simulation,Astragon,0.0,0.02,0.0,0.0,0.02
15153,Rocket League,Sports,505 Games,0.01,0.01,0.0,0.0,0.02
15303,F1 2016 (Codemasters),Racing,Codemasters,0.0,0.02,0.0,0.0,0.02
15342,Homefront: The Revolution,Shooter,Deep Silver,0.0,0.02,0.0,0.0,0.02
15412,Deus Ex: Mankind Divided,Role-Playing,Square Enix,0.0,0.02,0.0,0.0,0.02
15418,RollerCoaster Tycoon World,Simulation,Atari,0.0,0.02,0.0,0.0,0.02
15440,Resident Evil Zero,Action,Capcom,0.01,0.01,0.0,0.0,0.02
15473,Agatha Christie: The ABC Murders,Adventure,Microids,0.0,0.02,0.0,0.0,0.02
15661,Song of the Deep,Action,Insomniac Games,0.02,0.0,0.0,0.0,0.02
15729,Revolution: 25th Anniversary Collection,Adventure,Koch Media,0.0,0.02,0.0,0.0,0.02
16054,Battle Worlds: Kronos,Strategy,Nordic Games,0.0,0.01,0.0,0.0,0.01
16247,Valentino Rossi: The Game,Racing,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
16326,MXGP 2,Racing,Milestone S.r.l.,0.0,0.01,0.0,0.0,0.01
16347,Cities: Skylines Snowfall,Simulation,Paradox Development,0.0,0.01,0.0,0.0,0.01
16389,TrackMania Turbo,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
16402,The Technomancer,Role-Playing,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01
16477,Total War Attila: Tyrants & Kings,Strategy,Koch Media,0.0,0.01,0.0,0.0,0.01
16558,Codename: Panzers Complete Collection,Strategy,Nordic Games,0.0,0.01,0.0,0.0,0.01
