Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1128,Call of Duty: Black Ops,Shooter,Activision,0.58,0.81,0.0,0.24,1.63
4685,TERA,Role-Playing,Unknown,0.24,0.12,0.0,0.05,0.41
5242,Tomb Raider (2013),Action,Square Enix,0.06,0.25,0.0,0.05,0.36
6808,BioShock 2,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.24
7215,LEGO Harry Potter: Years 5-7,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22
7650,Dead Space 3,Action,Electronic Arts,0.02,0.15,0.0,0.02,0.2
7722,Test Drive Unlimited 2,Racing,Atari,0.05,0.11,0.0,0.03,0.2
9477,Street Fighter IV,Fighting,Capcom,0.07,0.04,0.0,0.02,0.13
9842,Rocksmith,Misc,Unknown,0.06,0.04,0.0,0.01,0.12
11575,Dead Island: Riptide,Action,Deep Silver,0.0,0.07,0.0,0.01,0.08
13479,RollerCoaster Tycoon,Strategy,Microprose,0.02,0.02,0.0,0.01,0.04
13667,GRID,Racing,Codemasters,0.0,0.03,0.0,0.01,0.04
14058,Clockwork Empires,Strategy,Unknown,0.0,0.03,0.0,0.0,0.04
14586,Battle vs. Chess,Misc,TopWare Interactive,0.0,0.02,0.0,0.01,0.03
16061,WRC: FIA World Rally Championship,Racing,Black Bean Games,0.0,0.01,0.0,0.0,0.01
16194,Homeworld Remastered Collection,Strategy,N/A,0.0,0.01,0.0,0.0,0.01
16330,Inversion,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01
