Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
174,Final Fantasy IX,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
224,Driver 2,Action,Atari,2.36,2.1,0.02,0.25,4.73
226,Tony Hawk's Pro Skater 2,Sports,Activision,3.05,1.41,0.02,0.2,4.68
243,Dragon Quest VII: Warriors of Eden,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
334,Spyro: Year of the Dragon,Platform,Sony Computer Entertainment,1.93,1.58,0.0,0.19,3.71
359,WWF SmackDown!,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
368,Rugrats in Paris: The Movie,Action,THQ,1.96,1.33,0.0,0.23,3.52
394,Crash Bash,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39
424,WWF SmackDown! 2: Know Your Role,Fighting,THQ,1.76,1.21,0.07,0.16,3.2
442,Spider-Man,Action,Activision,1.7,1.25,0.02,0.16,3.13
759,Syphon Filter 2,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,2.15
1087,Madden NFL 2001,Sports,Electronic Arts,1.58,0.05,0.0,0.04,1.67
1174,Jampack Summer 2K,Misc,Sony Computer Entertainment,0.88,0.6,0.0,0.1,1.58
1477,Triple Play 2001,Sports,Electronic Arts,0.74,0.5,0.0,0.09,1.33
1585,NBA Live 2001,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25
1662,Dino Crisis 2,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21
1784,Action Bass,Action,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14
1981,Dave Mirra Freestyle BMX,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05
1996,ATV: Quad Power Racing,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04
2071,NFL GameDay 2001,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.0
2082,Jampack Winter 2000,Misc,Sony Computer Entertainment,0.55,0.38,0.0,0.07,1.0
2149,Medal of Honor: Underground,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97
2249,007: The World is not Enough,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92
2284,Colin McRae Rally 2.0,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91
2353,MLB 2001,Sports,Sony Computer Entertainment,0.49,0.34,0.0,0.06,0.89
2404,Vagrant Story,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87
2538,Tales of Destiny II,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81
2540,NASCAR 2001,Racing,Electronic Arts,0.45,0.31,0.0,0.05,0.81
2566,Who wants to be a millionaire,Misc,Eidos Interactive,0.45,0.3,0.0,0.05,0.8
2587,Super Robot Taisen α,Strategy,Banpresto,0.0,0.0,0.75,0.05,0.8
2664,Caesars Palace 2000: Millennium Gold Edition,Misc,Interplay,0.43,0.29,0.0,0.05,0.77
2736,Mega Man X5,Platform,Capcom,0.3,0.21,0.2,0.05,0.75
