Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
57,Grand Theft Auto IV,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
145,Metal Gear Solid 4: Guns of the Patriots,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
149,LittleBigPlanet,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
167,Call of Duty: World at War,Shooter,Activision,2.72,1.87,0.0,0.84,5.43
300,Fallout 3,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
590,FIFA Soccer 09,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59
621,Resistance 2,Shooter,Sony Computer Entertainment,1.15,0.85,0.1,0.39,2.48
629,Midnight Club: Los Angeles,Racing,Take-Two Interactive,1.55,0.54,0.05,0.31,2.45
704,Star Wars: The Force Unleashed,Action,LucasArts,1.01,0.9,0.0,0.37,2.28
781,PES 2009: Pro Evolution Soccer,Sports,Konami Digital Entertainment,0.11,1.34,0.4,0.26,2.11
803,Need For Speed: Undercover,Racing,Electronic Arts,0.63,1.02,0.05,0.39,2.08
842,Dead Space,Action,Electronic Arts,1.05,0.67,0.0,0.3,2.02
852,Mortal Kombat vs. DC Universe,Fighting,Midway Games,1.48,0.3,0.0,0.22,2.0
865,Burnout Paradise,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97
888,Guitar Hero: World Tour,Misc,Activision,1.1,0.56,0.0,0.27,1.93
912,Madden NFL 09,Sports,Electronic Arts,1.56,0.15,0.0,0.18,1.89
1061,Saints Row 2,Action,THQ,0.88,0.54,0.02,0.25,1.69
1164,Devil May Cry 4,Action,Capcom,0.58,0.46,0.34,0.21,1.59
1266,Rock Band 2,Misc,MTV Games,1.13,0.2,0.0,0.16,1.5
1289,SoulCalibur IV,Fighting,Ubisoft,0.72,0.41,0.14,0.2,1.47
1320,BioShock,Shooter,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45
1385,Far Cry 2,Action,Ubisoft,0.43,0.7,0.01,0.27,1.4
1419,MotorStorm: Pacific Rift,Racing,Sony Computer Entertainment,0.43,0.67,0.02,0.26,1.37
1445,Battlefield: Bad Company,Shooter,Electronic Arts,0.76,0.36,0.05,0.18,1.35
1450,Tom Clancy's Rainbow Six: Vegas 2,Shooter,Ubisoft,0.66,0.45,0.04,0.21,1.35
