Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1135,Rock Band,Misc,Electronic Arts,0.99,0.41,0.0,0.22,1.62
2136,Yakuza 4,Action,Sega,0.15,0.14,0.63,0.05,0.97
2147,LEGO Harry Potter: Years 5-7,Action,Warner Bros. Interactive Entertainment,0.36,0.45,0.0,0.16,0.97
2417,The Lord of the Rings: War in the North,Action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
3143,Test Drive Unlimited 2,Racing,Atari,0.16,0.35,0.01,0.12,0.64
4147,Sonic the Hedgehog,Platform,N/A,0.0,0.48,0.0,0.0,0.48
4860,Silent Hill: Homecoming,Action,Konami Digital Entertainment,0.18,0.15,0.0,0.06,0.4
4936,Robert Ludlum's The Bourne Conspiracy,Action,Vivendi Games,0.18,0.14,0.0,0.06,0.39
6403,Rock Revolution,Misc,Unknown,0.25,0.0,0.0,0.02,0.27
6498,Jonah Lomu Rugby Challenge,Sports,Home Entertainment Suppliers,0.0,0.2,0.0,0.06,0.26
6834,Singularity,Shooter,Unknown,0.17,0.04,0.01,0.03,0.24
7183,Move Fitness,Sports,Sony Computer Entertainment,0.0,0.17,0.0,0.05,0.22
7425,WRC: FIA World Rally Championship,Racing,Black Bean Games,0.0,0.15,0.01,0.05,0.21
8315,Backbreaker,Sports,Unknown,0.16,0.0,0.0,0.01,0.17
8441,Splatterhouse,Action,Namco Bandai Games,0.13,0.02,0.0,0.02,0.17
9173,Bejeweled 3,Puzzle,Unknown,0.13,0.0,0.0,0.01,0.14
9744,Record of Agarest War Zero,Strategy,Ghostlight,0.09,0.0,0.03,0.01,0.12
10467,Happy Feet Two,Action,Warner Bros. Interactive Entertainment,0.09,0.01,0.0,0.01,0.1
12030,Port Royale 3,Simulation,Kalypso Media,0.06,0.0,0.0,0.01,0.07
13057,Battle vs. Chess,Misc,TopWare Interactive,0.0,0.04,0.0,0.01,0.05
13158,The History Channel: Great Battles - Medieval,Strategy,Slitherine Software,0.0,0.04,0.0,0.01,0.05
13280,Monster Hunter Frontier Online,Role-Playing,N/A,0.0,0.0,0.05,0.0,0.05
14945,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,Adventure,N/A,0.0,0.0,0.02,0.0,0.02
16249,Agarest Senki: Re-appearance,Role-Playing,Idea Factory,0.0,0.0,0.01,0.0,0.01
16369,Hakuouki: Shinsengumi Kitan,Adventure,Unknown,0.01,0.0,0.0,0.0,0.01
