Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
91,Grand Theft Auto: Liberty City Stories,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
341,Midnight Club 3: DUB Edition,Racing,Take-Two Interactive,1.65,1.22,0.0,0.79,3.66
790,Need for Speed: Most Wanted 5-1-0,Racing,Electronic Arts,1.77,0.13,0.02,0.18,2.1
1402,The Sims 2,Simulation,Electronic Arts,0.49,0.56,0.0,0.33,1.38
1451,Monster Hunter Freedom,Role-Playing,Capcom,0.24,0.04,1.03,0.04,1.35
1485,Need for Speed Underground Rivals,Racing,Electronic Arts,0.69,0.38,0.02,0.24,1.32
1629,Star Wars: Battlefront II,Shooter,LucasArts,1.05,0.06,0.01,0.11,1.23
1667,World Soccer Winning Eleven 9 (JP & Others sales),Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0,1.2
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12
1869,Untold Legends: Brotherhood of the Blade,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.1
1881,Namco Museum Battle Collection,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.09
1934,World Tour Soccer,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07
2013,WipEout Pure,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.22,1.04
2444,Burnout Legends,Racing,Electronic Arts,0.7,0.06,0.0,0.09,0.85
2508,Tony Hawk's Underground 2 Remix,Sports,Activision,0.46,0.21,0.0,0.15,0.82
2519,MediEvil: Resurrection,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.82
2680,Twisted Metal: Head On,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77
2749,Madden NFL 06,Sports,Electronic Arts,0.69,0.0,0.0,0.06,0.75
2750,Coded Arms,Shooter,Konami Digital Entertainment,0.28,0.29,0.0,0.18,0.75
2902,Spider-Man 2,Action,Activision,0.35,0.21,0.0,0.14,0.71
2928,Ape Escape: On the Loose,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,0.7
3029,Virtua Tennis: World Tour (US & Others sales),Sports,Sega,0.16,0.36,0.0,0.14,0.67
3510,ATV Offroad Fury: Blazin' Trails,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57
3609,Archer Maclean's Mercury,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56
4615,NBA Live 06,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42
4809,WWE SmackDown! vs. RAW 2006,Fighting,THQ,0.36,0.01,0.0,0.03,0.4
5143,NFL Street 2 Unleashed,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37
5651,Marvel Nemesis: Rise of the Imperfects,Fighting,Electronic Arts,0.29,0.0,0.0,0.03,0.32
5752,Mega Man Maverick Hunter X,Platform,Capcom,0.27,0.01,0.0,0.03,0.31
5833,Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,Misc,Sega,0.0,0.0,0.3,0.0,0.3
5967,X-Men Legends II: Rise of Apocalypse,Role-Playing,Activision,0.25,0.01,0.0,0.03,0.29
6352,Tales of Eternia,Role-Playing,Ubisoft,0.0,0.01,0.25,0.01,0.27
6476,Crash Tag Team Racing,Racing,Vivendi Games,0.16,0.06,0.0,0.04,0.26
6600,TOCA Race Driver 2: Ultimate Racing Simulator,Racing,Codemasters,0.0,0.25,0.0,0.0,0.26
6790,MLB,Sports,Sony Computer Entertainment,0.23,0.0,0.0,0.02,0.24
6826,Midway Arcade Treasures: Extended Play,Misc,Midway Games,0.21,0.01,0.0,0.02,0.24
6987,Me & My Katamari,Puzzle,Namco Bandai Games,0.13,0.02,0.08,0.0,0.23
6990,SSX On Tour,Sports,Electronic Arts,0.19,0.02,0.0,0.02,0.23
7008,Pinball Hall of Fame: The Gottlieb Collection,Misc,Play It,0.2,0.01,0.0,0.02,0.23
7131,NBA Street: Showdown,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.23
7274,NBA 06,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.22
7326,NBA,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.21
7369,MVP Baseball,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.21
7397,Prince of Persia: Revelations,Adventure,Ubisoft,0.18,0.01,0.0,0.02,0.21
7412,World Series of Poker,Misc,Activision,0.19,0.0,0.0,0.02,0.21
7468,Tiger Woods PGA Tour,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21
7633,The Con,Fighting,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2
7682,Harry Potter and the Goblet of Fire,Action,Electronic Arts,0.17,0.01,0.0,0.02,0.2
7703,Tiger Woods PGA Tour 06,Sports,Electronic Arts,0.18,0.0,0.0,0.01,0.2
7781,Peter Jackson's King Kong: The Official Game of the Movie,Action,Ubisoft,0.16,0.01,0.0,0.02,0.19
7845,Death Jr.,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.19
7986,Samurai Warriors: State of War,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.19
8059,Metal Gear Ac!d 2,Strategy,Konami Digital Entertainment,0.11,0.01,0.05,0.01,0.18
8063,TalkMan (Japan),Misc,Sony Computer Entertainment,0.0,0.0,0.18,0.0,0.18
8405,Pursuit Force,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.02,0.17
8692,Infected,Shooter,THQ,0.14,0.0,0.0,0.01,0.16
8821,Kingdom of Paradise,Role-Playing,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15
9101,Gretzky NHL 06,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.14
9140,Lord of the Rings: Tactics,Strategy,Electronic Arts,0.11,0.02,0.0,0.02,0.14
9309,World Championship Poker 2: Featuring Howard Lederer,Misc,505 Games,0.12,0.0,0.0,0.01,0.14
9445,Dead to Rights: Reckoning,Shooter,Electronic Arts,0.12,0.0,0.0,0.01,0.13
9788,Go! Sudoku,Puzzle,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12
9994,FIFA Soccer,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12
10048,FIFA Soccer 06,Sports,Electronic Arts,0.1,0.01,0.0,0.01,0.11
10207,Go! Sudoku (JP sales),Puzzle,Sony Computer Entertainment,0.0,0.0,0.11,0.0,0.11
10243,Frogger: Helmet Chaos,Platform,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
10339,Rengoku: The Tower of Purgatory,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
10479,Gretzky NHL,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.01,0.1
10885,Bleach: Heat the Soul,Fighting,Sony Computer Entertainment,0.0,0.0,0.09,0.0,0.09
10890,The Legend of Heroes: A Tear of Vermillion,Role-Playing,Namco Bandai Games,0.08,0.0,0.0,0.01,0.09
10953,GripShift,Racing,Ubisoft,0.08,0.0,0.0,0.01,0.09
11063,Super Robot Taisen MX Portable,Strategy,Banpresto,0.0,0.0,0.09,0.0,0.09
11140,Harvest Moon: Boy & Girl,Simulation,Marvelous Interactive,0.08,0.0,0.0,0.01,0.09
11291,Frantix,Puzzle,Ubisoft,0.08,0.0,0.0,0.01,0.08
11383,Exit,Puzzle,Ubisoft,0.07,0.0,0.0,0.01,0.08
