Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1500,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment,0.57,0.46,0.0,0.28,1.32
2486,Madden NFL 07,Sports,Unknown,0.77,0.03,0.0,0.04,0.83
2588,PES 2009: Pro Evolution Soccer,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8
5080,The Golden Compass,Action,Sega,0.11,0.16,0.0,0.1,0.38
6321,LEGO Harry Potter: Years 5-7,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0.0,0.06,0.27
6921,Danganronpa: Trigger Happy Havoc,Misc,Unknown,0.0,0.0,0.24,0.0,0.24
7408,Valkyria Chronicles III: Unrecorded Chronicles,Strategy,Sega,0.0,0.0,0.21,0.0,0.21
9751,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,Strategy,N/A,0.0,0.0,0.12,0.0,0.12
9870,Major League Baseball 2K6,Sports,Unknown,0.11,0.0,0.0,0.01,0.12
10981,Samurai Shodown Anthology,Fighting,Ignition Entertainment,0.08,0.0,0.0,0.01,0.09
12519,Prinny: Can I Really Be The Hero? (US sales),Action,N/A,0.06,0.0,0.0,0.0,0.06
14057,Half-Minute Hero 2,Role-Playing,Rising Star Games,0.0,0.0,0.04,0.0,0.04
14100,Major League Baseball 2K8,Sports,Unknown,0.03,0.0,0.0,0.0,0.03
14380,Fullmetal Alchemist: Brotherhood,Action,Unknown,0.0,0.0,0.03,0.0,0.03
15001,Payout Poker & Casino,Misc,Unknown,0.02,0.0,0.0,0.0,0.02
16060,PDC World Championship Darts 2008,Sports,Oxygen Interactive,0.01,0.0,0.0,0.0,0.01
