Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1073,Call of Duty Black Ops: Declassified,Action,Activision,0.8,0.52,0.07,0.3,1.69
1288,Assassin's Creed III: Liberation,Action,Ubisoft,0.58,0.55,0.06,0.28,1.47
1298,LittleBigPlanet PS Vita,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47
1407,Persona 4: Golden,Role-Playing,Atlus,0.46,0.34,0.38,0.21,1.38
1744,Need for Speed: Most Wanted,Racing,Electronic Arts,0.38,0.52,0.01,0.25,1.16
2697,Mortal Kombat,Fighting,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76
3169,Gravity Rush,Action,Sony Computer Entertainment,0.26,0.2,0.09,0.1,0.64
3262,FIFA Soccer,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62
3386,Rayman Origins,Platform,Ubisoft,0.13,0.35,0.0,0.11,0.59
3653,Unit 13,Shooter,Sony Computer Entertainment,0.29,0.15,0.04,0.07,0.55
3852,PlayStation All-Stars Battle Royale,Action,Sony Computer Entertainment,0.26,0.15,0.01,0.1,0.52
4083,Sonic & All-Stars Racing Transformed,Racing,Sega,0.12,0.25,0.0,0.11,0.48
4088,Metal Gear Solid HD Edition,Action,Konami Digital Entertainment,0.16,0.18,0.05,0.09,0.48
4180,FIFA Soccer 13,Action,Electronic Arts,0.0,0.3,0.05,0.12,0.47
4329,Resistance: Burning Skies,Shooter,Sony Computer Entertainment,0.21,0.16,0.02,0.07,0.45
4597,Ragnarok Odyssey,Role-Playing,GungHo,0.22,0.01,0.16,0.03,0.42
4921,Wipeout 2048,Racing,Sony Computer Entertainment,0.14,0.19,0.0,0.06,0.39
5158,LEGO Batman 2: DC Super Heroes,Action,Warner Bros. Interactive Entertainment,0.17,0.13,0.0,0.06,0.37
5431,Modnation Racers: Road Trip,Racing,Sony Computer Entertainment,0.17,0.12,0.0,0.05,0.34
5563,LEGO The Lord of the Rings,Action,Warner Bros. Interactive Entertainment,0.1,0.15,0.0,0.07,0.33
5590,Madden NFL 13,Sports,Electronic Arts,0.3,0.0,0.0,0.03,0.32
6021,Ys: Memories of Celceta,Action,Nihon Falcom Corporation,0.15,0.01,0.1,0.04,0.29
6419,Ninja Gaiden Sigma,Action,Tecmo Koei,0.13,0.06,0.04,0.04,0.27
6495,Lumines: Electronic Symphony,Misc,Ubisoft,0.11,0.1,0.01,0.05,0.26
6836,Street Fighter X Tekken,Fighting,Capcom,0.14,0.05,0.01,0.04,0.24
6930,LEGO Harry Potter: Years 5-7,Action,Warner Bros. Interactive Entertainment,0.09,0.1,0.0,0.05,0.24
6948,Silent Hill: Book of Memories,Action,Konami Digital Entertainment,0.13,0.06,0.0,0.04,0.24
6997,Hatsune Miku: Project Diva f,Misc,Sega,0.0,0.0,0.23,0.0,0.23
7214,Dungeon Hunter Alliance,Action,Ubisoft,0.09,0.1,0.0,0.04,0.22
7575,MLB 12: The Show,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2
9212,Reality Fighters,Fighting,Sony Computer Entertainment,0.06,0.06,0.0,0.03,0.14
9685,Kidou Senshi Gundam Seed Battle Destiny,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
10688,Tales of Innocence R,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
10785,Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,Adventure,Gust,0.0,0.0,0.1,0.0,0.1
11008,Supremacy MMA,Fighting,505 Games,0.02,0.05,0.0,0.02,0.09
11104,Atelier Totori: The Adventurer of Arland,Role-Playing,Gust,0.0,0.0,0.09,0.0,0.09
11139,Jikkyou Powerful Pro Yakyuu 2012,Action,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09
11745,AKB1/149: Love Election,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
11962,The Legend of Heroes VII: The Trail of Zero,Role-Playing,Falcom Corporation,0.0,0.0,0.07,0.0,0.07
12213,MotorStorm RC,Racing,Sony Computer Entertainment,0.0,0.05,0.0,0.02,0.07
12391,Earth Defense Force 2017 Portable,Action,D3Publisher,0.0,0.0,0.06,0.0,0.06
12737,Pro Yaky? Spirits 2012,Sports,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
12756,Fate/Stay Night [Réalta Nua],Adventure,Kadokawa Shoten,0.0,0.0,0.06,0.0,0.06
13098,Ben 10 Galactic Racing,Racing,D3Publisher,0.02,0.02,0.0,0.01,0.05
13377,Time Travelers,Adventure,Level 5,0.0,0.0,0.05,0.0,0.05
13571,Little Battlers eXperience W,Role-Playing,Level 5,0.0,0.0,0.04,0.0,0.04
13719,Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,Action,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
14849,Tokushu Houdoubu,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
14860,Little Busters! Converted Edition,Action,Prototype,0.0,0.0,0.03,0.0,0.03
14909,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,Adventure,ChunSoft,0.0,0.0,0.03,0.0,0.03
15386,Samurai & Dragons,Action,Sega,0.0,0.0,0.02,0.0,0.02
16271,Dokuro,Action,GungHo,0.0,0.0,0.01,0.0,0.01
16406,Ratchet & Clank: Full Frontal Assault,Adventure,Sony Computer Entertainment,0.01,0.0,0.0,0.0,0.01
16519,DJ Max Technika Tune,Misc,CyberFront,0.0,0.0,0.01,0.0,0.01
