Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3359,Puyo Puyo Sun,Puzzle,Compile,0.0,0.0,0.6,0.0,0.6
3669,Super Robot Taisen F,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55
4052,J-League Pro Soccer Club wo Tsukurou! 2,Sports,Sega,0.0,0.0,0.49,0.0,0.49
4569,Neon Genesis Evangelion 2nd Impression,Role-Playing,Sega,0.0,0.0,0.42,0.0,0.42
4602,Grandia,Role-Playing,ESP,0.0,0.0,0.42,0.0,0.42
5780,Shin Megami Tensei: Devil Summoner - Soul Hackers,Role-Playing,Atlus,0.0,0.0,0.31,0.0,0.31
6219,Kakyuusei,Strategy,Elf,0.0,0.0,0.28,0.0,0.28
6562,X-Men vs. Street Fighter,Fighting,Capcom,0.0,0.0,0.26,0.0,0.26
6587,Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV,Role-Playing,Hudson Soft,0.0,0.0,0.26,0.0,0.26
7328,Pro Yakyuu Greatest Nine '97,Sports,Sega,0.0,0.0,0.21,0.0,0.21
7331,Lunar: Silver Star Story Complete,Role-Playing,Kadokawa Shoten,0.0,0.0,0.21,0.0,0.21
7334,EVE: burst error,Adventure,Imagineer,0.0,0.0,0.21,0.0,0.21
8021,Dead or Alive,Fighting,Tecmo Koei,0.0,0.0,0.18,0.0,0.18
8444,Resident Evil,Action,Capcom,0.0,0.0,0.17,0.0,0.17
8791,Kidou Senkan Nadesico,Strategy,Sega,0.0,0.0,0.15,0.0,0.15
8811,All Japan Pro Wrestling featuring Virtua,Fighting,Sega,0.0,0.0,0.15,0.0,0.15
8906,Mobile Suit Gundam Side Story III: Sabakareshi Mono,Shooter,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
9183,Desire,Adventure,Imadio,0.0,0.0,0.14,0.0,0.14
9414,Shining Force III,Strategy,Sega,0.0,0.0,0.13,0.0,0.13
9495,The House of the Dead,Shooter,Sega,0.0,0.0,0.13,0.0,0.13
9512,Momotaro Douchuuki,Misc,Hudson Soft,0.0,0.0,0.13,0.0,0.13
9620,Doukyuusei 2,Role-Playing,NEC Interchannel,0.0,0.0,0.13,0.0,0.13
9661,Sonic Jam,Platform,Sega,0.0,0.0,0.12,0.0,0.12
9949,Hanagumi Taisen Columns,Puzzle,Sega,0.0,0.0,0.12,0.0,0.12
10249,Sakura Taisen Hanagumi Tsuushin,Misc,Sega,0.0,0.0,0.11,0.0,0.11
10267,Panzer Dragoon Saga,Role-Playing,Sega,0.0,0.0,0.11,0.0,0.11
10313,Langrisser IV,Strategy,NCS,0.0,0.0,0.11,0.0,0.11
10620,Choujikuu Yousai Macross: Ai Oboete Imasu ka,Shooter,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
11526,Sentimental Graffiti: First Window,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08
11633,Virus,Shooter,Hudson Soft,0.0,0.0,0.08,0.0,0.08
11786,Real Sound: Kaze no Riguretto,Adventure,Warp,0.0,0.0,0.07,0.0,0.07
12100,Mega Man X4,Action,Capcom,0.0,0.0,0.07,0.0,0.07
12513,Marvel Super Heroes,Fighting,Capcom,0.0,0.0,0.06,0.0,0.06
12805,Mega Man 8 Anniversary Collector's Edition,Platform,Capcom,0.0,0.0,0.06,0.0,0.06
