Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
58,Super Mario All-Stars,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
473,Star Fox,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
851,Super Street Fighter II,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0
889,Mortal Kombat II,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93
950,Secret of Mana,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83
1011,Disney's Aladdin,Platform,Capcom,0.94,0.34,0.21,0.27,1.75
1056,Super Puyo Puyo,Puzzle,Banpresto,0.0,0.0,1.69,0.01,1.7
1327,Dragon Ball Z,Fighting,Namco Bandai Games,0.0,0.0,1.45,0.0,1.45
1676,Dragon Ball Z: La Legende Saien,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2
1731,Romancing SaGa 2,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0,1.17
1753,Mega Man X,Platform,Capcom,0.57,0.08,0.5,0.01,1.16
1779,Dragon Quest I & II,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15
2035,Final Fight 2,Action,Capcom,0.39,0.12,0.49,0.02,1.02
2594,Capcom's Soccer Shootout,Sports,Nintendo,0.0,0.0,0.8,0.0,0.8
2653,Torneko no Daibouken: Fushigi no Dungeon,Role-Playing,ChunSoft,0.0,0.0,0.78,0.0,0.78
2797,Dragon Ball Z: Ultime Menace,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73
2958,J-League Soccer: Prime Goal,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
3238,Nobunaga no Yabou: Haouden,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0,0.62
3593,Mega Man X2,Platform,Laguna,0.09,0.02,0.45,0.0,0.56
3782,Virtual Soccer,Sports,Hudson Soft,0.0,0.0,0.53,0.0,0.53
3784,Winning Post,Sports,Tecmo Koei,0.0,0.0,0.53,0.0,0.53
4043,Mario & Wario,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49
4244,Crayon Shin-Chan: Arashi o Yobu Enji,Platform,Namco Bandai Games,0.0,0.0,0.46,0.0,0.46
4365,Fatal Fury 2,Fighting,Takara,0.0,0.0,0.45,0.0,0.45
5176,Yuu Yuu Hakusho,Fighting,Namco Bandai Games,0.0,0.0,0.36,0.0,0.36
5293,Stunt Race FX,Racing,Nintendo,0.0,0.0,0.35,0.0,0.35
5668,Shin Momotarou Densetsu,Role-Playing,Hudson Soft,0.0,0.0,0.32,0.0,0.32
5801,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,Platform,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31
6308,Bishoujo Senshi Sailormoon R,Fighting,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27
7303,Sailor Moon,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
7771,Jissen Pachi-Slot Hisshouhou,Misc,Sammy Corporation,0.0,0.0,0.19,0.0,0.19
7931,Thoroughbred Breeder,Simulation,Hect,0.0,0.0,0.19,0.0,0.19
8069,Mega Man Soccer,Sports,Capcom,0.04,0.01,0.13,0.0,0.18
8426,Super Power League,Sports,Hudson Soft,0.0,0.0,0.17,0.0,0.17
9463,Illusion of Gaia,Role-Playing,Nintendo,0.0,0.0,0.13,0.0,0.13
9931,Harukanaru Augusta 2: Masters,Sports,T&E Soft,0.0,0.0,0.12,0.0,0.12
10261,Classic Road,Sports,Victor Interactive,0.0,0.0,0.11,0.0,0.11
10333,Ranma 1/2: Akanekodan Teki Hihou,Role-Playing,TOHO,0.0,0.0,0.11,0.0,0.11
11129,Lethal Enforcers,Shooter,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09
12111,Ninja Warriors,Action,Titus,0.0,0.0,0.07,0.0,0.07
12291,Super Mahjong 2: Honkaku 4Jin Uchi,Misc,Imax,0.0,0.0,0.06,0.0,0.06
12654,Pop'n TwinBee: Rainbow Bell Adventure,Platform,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
12929,Doraemon 2: Nobita no Toizurando Daibouken,Role-Playing,Epoch,0.0,0.0,0.05,0.0,0.05
12958,Pachinko Wars II,Misc,Coconuts Japan,0.0,0.0,0.05,0.0,0.05
13149,Keiba Eight Special,Sports,Misawa,0.0,0.0,0.05,0.0,0.05
16108,Rock N' Roll Racing,Racing,Interplay,0.0,0.0,0.01,0.0,0.01
