Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3,Mario Kart Wii,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
40,Super Smash Bros. Brawl,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
227,Animal Crossing: City Folk,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
344,Guitar Hero: World Tour,Misc,Activision,2.33,0.97,0.0,0.35,3.65
413,Wii Music,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
606,Deca Sports,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54
679,My Fitness Coach,Sports,Ubisoft,1.2,0.9,0.0,0.24,2.34
740,Sonic Unleashed,Platform,Sega,1.28,0.68,0.02,0.21,2.2
833,Rayman Raving Rabbids: TV Party,Misc,Ubisoft,0.73,1.09,0.0,0.23,2.04
863,Call of Duty: World at War,Shooter,Activision,1.2,0.59,0.0,0.19,1.97
894,Mario Super Sluggers,Sports,Nintendo,1.51,0.0,0.29,0.12,1.93
898,Monopoly,Misc,Electronic Arts,0.87,0.85,0.0,0.2,1.92
905,Star Wars: The Force Unleashed,Action,LucasArts,1.14,0.57,0.0,0.19,1.91
906,Game Party 2,Misc,Midway Games,1.3,0.44,0.0,0.17,1.91
1053,We Ski,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7
1081,Star Wars The Clone Wars: Lightsaber Duels,Action,LucasArts,1.23,0.3,0.0,0.14,1.68
1084,Shaun White Snowboarding: Road Trip,Sports,Ubisoft,0.94,0.57,0.0,0.17,1.67
1086,Big Beach Sports,Sports,THQ,0.45,1.02,0.0,0.2,1.67
1150,Dance Dance Revolution: Hottest Party 2,Simulation,Konami Digital Entertainment,0.95,0.48,0.01,0.15,1.6
1171,Carnival Games: Mini Golf,Sports,Take-Two Interactive,0.87,0.56,0.0,0.15,1.58
1200,Active Life: Outdoor Challenge,Sports,Atari,0.79,0.44,0.19,0.14,1.55
1221,MySims Kingdom,Simulation,Electronic Arts,0.71,0.65,0.01,0.17,1.53
1296,The House of the Dead 2 & 3 Return,Shooter,Sega,0.78,0.5,0.03,0.15,1.47
1330,Hasbro Family Game Night,Puzzle,Electronic Arts,0.97,0.34,0.0,0.13,1.45
1351,Tiger Woods PGA Tour 09 All-Play,Sports,Electronic Arts,0.81,0.48,0.0,0.14,1.43
1512,High School Musical 3: Senior Year DANCE!,Misc,Disney Interactive Studios,0.68,0.49,0.0,0.13,1.31
1513,Gold's Gym: Cardio Workout,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31
1536,Guitar Hero: Aerosmith,Misc,Activision,1.04,0.14,0.0,0.1,1.29
1564,Jillian Michaels' Fitness Ultimatum 2009,Sports,Deep Silver,0.96,0.2,0.0,0.11,1.27
1631,Boom Blox,Puzzle,Electronic Arts,0.72,0.38,0.0,0.12,1.23
1673,Disney Sing It,Misc,Disney Interactive Studios,0.77,0.31,0.0,0.12,1.2
1692,Pro Evolution Soccer 2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
1725,Wario Land: Shake It!,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17
1864,NERF N-Strike,Shooter,Electronic Arts,0.92,0.09,0.0,0.09,1.1
1948,Sega Superstars Tennis,Sports,Sega,0.28,0.65,0.0,0.13,1.06
1990,Guinness World Records: The Videogame,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04
2025,Rock Band 2,Misc,MTV Games,0.94,0.01,0.0,0.08,1.03
2036,Wall-E,Platform,THQ,0.51,0.4,0.0,0.11,1.02
2131,de Blob,Platform,THQ,0.5,0.37,0.0,0.1,0.97
2230,Sonic Riders: Zero Gravity,Racing,Sega,0.5,0.32,0.02,0.1,0.93
2259,Kung Fu Panda,Action,Activision,0.5,0.32,0.0,0.09,0.92
2303,We Ski & Snowboard,Sports,Atari,0.38,0.29,0.15,0.08,0.9
2316,Samba De Amigo,Misc,Sega,0.42,0.37,0.01,0.1,0.9
2319,FIFA Soccer 09 All-Play,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9
2340,CSI: Hard Evidence,Adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89
2371,Cooking Mama: World Kitchen,Simulation,505 Games,0.51,0.28,0.01,0.08,0.88
2434,Madden NFL 09 All-Play,Sports,Electronic Arts,0.78,0.01,0.0,0.07,0.85
2482,WWE SmackDown vs. Raw 2009,Fighting,THQ,0.44,0.31,0.0,0.08,0.83
2497,The Price is Right,Misc,Ubisoft,0.77,0.0,0.0,0.06,0.83
2558,Ben 10: Alien Force,Action,Koch Media,0.52,0.21,0.0,0.07,0.81
2580,All Star Cheer Squad,Sports,THQ,0.43,0.29,0.0,0.08,0.8
2728,Harvest Moon: Animal Parade,Simulation,Rising Star Games,0.6,0.09,0.02,0.05,0.76
3026,Need For Speed: Undercover,Racing,Electronic Arts,0.27,0.32,0.0,0.07,0.67
