Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
432,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17
653,LEGO Indiana Jones: The Original Adventures,Action,LucasArts,1.54,0.63,0.0,0.22,2.39
713,Call of Duty 3,Shooter,Activision,1.19,0.84,0.0,0.23,2.26
784,Rock Band,Misc,MTV Games,1.35,0.56,0.0,0.2,2.11
1435,LEGO Harry Potter: Years 5-7,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0.0,0.13,1.36
2297,Rhythm Heaven,Misc,Unknown,0.13,0.0,0.77,0.01,0.9
2778,Madden NFL 11,Sports,Unknown,0.7,0.0,0.0,0.05,0.74
3348,The Golden Compass,Action,Sega,0.26,0.28,0.0,0.07,0.6
4201,Tiger Woods PGA Tour 07,Sports,Electronic Arts,0.43,0.0,0.0,0.04,0.47
4538,NHL Slapshot,Sports,Unknown,0.4,0.0,0.0,0.02,0.43
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Action,N/A,0.15,0.05,0.14,0.01,0.35
6928,DanceDanceRevolution II,Misc,Konami Digital Entertainment,0.22,0.0,0.0,0.02,0.24
6939,Tony Hawk's Downhill Jam,Sports,Activision,0.21,0.0,0.0,0.02,0.24
6968,Big Beach Sports 2,Sports,THQ,0.09,0.12,0.0,0.03,0.23
8046,Trauma Team,Simulation,Unknown,0.15,0.0,0.02,0.01,0.18
8622,Vegas Party,Misc,Unknown,0.15,0.0,0.0,0.01,0.16
9083,Our House Party!,Simulation,Unknown,0.13,0.0,0.0,0.01,0.14
10364,Disney's Chicken Little: Ace In Action,Shooter,Disney Interactive Studios,0.1,0.0,0.0,0.01,0.11
10794,The Daring Game for Girls,Adventure,Unknown,0.09,0.0,0.0,0.01,0.1
11144,Happy Feet Two,Action,Warner Bros. Interactive Entertainment,0.07,0.01,0.0,0.01,0.09
11411,Zero: Tsukihami no Kamen,Action,Nintendo,0.0,0.0,0.08,0.0,0.08
11545,Rock Revolution,Misc,Unknown,0.07,0.0,0.0,0.01,0.08
12129,Build-A-Bear Workshop: Friendship Valley,Misc,Unknown,0.06,0.0,0.0,0.0,0.07
12628,Captain America: Super Soldier,Action,Sega,0.05,0.0,0.0,0.0,0.06
12668,Flip's Twisted World,Platform,Unknown,0.05,0.0,0.0,0.0,0.06
12881,Reader Rabbit 2nd Grade,Misc,Unknown,0.05,0.0,0.0,0.0,0.05
13677,Luxor: Pharaoh's Challenge,Puzzle,Funsta,0.01,0.03,0.0,0.0,0.04
14048,Swords,Fighting,Unknown,0.03,0.0,0.0,0.0,0.04
14879,Combat Wings: The Great Battles of WWII,Simulation,City Interactive,0.02,0.0,0.0,0.0,0.03
15000,Wii de Asobu: Metroid Prime,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02
15002,Wii de Asobu: Metroid Prime,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02
15200,Saint,Shooter,Unknown,0.02,0.0,0.0,0.0,0.02
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Racing,Unknown,0.0,0.0,0.02,0.0,0.02
15814,Ferrari: The Race Experience,Racing,System 3 Arcade Software,0.0,0.01,0.0,0.0,0.02
15881,Dance! It's Your Stage,Misc,DTP Entertainment,0.0,0.01,0.0,0.0,0.02
