Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2214,The Legend of Zelda: Twilight Princess HD,Action,Nintendo,0.48,0.3,0.08,0.08,0.94
2244,Pokken Tournament,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
4515,Minecraft,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
5290,Star Fox: Zero,Shooter,Nintendo,0.16,0.1,0.07,0.03,0.35
6590,Mario & Sonic at the Rio 2016 Olympic Games,Action,Nintendo,0.03,0.11,0.1,0.01,0.26
6957,LEGO Marvel's Avengers,Action,Warner Bros. Interactive Entertainment,0.12,0.09,0.0,0.02,0.23
11169,Lego Star Wars: The Force Awakens,Action,Warner Bros. Interactive Entertainment,0.04,0.04,0.0,0.01,0.09
14850,Terraria,Action,505 Games,0.0,0.02,0.0,0.0,0.03
15469,Mighty No. 9,Platform,Deep Silver,0.01,0.01,0.0,0.0,0.02
16255,The Book of Unwritten Tales 2,Adventure,Nordic Games,0.0,0.01,0.0,0.0,0.01
