Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
142,Gears of War,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
251,The Elder Scrolls IV: Oblivion,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
551,Call of Duty 3,Shooter,Activision,1.49,0.93,0.02,0.27,2.71
614,Marvel: Ultimate Alliance,Role-Playing,Activision,2.29,0.02,0.0,0.19,2.5
743,Saints Row,Action,THQ,1.17,0.78,0.02,0.22,2.19
794,Dead Rising,Action,Capcom,1.16,0.65,0.08,0.2,2.09
872,Tom Clancy's Rainbow Six: Vegas,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.96
966,Madden NFL 07,Sports,Electronic Arts,1.66,0.0,0.01,0.13,1.8
1105,Need for Speed Carbon,Racing,Electronic Arts,0.76,0.7,0.02,0.18,1.66
1126,Viva Pinata,Simulation,Microsoft Game Studios,0.45,0.96,0.02,0.2,1.63
1215,Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54
1292,Fight Night Round 3,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47
1459,Lost Planet: Extreme Condition,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34
1985,Sonic the Hedgehog,Platform,Sega,0.44,0.49,0.0,0.11,1.05
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0
2248,Blue Dragon,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92
2630,Tom Clancy's Splinter Cell: Double Agent,Action,Ubisoft,0.67,0.05,0.01,0.06,0.78
2725,Rockstar Games presents Table Tennis,Sports,Take-Two Interactive,0.28,0.39,0.0,0.09,0.76
2813,NCAA Football 07,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73
3157,LEGO Star Wars II: The Original Trilogy,Action,LucasArts,0.55,0.04,0.0,0.05,0.64
3484,NBA 2K7,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58
3919,WWE SmackDown vs. RAW 2007,Fighting,THQ,0.44,0.03,0.0,0.04,0.51
3934,Burnout Revenge,Racing,Electronic Arts,0.42,0.05,0.0,0.04,0.51
4024,Tony Hawk's Project 8,Sports,Activision,0.44,0.02,0.0,0.04,0.49
4107,Tiger Woods PGA Tour 07,Sports,Electronic Arts,0.44,0.0,0.0,0.04,0.48
4139,FIFA World Cup Germany 2006,Sports,Electronic Arts,0.19,0.27,0.01,0.0,0.48
4293,NBA Live 07,Sports,Electronic Arts,0.42,0.0,0.0,0.04,0.46
4635,Blazing Angels: Squadrons of WWII,Simulation,Ubisoft,0.36,0.03,0.0,0.03,0.42
