Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
625,Rock Band,Misc,Electronic Arts,1.93,0.34,0.0,0.21,2.48
2088,LEGO Harry Potter: Years 5-7,Action,Warner Bros. Interactive Entertainment,0.51,0.39,0.0,0.09,0.99
2424,The Lord of the Rings: War in the North,Action,Warner Bros. Interactive Entertainment,0.52,0.26,0.0,0.08,0.86
2530,Shaun White Snowboarding,Sports,Ubisoft,0.48,0.26,0.0,0.08,0.82
2949,Test Drive Unlimited 2,Racing,Atari,0.3,0.32,0.0,0.07,0.69
3423,Madden NFL 06,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59
3954,Wet,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5
4382,Silent Hill: Homecoming,Action,Konami Digital Entertainment,0.25,0.16,0.0,0.04,0.45
4474,Robert Ludlum's The Bourne Conspiracy,Action,Vivendi Games,0.26,0.14,0.0,0.04,0.44
5198,Tropico 4,Strategy,Kalypso Media,0.2,0.13,0.0,0.03,0.36
5627,Singularity,Shooter,Unknown,0.24,0.05,0.0,0.02,0.32
6316,Gun,Shooter,Activision,0.24,0.01,0.0,0.02,0.27
7948,Star Trek: Legacy,Simulation,Ubisoft,0.14,0.03,0.0,0.02,0.19
8088,Backbreaker,Sports,Unknown,0.17,0.0,0.0,0.01,0.18
8169,Otomedius Excellent,Shooter,Unknown,0.13,0.0,0.04,0.01,0.18
8709,Jurassic Park: The Game,Action,Unknown,0.15,0.0,0.0,0.01,0.16
9253,Bejeweled 3,Puzzle,Unknown,0.13,0.0,0.0,0.01,0.14
9694,WRC: FIA World Rally Championship,Racing,Black Bean Games,0.0,0.1,0.0,0.02,0.12
10692,Happy Feet Two,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0.0,0.01,0.1
11333,Get Fit with Mel B,Sports,Black Bean Games,0.0,0.07,0.0,0.01,0.08
12137,Yoostar on MTV,Misc,Unknown,0.06,0.0,0.0,0.0,0.07
12214,National Geographic Challenge!,Misc,Unknown,0.06,0.0,0.0,0.0,0.07
12240,Port Royale 3,Simulation,Kalypso Media,0.06,0.0,0.0,0.0,0.07
12711,Mobile Ops: The One Year War,Simulation,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
12924,Tour de France 2011,Racing,Focus Home Interactive,0.0,0.05,0.0,0.01,0.05
13964,World of Tanks,Shooter,N/A,0.0,0.03,0.0,0.0,0.04
14315,Majesty 2: The Fantasy Kingdom Sim,Simulation,Unknown,0.03,0.0,0.0,0.0,0.03
15742,Football Manager 2007,Sports,Sega,0.0,0.01,0.0,0.0,0.02
16201,AKB1/48: Idol to Guam de Koishitara...,Misc,N/A,0.0,0.0,0.01,0.0,0.01
16232,Brothers in Arms: Furious 4,Shooter,N/A,0.01,0.0,0.0,0.0,0.01
