Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2039,Madden NFL 07,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02
3626,NCAA Football 07,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.56
3637,The Godfather (old US sales),Action,Electronic Arts,0.42,0.11,0.0,0.02,0.55
3695,FIFA Soccer 07,Sports,Electronic Arts,0.16,0.35,0.0,0.04,0.54
4044,Scarface: The World is Yours,Action,Vivendi Games,0.37,0.11,0.0,0.02,0.49
4200,Need for Speed Carbon,Racing,Electronic Arts,0.35,0.1,0.0,0.02,0.47
4430,The Godfather (US sales),Action,Electronic Arts,0.33,0.1,0.0,0.02,0.44
4445,LEGO Star Wars II: The Original Trilogy,Action,LucasArts,0.33,0.1,0.0,0.02,0.44
4654,Black,Shooter,Electronic Arts,0.31,0.09,0.0,0.01,0.42
4656,Double Pack: Finding Nemo / The Incredibles,Action,THQ,0.31,0.09,0.0,0.01,0.42
5406,MVP 06 NCAA Baseball,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.34
5444,Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,Ubisoft,0.21,0.11,0.0,0.01,0.33
5506,Fight Night Round 3,Fighting,Electronic Arts,0.26,0.06,0.0,0.01,0.33
5572,Major League Baseball 2K6,Sports,Take-Two Interactive,0.24,0.07,0.0,0.01,0.33
6936,FIFA World Cup Germany 2006,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.24
7532,Midnight Club 3: DUB Edition Remix,Racing,Take-Two Interactive,0.15,0.04,0.0,0.01,0.2
7584,Cars,Racing,THQ,0.15,0.04,0.0,0.01,0.2
7987,Tiger Woods PGA Tour 07,Sports,Electronic Arts,0.13,0.05,0.0,0.01,0.19
8431,25 to Life,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17
8882,Jaws Unleashed,Action,THQ,0.11,0.03,0.0,0.01,0.15
8950,Arena Football,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.15
9096,Hitman: Blood Money,Action,Eidos Interactive,0.11,0.03,0.0,0.01,0.14
9421,Tomb Raider: Legend,Action,Eidos Interactive,0.1,0.03,0.0,0.0,0.13
9488,Sonic Riders,Racing,Sega,0.1,0.03,0.0,0.0,0.13
9633,NBA Ballers: Phenom,Sports,Midway Games,0.09,0.03,0.0,0.0,0.13
9865,NFL Head Coach,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12
10571,X-Men: The Official Game,Action,Activision,0.08,0.02,0.0,0.0,0.1
10671,Over the Hedge,Platform,Activision,0.07,0.02,0.0,0.0,0.1
10767,Ice Age 2: The Meltdown,Platform,Vivendi Games,0.07,0.02,0.0,0.0,0.1
11342,FIFA Street 2,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08
11355,Blazing Angels: Squadrons of WWII,Simulation,Ubisoft,0.06,0.02,0.0,0.0,0.08
11711,Far Cry Instincts Evolution,Shooter,Ubisoft,0.06,0.02,0.0,0.0,0.08
11778,And1 Streetball,Action,Ubisoft,0.06,0.02,0.0,0.0,0.07
12156,Driver: Parallel Lines,Racing,Atari,0.05,0.01,0.0,0.0,0.07
12780,NBA Live 07,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.06
12890,MLB SlugFest 2006,Sports,Midway Games,0.04,0.01,0.0,0.0,0.05
13361,Full Spectrum Warrior: Ten Hammers,Strategy,THQ,0.03,0.01,0.0,0.0,0.05
13528,FlatOut 2,Racing,Empire Interactive,0.03,0.01,0.0,0.0,0.04
13603,NASCAR 07,Racing,Electronic Arts,0.03,0.01,0.0,0.0,0.04
13639,Torino 2006,Sports,Take-Two Interactive,0.03,0.01,0.0,0.0,0.04
13797,The Da Vinci Code,Action,Take-Two Interactive,0.03,0.01,0.0,0.0,0.04
13837,Dreamfall: The Longest Journey,Adventure,Empire Interactive,0.03,0.01,0.0,0.0,0.04
14088,Painkiller: Hell Wars,Shooter,DreamCatcher Interactive,0.03,0.01,0.0,0.0,0.04
14135,TOCA Race Driver 3,Racing,Codemasters,0.03,0.01,0.0,0.0,0.03
14389,Stacked with Daniel Negreanu,Misc,Myelin Media,0.02,0.01,0.0,0.0,0.03
14544,Curious George,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03
14567,Real World Golf,Sports,Mad Catz,0.02,0.01,0.0,0.0,0.03
14727,NBA 2K7,Sports,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
14792,NHL 07,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03
14841,World War II Combat: Road To Berlin,Shooter,Groove Games,0.02,0.01,0.0,0.0,0.03
15120,Samurai Shodown V,Fighting,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02
