Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1699,Hitman 2: Silent Assassin,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19
2288,Namco Museum,Misc,Unknown,0.77,0.11,0.0,0.04,0.91
3240,Metal Gear Solid 2: Substance,Action,Konami Digital Entertainment,0.38,0.22,0.0,0.03,0.62
3503,Madden NFL 2002,Sports,Unknown,0.53,0.02,0.0,0.03,0.58
3717,Def Jam: Fight for NY,Fighting,Electronic Arts,0.43,0.1,0.0,0.02,0.54
4332,The Chronicles of Riddick: Escape from Butcher Bay,Shooter,Vivendi Games,0.32,0.11,0.0,0.02,0.45
5164,NBA Live 2003,Sports,Electronic Arts,0.31,0.04,0.0,0.01,0.36
5771,Star Wars Jedi Knight II: Jedi Outcast,Shooter,Activision,0.23,0.07,0.0,0.01,0.31
6155,Unreal Championship 2: The Liandri Conflict,Shooter,Midway Games,0.22,0.05,0.0,0.01,0.28
7384,Robotech: Battlecry,Shooter,Unknown,0.16,0.05,0.0,0.01,0.21
8931,All-Star Baseball 2005,Sports,Unknown,0.11,0.03,0.0,0.01,0.15
9394,Transworld Surf,Sports,Atari,0.1,0.03,0.0,0.0,0.13
9822,Godzilla: Destroy All Monsters Melee,Fighting,Unknown,0.09,0.03,0.0,0.0,0.12
12017,Drake of the 99 Dragons,Shooter,Unknown,0.05,0.01,0.0,0.0,0.07
12186,Rayman Arena,Racing,Unknown,0.05,0.01,0.0,0.0,0.07
12751,Tom Clancy's Rainbow Six: Critical Hour,Shooter,Unknown,0.04,0.01,0.0,0.0,0.06
14476,Combat Elite: WWII Paratroopers,Shooter,Unknown,0.02,0.01,0.0,0.0,0.03
14679,Tom and Jerry in War of the Whiskers,Fighting,Unknown,0.02,0.01,0.0,0.0,0.03
14858,The King of Fighters: Maximum Impact - Maniax,Fighting,Unknown,0.02,0.01,0.0,0.0,0.03
15720,Without Warning,Shooter,Capcom,0.01,0.0,0.0,0.0,0.02
16068,Aquaman: Battle for Atlantis,Action,Unknown,0.01,0.0,0.0,0.0,0.01
