Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7442,Tales of Phantasia: Narikiri Dungeon X,PSP,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
14546,Royal Palace of White Sword and The City of Gentiles,PC,2009,Role-Playing,Take-Two Interactive,0.0,0.02,0.0,0.01,0.03
7951,Call of Duty: World at War,PC,2008,Shooter,Activision,0.02,0.13,0.0,0.03,0.19
10992,I Love Puppies,DS,2010,Simulation,Destineer,0.09,0.0,0.0,0.01,0.09
14841,World War II Combat: Road To Berlin,XB,2006,Shooter,Groove Games,0.02,0.01,0.0,0.0,0.03
6968,Big Beach Sports 2,Wii,N/A,Sports,THQ,0.09,0.12,0.0,0.03,0.23
7838,Naruto: Ninja Destiny,DS,2006,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0,0.19
2156,Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
14800,Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,2010,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03
14654,Nisenochigiri: Omoide no Saki e,PSP,2011,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
11438,Worms: A Space Oddity,Wii,2008,Strategy,THQ,0.06,0.02,0.0,0.01,0.08
12086,Samurai Shodown,NG,1993,Fighting,SNK,0.0,0.0,0.07,0.0,0.07
738,Wario Land 3,GB,2000,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2
5017,Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.15,0.2,0.0,0.03,0.38
4173,Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,Empire Interactive,0.05,0.04,0.38,0.01,0.47
15190,Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama Gai Kunaru Drill SP,DS,2011,Misc,Plenty,0.0,0.0,0.02,0.0,0.02
13767,Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection,PS2,2008,Shooter,Sega,0.0,0.0,0.04,0.0,0.04
14918,MAPLUS: Portable Navi 3,PSP,2009,Misc,Edia,0.0,0.0,0.02,0.0,0.02
562,Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68
3860,Freedom Fighters,PS2,2003,Shooter,Electronic Arts,0.25,0.2,0.0,0.07,0.52
3979,Dance Dance Revolution Universe 2,X360,2007,Simulation,Konami Digital Entertainment,0.46,0.01,0.0,0.04,0.5
16578,Neo Angelique Special,PSP,2008,Adventure,Tecmo Koei,0.0,0.0,0.01,0.0,0.01
3993,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004,Action,THQ,0.24,0.19,0.0,0.06,0.5
15348,Casper's Scare School: Spooky Sports Day,Wii,2009,Sports,Blast! Entertainment Ltd,0.02,0.0,0.0,0.0,0.02
9084,The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,Namco Bandai Games,0.03,0.0,0.11,0.0,0.14
6834,Singularity,PS3,N/A,Shooter,Unknown,0.17,0.04,0.01,0.03,0.24
2604,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,0.42,0.03,0.3,0.04,0.79
13648,Guilty Gear XX Accent Core,Wii,2007,Fighting,505 Games,0.03,0.0,0.0,0.0,0.04
10817,NASCAR,PSP,2006,Racing,Electronic Arts,0.09,0.0,0.0,0.01,0.1
8750,Knockout Kings 2003,GC,2002,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.15
13788,Deadliest Warrior: Ancient Combat,PS3,2012,Fighting,Cloud Imperium Games Corporation,0.04,0.0,0.0,0.0,0.04
15105,Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,PSP,2009,Adventure,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
13554,Get Up and Dance,PS3,2011,Misc,O-Games,0.03,0.01,0.0,0.0,0.04
9775,Lovely Lisa,DS,2007,Simulation,DHM Interactive,0.11,0.0,0.0,0.01,0.12
16045,Wizardry XTH: Unlimited Students,PS2,2006,Role-Playing,Michaelsoft,0.0,0.0,0.01,0.0,0.01
2417,The Lord of the Rings: War in the North,PS3,N/A,Action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
4988,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Racing,Human Entertainment,0.0,0.0,0.36,0.03,0.38
1056,Super Puyo Puyo,SNES,1993,Puzzle,Banpresto,0.0,0.0,1.69,0.01,1.7
2628,PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.27,0.2,0.27,0.05,0.79
8592,Buck Bumble,N64,1998,Action,Ubisoft,0.13,0.03,0.0,0.0,0.16
1027,SSX Tricky,PS2,2001,Sports,Electronic Arts,0.85,0.66,0.0,0.22,1.73
10703,Nancy Drew: The Model Mysteries,DS,2010,Puzzle,THQ,0.09,0.0,0.0,0.01,0.1
14984,Star Trek Online,PC,2010,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.02
8693,Battlestar Galactica,PS2,2003,Shooter,Vivendi Games,0.08,0.06,0.0,0.02,0.16
629,Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,1.55,0.54,0.05,0.31,2.45
13078,Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,DS,2006,Misc,Nintendo,0.0,0.0,0.05,0.0,0.05
3814,J-League Soccer: Prime Goal 2,SNES,1994,Sports,Namco Bandai Games,0.0,0.0,0.53,0.0,0.53
5132,Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts,0.14,0.17,0.0,0.06,0.37
3402,Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0.0,0.08,0.59
1465,Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34
11768,Jimmie Johnson's Anything With an Engine,PS3,2011,Racing,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.07
12849,Princess on Ice,DS,2008,Sports,505 Games,0.04,0.01,0.0,0.0,0.05
10129,Funky Barn,3DS,2012,Simulation,Ubisoft,0.07,0.03,0.0,0.01,0.11
5110,"Monsters, Inc. Scream Arena",GC,2002,Platform,THQ,0.29,0.07,0.0,0.01,0.37
8846,Terraria,PC,2011,Action,Unknown,0.0,0.13,0.0,0.02,0.15
9602,Ice Age: Dawn of the Dinosaurs,X360,2009,Action,Activision,0.09,0.03,0.0,0.01,0.13
9149,SingStar Vol. 3,PS3,2008,Misc,Sony Computer Entertainment,0.0,0.11,0.0,0.03,0.14
10381,"Grand Theft Auto: Mission Pack #1, London 1969",PS,1998,Adventure,Take-Two Interactive,0.06,0.04,0.0,0.01,0.11
1829,Yoshi's Cookie,NES,1992,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12
15598,Red Ninja: End of Honor,XB,2005,Action,Vivendi Games,0.01,0.0,0.0,0.0,0.02
11661,"Ni Hao, Kai-lan: Super Game Day",PS2,2009,Misc,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08
8065,LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.08,0.01,0.01,0.18
3174,LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.32,0.0,0.1,0.64
8506,The Amazing Spider-Man (Console Version),Wii,2012,Action,Activision,0.11,0.04,0.0,0.01,0.16
10345,Tournament Pool,Wii,2009,Sports,Destineer,0.1,0.0,0.0,0.01,0.11
9576,Sengoku Basara 3 Utage,Wii,2011,Action,Capcom,0.0,0.0,0.13,0.0,0.13
3434,Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59
16519,DJ Max Technika Tune,PSV,2012,Misc,CyberFront,0.0,0.0,0.01,0.0,0.01
2564,MadWorld,Wii,2009,Action,Sega,0.46,0.25,0.02,0.07,0.8
1497,Madden NFL 97,PS,1996,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32
