,sepal.length,sepal.width,petal.length,petal.width,Variedad,Ancho Est. Pétalo
0,5.1,3.5,1.4,0.2,Setosa,-1.3110521482051307
1,4.9,3.0,1.4,0.2,Setosa,-1.3110521482051307
2,4.7,3.2,1.3,0.2,Setosa,-1.3110521482051307
3,4.6,3.1,1.5,0.2,Setosa,-1.3110521482051307
4,5.0,3.6,1.4,0.2,Setosa,-1.3110521482051307
5,5.4,3.9,1.7,0.4,Setosa,-1.0486667949952981
6,4.6,3.4,1.4,0.3,Setosa,-1.1798594716002144
7,5.0,3.4,1.5,0.2,Setosa,-1.3110521482051307
8,4.4,2.9,1.4,0.2,Setosa,-1.3110521482051307
9,4.9,3.1,1.5,0.1,Setosa,-1.442244824810047
10,5.4,3.7,1.5,0.2,Setosa,-1.3110521482051307
11,4.8,3.4,1.6,0.2,Setosa,-1.3110521482051307
12,4.8,3.0,1.4,0.1,Setosa,-1.442244824810047
13,4.3,3.0,1.1,0.1,Setosa,-1.442244824810047
14,5.8,4.0,1.2,0.2,Setosa,-1.3110521482051307
15,5.7,4.4,1.5,0.4,Setosa,-1.0486667949952981
16,5.4,3.9,1.3,0.4,Setosa,-1.0486667949952981
17,5.1,3.5,1.4,0.3,Setosa,-1.1798594716002144
18,5.7,3.8,1.7,0.3,Setosa,-1.1798594716002144
19,5.1,3.8,1.5,0.3,Setosa,-1.1798594716002144
20,5.4,3.4,1.7,0.2,Setosa,-1.3110521482051307
21,5.1,3.7,1.5,0.4,Setosa,-1.0486667949952981
22,4.6,3.6,1.0,0.2,Setosa,-1.3110521482051307
23,5.1,3.3,1.7,0.5,Setosa,-0.9174741183903817
24,4.8,3.4,1.9,0.2,Setosa,-1.3110521482051307
25,5.0,3.0,1.6,0.2,Setosa,-1.3110521482051307
26,5.0,3.4,1.6,0.4,Setosa,-1.0486667949952981
27,5.2,3.5,1.5,0.2,Setosa,-1.3110521482051307
28,5.2,3.4,1.4,0.2,Setosa,-1.3110521482051307
29,4.7,3.2,1.6,0.2,Setosa,-1.3110521482051307
30,4.8,3.1,1.6,0.2,Setosa,-1.3110521482051307
31,5.4,3.4,1.5,0.4,Setosa,-1.0486667949952981
32,5.2,4.1,1.5,0.1,Setosa,-1.442244824810047
33,5.5,4.2,1.4,0.2,Setosa,-1.3110521482051307
34,4.9,3.1,1.5,0.2,Setosa,-1.3110521482051307
35,5.0,3.2,1.2,0.2,Setosa,-1.3110521482051307
36,5.5,3.5,1.3,0.2,Setosa,-1.3110521482051307
37,4.9,3.6,1.4,0.1,Setosa,-1.442244824810047
38,4.4,3.0,1.3,0.2,Setosa,-1.3110521482051307
39,5.1,3.4,1.5,0.2,Setosa,-1.3110521482051307
40,5.0,3.5,1.3,0.3,Setosa,-1.1798594716002144
41,4.5,2.3,1.3,0.3,Setosa,-1.1798594716002144
42,4.4,3.2,1.3,0.2,Setosa,-1.3110521482051307
43,5.0,3.5,1.6,0.6,Setosa,-0.7862814417854654
44,5.1,3.8,1.9,0.4,Setosa,-1.0486667949952981
45,4.8,3.0,1.4,0.3,Setosa,-1.1798594716002144
46,5.1,3.8,1.6,0.2,Setosa,-1.3110521482051307
47,4.6,3.2,1.4,0.2,Setosa,-1.3110521482051307
48,5.3,3.7,1.5,0.2,Setosa,-1.3110521482051307
49,5.0,3.3,1.4,0.2,Setosa,-1.3110521482051307
50,7.0,3.2,4.7,1.4,Versicolor,0.26325997105386495
51,6.4,3.2,4.5,1.5,Versicolor,0.3944526476587814
52,6.9,3.1,4.9,1.5,Versicolor,0.3944526476587814
53,5.5,2.3,4.0,1.3,Versicolor,0.13206729444894882
54,6.5,2.8,4.6,1.5,Versicolor,0.3944526476587814
55,5.7,2.8,4.5,1.3,Versicolor,0.13206729444894882
56,6.3,3.3,4.7,1.6,Versicolor,0.5256453242636978
57,4.9,2.4,3.3,1.0,Versicolor,-0.2615107353658002
58,6.6,2.9,4.6,1.3,Versicolor,0.13206729444894882
